"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Jose Berrios","Twins","CWS @ MIN",".50","6.41","26.38","5.70","3.63","1.18",".12",".76","2.01","7.07","22.70","38.30","21.16","14168"
"Jameson Taillon","Pirates","LAD @ PIT",".43","6.74","27.39","5.68","3.61","1.32",".12",".63","1.98","6.30","22.14","37.19","20.43","11674"
"Jalen Beeks","Red Sox","DET @ BOS",".38","6.21","26.19","5.91","3.61","1.58",".09",".63","2.19","6.37","19.55","34.29","18.25","sa827439"
"Gerrit Cole","Astros","HOU @ TEX",".44","6.30","26.82","6.10","3.61","1.30",".16","1.03","2.35","6.64","19.35","34.24","18.23","13125"
"Nick Pivetta","Phillies","PHI @ CHC",".33","6.07","25.94","5.73","3.58","1.22",".15",".78","2.53","6.41","18.54","33.06","17.41","15454"
"Tyler Chatwood","Cubs","PHI @ CHC",".36","5.63","24.35","4.51","2.96",".99",".14",".42","3.57","6.16","17.98","32.13","17.00","4338"
"Miles Mikolas","Cardinals","MIA @ STL",".44","6.56","26.86","6.53","4.48","1.13",".12",".81","1.16","5.07","18.66","32.09","17.02","9803"
"Matt Boyd","Tigers","DET @ BOS",".36","6.66","28.17","6.79","4.20","1.65",".11",".82","2.00","5.65","17.78","32.04","16.72","15440"
"Daniel Hudson","Dodgers","LAD @ PIT",".34","6.23","26.47","5.95","3.97","1.29",".15",".54","2.46","4.74","15.75","29.05","14.64","7146"
"Tyler Mahle","Reds","COL @ CIN",".32","5.72","24.69","5.84","3.47","1.18",".13","1.06","2.26","5.67","15.64","28.64","14.64","16358"
"Mike Leake","Mariners","SEA @ TB",".41","6.47","27.41","7.18","4.85","1.40",".15",".77","1.52","4.61","15.37","28.50","14.33","10130"
"Paul Blackburn","Athletics","KC @ OAK",".42","6.47","27.05","6.24","4.12","1.38",".10",".64","2.04","3.82","15.06","27.62","13.76","14739"
"Jason Hammel","Royals","KC @ OAK",".31","6.21","26.28","6.35","3.73","1.44",".15","1.02","1.85","4.71","14.93","27.29","13.75","4538"
"Tyler Anderson","Rockies","COL @ CIN",".35","5.41","23.57","5.34","3.25","1.06",".10",".93","2.50","5.26","14.65","26.88","13.74","12880"
"Trevor Richards","Marlins","MIA @ STL",".29","5.69","24.71","5.84","3.74","1.11",".13",".86","2.43","5.08","14.29","26.87","13.38","19309"
"Jaime Garcia","Blue Jays","BAL @ TOR",".33","5.37","23.04","5.47","3.13","1.33",".06",".95","1.89","4.89","14.28","25.64","13.21","8137"
"Cole Hamels","Rangers","HOU @ TEX",".29","5.92","26.07","6.22","3.70","1.38",".11","1.02","2.76","4.78","12.82","25.50","12.10","4972"
"David Hess","Orioles","BAL @ TOR",".34","5.82","25.13","5.79","3.01","1.46",".10","1.23","2.36","4.46","13.04","24.69","12.04","16130"
"James Shields","White Sox","CWS @ MIN",".23","5.81","25.91","6.39","3.65","1.38",".11","1.25","2.73","4.68","11.41","23.56","10.81","7059"
