"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Sean Newcomb","Braves","PHI @ ATL",".46","6.20","26.16","4.85","3.34",".89",".14",".48","3.45","7.58","22.81","40.75","21.80","16943"
"Jon Gray","Rockies","COL @ SDN",".53","6.57","26.71","5.45","3.67","1.00",".12",".65","2.28","6.53","22.62","39.51","21.23","14916"
"Justin Verlander","Astros","ANA @ HOU",".42","6.55","27.28","5.82","3.37","1.11",".08","1.26","2.42","7.12","21.40","37.97","20.21","8700"
"Rich Hill","Dodgers","SFN @ LAN",".43","6.07","24.78","5.00","3.47",".96",".04",".53","2.26","6.28","21.16","36.66","19.66","4806"
"Masahiro Tanaka","Yankees","NYA @ TOR",".46","6.36","26.04","5.75","3.34","1.30",".08","1.02","1.85","6.16","20.39","35.94","18.97","15764"
"Zack Greinke","Diamondbacks","MIA @ ARI",".47","6.32","26.16","6.23","3.93","1.20",".14",".95","1.66","6.03","19.64","35.23","18.33","1943"
"Trevor Bauer","Indians","CLE @ SEA",".42","6.34","26.97","5.90","3.77","1.13",".05",".94","2.75","5.88","17.99","33.70","17.13","12703"
"Jeff Samardzija","Giants","SFN @ LAN",".32","6.56","27.35","6.34","3.95","1.24",".09","1.07","2.04","5.71","18.17","33.38","17.13","3254"
"Rick Porcello","Red Sox","BOS @ CIN",".43","6.25","26.04","6.04","3.72","1.09",".10","1.13","1.90","5.41","17.70","32.38","16.49","2717"
"Daniel Norris","Tigers","MIN @ DET",".37","6.06","25.60","5.40","3.56","1.00",".20",".63","2.77","5.35","17.22","32.14","16.19","13475"
"Marco Estrada","Blue Jays","NYA @ TOR",".28","5.90","25.11","5.51","3.02","1.17",".09","1.23","2.50","5.66","16.16","30.26","15.11","1118"
"Jason Hammel","Royals","KCA @ CHA",".37","5.78","24.71","5.97","3.80","1.01",".14","1.03","2.16","5.55","15.92","30.15","14.99","4538"
"Robert Gsellman","Mets","WAS @ NYN",".40","6.23","25.68","5.97","4.42","1.05",".12",".38","1.89","3.85","15.60","29.31","14.35","13696"
"Michael Wacha","Cardinals","SLN @ PIT",".39","5.80","24.59","5.77","4.04","1.11",".10",".53","2.23","4.43","14.87","28.36","13.87","14078"
"Kyle Gibson","Twins","MIN @ DET",".36","5.96","25.44","6.20","4.15","1.21",".21",".63","2.09","4.17","13.98","27.48","13.04","10123"
"Reynaldo Lopez","White Sox","KCA @ CHA",".32","5.55","24.00","5.37","3.26",".94",".06","1.10","2.60","4.85","13.88","26.86","13.00","16400"
"Alex Cobb","Rays","TBA @ BAL",".38","5.68","24.28","6.35","3.95","1.12",".08","1.21","1.53","4.56","13.68","26.39","12.69","6562"
"Kendall Graveman","Athletics","TEX @ OAK",".36","5.89","25.30","6.11","3.95","1.21",".13",".81","2.30","4.15","13.17","26.42","12.30","15514"
"Edwin Jackson","Nationals","WAS @ NYN",".33","5.94","25.29","5.63","3.83","1.04",".11",".65","2.59","3.73","13.23","26.31","12.27","1841"
"Brandon Woodruff","Brewers","CHN @ MIL",".30","5.37","23.72","5.50","3.33","1.03",".10","1.05","2.75","4.81","12.64","25.51","11.99","16162"
"Ubaldo Jimenez","Orioles","TBA @ BAL",".29","5.20","23.04","5.31","3.12",".98",".07","1.14","2.72","4.86","12.31","24.64","11.69","3374"
"John Lackey","Cubs","CHN @ MIL",".33","5.17","22.66","5.54","3.32",".99",".08","1.16","2.20","4.62","12.39","24.26","11.66","1507"
"Ivan Nova","Pirates","SLN @ PIT",".31","5.52","23.53","6.04","4.14","1.19",".10",".60","1.63","3.68","12.50","24.29","11.50","1994"
"Ben Lively","Phillies","PHI @ ATL",".26","5.61","24.73","6.21","4.13","1.14",".13",".82","2.44","4.16","11.55","24.44","10.93","14932"
"Sal Romano","Reds","BOS @ CIN",".29","5.64","24.60","5.96","3.89","1.10",".09",".89","2.45","3.86","11.52","23.98","10.79","13690"
"Garrett Richards","Angels","ANA @ HOU",".30","5.36","23.61","5.75","3.68","1.20",".09",".78","2.47","4.03","11.43","23.64","10.78","9784"
"Nick Martinez","Rangers","TEX @ OAK",".33","5.30","22.96","5.42","3.23","1.12",".07","1.00","2.23","3.67","11.27","22.46","10.41","12730"
"Adam Conley","Marlins","MIA @ ARI",".24","5.03","22.99","5.70","3.36","1.21",".15",".98","2.84","3.90","8.69","20.12","8.40","14457"
"Jordan Lyles","Rockies","COL @ SDN",".18","4.69","20.82","5.07","3.32",".98",".10",".67","2.30","3.29","8.95","18.42","8.39","7593"
"Travis Wood","Padres","KCA @ CHA",".00",".50","2.20",".50",".32",".08",".01",".08",".27",".48","1.06","1.99",".99","9884"
"Erasmo Ramirez","Mariners","TBA @ BAL",".00",".55","2.36",".61",".37",".10",".01",".14",".17",".44","1.05","1.93",".95","10314"
"Jose Urena","Marlins","MIA @ ARI",".00",".46","2.03",".50",".30",".11",".01",".07",".22",".36",".71","1.46",".65","11589"
