"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Aaron Nola","Phillies","TOR @ PHI",".47","6.72","27.41","5.59","3.39","1.09",".10","1.00","2.09","7.94","25.02","41.46","23.38","16149"
"Alex Wood","Dodgers","SD @ LAD",".54","6.61","26.24","5.38","3.44","1.07",".08",".79","1.50","6.66","24.01","38.99","22.01","13781"
"Jose Quintana","Cubs","SF @ CHC",".48","6.59","27.49","6.10","3.89","1.34",".10",".77","2.23","6.31","20.65","35.98","19.31","11423"
"Tanner Roark","Nationals","WSH @ MIA",".46","6.91","28.74","6.22","4.23","1.14",".16",".68","2.39","5.84","20.37","35.63","19.15","8753"
"Carlos Carrasco","Indians","HOU @ CLE",".36","6.50","27.09","6.47","4.01","1.49",".08",".90","1.65","6.20","19.44","33.83","18.06","6632"
"Ryne Stanek","Rays","BAL @ TB",".33","5.79","24.96","5.25","3.20",".91",".07","1.07","2.84","7.06","19.05","33.73","18.01","15947"
"Daniel Mengden","Athletics","ARI @ OAK",".45","6.72","27.67","6.21","4.14","1.29",".18",".60","1.91","5.33","19.42","33.74","17.94","16980"
"Francisco Liriano","Tigers","CWS @ DET",".42","5.96","25.71","5.68","3.62","1.04",".22",".80","2.79","6.52","18.42","33.20","17.43","3201"
"Wade LeBlanc","Mariners","MIN @ SEA",".37","6.30","26.19","6.30","3.65","1.47",".11","1.07","1.48","5.29","17.30","30.25","15.83","5221"
"Jack Flaherty","Cardinals","STL @ PIT",".35","5.58","23.38","5.32","3.50","1.05",".13",".64","1.82","5.50","17.30","29.64","15.98","17479"
"Jake Odorizzi","Twins","MIN @ SEA",".35","5.92","25.39","5.42","3.20","1.13",".11",".99","2.72","5.62","16.44","29.79","15.35","6397"
"Wei-Yin Chen","Marlins","WSH @ MIA",".30","6.20","26.10","5.79","3.59","1.20",".13",".88","2.29","5.17","16.52","29.69","15.23","13071"
"Trevor Williams","Pirates","STL @ PIT",".34","6.13","25.69","5.77","3.81","1.20",".09",".67","2.11","4.94","16.54","29.50","15.19","16977"
"Lance McCullers Jr.","Astros","HOU @ CLE",".34","5.45","23.41","5.24","3.28","1.32",".09",".56","2.33","5.48","16.22","28.77","15.17","14120"
"Sonny Gray","Yankees","LAA @ NYY",".42","5.78","24.62","5.33","3.28","1.01",".06",".97","2.50","4.99","15.70","28.33","14.55","12768"
"Chase Anderson","Brewers","NYM @ MIL",".36","5.92","25.02","5.53","3.02","1.11",".11","1.28","2.17","5.21","15.87","28.27","14.59","6895"
"Andrew Cashner","Orioles","BAL @ TB",".38","5.91","25.86","5.95","3.94","1.17",".19",".65","2.85","5.14","14.91","28.50","14.12","8782"
"Jason Vargas","Mets","NYM @ MIL",".33","5.67","24.44","5.93","3.43","1.11",".11","1.27","2.05","5.25","14.49","26.75","13.48","8044"
"Drew Pomeranz","Red Sox","ATL @ BOS",".37","5.87","26.26","6.71","4.25","1.51",".11",".84","2.64","5.14","13.19","26.62","12.66","11426"
"Jaime Garcia","Blue Jays","TOR @ PHI",".25","5.19","22.56","5.20","3.00","1.08",".11","1.01","2.28","5.38","14.18","25.70","13.28","8137"
"Jordan Lyles","Padres","SD @ LAD",".22","5.65","24.53","5.85","3.32","1.23",".09","1.21","2.23","5.02","13.44","25.30","12.48","7593"
"Clay Buchholz","Diamondbacks","ARI @ OAK",".30","5.98","25.80","5.94","3.56","1.43",".11",".84","2.53","4.20","13.02","25.08","12.06","3543"
"Chris Stratton","Giants","SF @ CHC",".25","5.71","25.24","5.99","3.64","1.16",".18","1.01","2.72","4.78","12.41","24.69","11.71","13761"
"Ian Kennedy","Royals","KC @ TEX",".32","5.37","24.00","5.63","3.18","1.12",".16","1.18","2.86","5.05","12.22","24.24","11.62","6986"
"Tyler Anderson","Rockies","CIN @ COL",".35","5.43","23.84","6.29","4.13","1.20",".17",".79","1.89","4.39","12.21","23.74","11.43","12880"
"Jaime Barria","Angels","LAA @ NYY",".25","5.33","23.24","5.51","2.96","1.00",".08","1.47","2.23","4.76","12.12","22.99","11.25","18356"
"Tyler Mahle","Reds","CIN @ COL",".29","5.35","23.91","6.56","3.88","1.30",".20","1.17","1.87","4.88","11.49","23.06","10.90","16358"
"Hector Santiago","White Sox","CWS @ DET",".28","5.45","24.48","6.01","3.51","1.29",".14","1.07","2.74","4.57","11.00","22.76","10.47","4026"
"Sean Newcomb","Braves","ATL @ BOS",".30","5.28","24.41","6.10","3.82","1.44",".10",".74","3.11","4.49","10.00","22.10","9.75","16943"
"Bartolo Colon","Rangers","KC @ TEX",".34","5.62","24.26","6.74","4.18","1.33",".13","1.09","1.19","3.57","10.96","21.41","9.95","375"
