"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Clayton Kershaw","Dodgers","LAD @ STL",".54","6.93","27.74","6.14","4.19","1.16",".08",".71","1.35","6.79","24.35","40.10","22.58","2036"
"Eduardo Rodriguez","Red Sox","TOR @ BOS",".46","6.20","26.05","6.11","3.79","1.51",".11",".71","1.88","6.34","19.74","34.36","18.43","13164"
"Steven Matz","Mets","MIA @ NYM",".38","6.19","25.68","5.68","3.65","1.15",".08",".80","1.92","5.97","19.39","33.30","17.89","13361"
"Dylan Bundy","Orioles","OAK @ BAL",".31","5.91","25.43","6.09","3.51","1.26",".07","1.25","2.13","6.08","16.52","29.98","15.45","12917"
"Jeff Brigham","Marlins","",".34","5.87","24.87","5.24","3.18","1.16",".12",".78","2.54","5.36","16.73","29.71","15.51","16631"
"Jason Vargas","Mets","",".37","6.12","25.53","5.78","3.81","1.14",".09",".74","1.94","4.70","16.41","29.06","15.00","8044"
"Joe Ross","Nationals","CHC @ WSH",".32","5.66","24.53","6.22","3.90","1.32",".08",".91","1.86","5.27","14.71","27.24","13.73","12972"
"Sandy Alcantara","Marlins","MIA @ NYM",".34","5.84","24.92","5.18","3.20","1.09",".10",".79","2.75","4.59","14.83","27.12","13.67","18684"
"Kyle Freeland","Rockies","ARI @ COL",".36","5.80","25.46","6.43","4.21","1.33",".19",".70","2.26","4.89","13.77","26.67","12.96","16256"
"Stephen Gonsalves","Twins","MIN @ KC",".38","5.58","24.54","5.47","3.58","1.20",".18",".51","3.05","4.64","13.51","26.15","12.76","15492"
"Mike Montgomery","Cubs","CHC @ WSH",".38","5.71","24.93","6.05","4.12","1.29",".09",".55","2.47","4.10","12.67","24.83","11.85","4869"
"Mike Leake","Mariners","SEA @ LAA",".41","6.15","26.46","7.07","4.71","1.33",".09",".93","1.58","3.85","12.75","24.75","11.79","10130"
"Austin Gomber","Cardinals","LAD @ STL",".22","5.54","24.42","5.63","3.63","1.17",".06",".77","2.73","4.62","12.63","24.59","11.85","16561"
"Clay Buchholz","Diamondbacks","ARI @ COL",".32","5.56","24.28","6.43","3.91","1.38",".16",".99","1.68","4.66","12.74","24.37","11.84","3543"
"Brett Anderson","Athletics","OAK @ BAL",".39","5.75","24.98","6.96","4.63","1.44",".12",".78","1.40","4.00","12.26","23.91","11.35","8223"
"Heath Fillmyer","Royals","MIN @ KC",".30","5.67","24.98","6.25","4.28","1.22",".17",".58","2.39","3.32","10.25","21.39","9.51","17466"
"Sam Gaviglio","Blue Jays","TOR @ BOS",".24","5.47","24.21","6.68","4.01","1.61",".16",".90","1.74","3.75","9.69","20.33","9.00","12778"
"Odrisamer Despaigne","Angels","SEA @ LAA",".30","5.58","24.46","6.54","4.39","1.26",".08",".82","1.85","3.14","9.61","20.09","8.83","16017"
