"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Clayton Kershaw","Dodgers","CHC @ LAD",".47","6.77","26.32","5.16","3.14","1.05",".07",".91","1.20","8.89","29.51","46.41","27.20","2036"
"Aaron Nola","Phillies","WSH @ PHI",".43","6.70","27.71","5.95","3.89","1.20",".12",".74","2.23","7.26","22.94","39.11","21.50","16149"
"Zack Greinke","Diamondbacks","ARI @ MIA",".49","6.74","26.92","5.69","3.82","1.11",".15",".60","1.47","6.23","23.25","38.18","21.34","1943"
"Jon Gray","Rockies","COL @ SF",".40","6.39","26.65","5.91","3.88","1.25",".26",".51","2.13","6.52","20.89","36.11","19.50","14916"
"Lance McCullers Jr.","Astros","HOU @ TB",".46","5.63","23.62","5.09","3.49",".98",".16",".45","2.25","6.38","19.83","33.78","18.55","14120"
"Jose Quintana","Cubs","CHC @ LAD",".28","6.34","26.90","5.60","3.38","1.26",".09",".88","2.82","6.50","19.21","34.10","18.06","11423"
"Jake Odorizzi","Twins","MIN @ CWS",".46","6.09","25.77","5.68","3.58","1.06",".22",".82","2.42","6.29","19.02","33.55","17.82","6397"
"Tanner Roark","Nationals","WSH @ PHI",".33","6.35","27.16","6.09","3.76","1.16",".14","1.02","2.60","6.33","18.10","32.69","17.11","8753"
"Chris Stratton","Giants","COL @ SF",".34","6.41","27.02","5.99","4.10","1.18",".20",".52","2.46","5.42","17.84","32.12","16.60","13761"
"Michael Fulmer","Tigers","OAK @ DET",".35","6.02","25.00","5.57","3.45","1.16",".20",".75","1.86","5.07","17.10","29.71","15.61","13218"
"Sean Manaea","Athletics","OAK @ DET",".38","6.42","26.98","6.62","4.22","1.41",".29",".70","1.71","4.97","16.59","29.95","15.37","15873"
"Anthony DeSclafani","Reds","MIL @ CIN",".32","5.92","25.16","6.14","3.50","1.18",".09","1.38","1.72","5.81","16.34","29.16","15.12","13050"
"Trevor Richards","Marlins","ARI @ MIA",".26","5.95","25.44","5.55","3.72","1.11",".18",".53","2.66","4.97","15.49","28.46","14.37","19309"
"Junior Guerra","Brewers","MIL @ CIN",".40","5.75","25.06","5.62","3.64","1.02",".11",".85","2.80","5.20","14.98","28.13","14.11","5702"
"Ryne Stanek","Rays","HOU @ TB",".23","5.63","24.82","5.39","3.29",".99",".07","1.04","3.12","5.69","14.55","27.65","13.77","15947"
"Mike Leake","Mariners","SEA @ BAL",".39","6.24","26.66","7.06","4.30","1.38",".05","1.33","1.39","4.67","14.36","26.69","13.29","10130"
"Lucas Giolito","White Sox","MIN @ CWS",".27","5.78","25.81","5.73","3.38","1.21",".16",".98","3.40","4.42","11.39","23.74","10.81","15474"
"Brian Johnson","Red Sox","LAA @ BOS",".37","5.71","24.95","6.25","3.78","1.44",".11",".93","2.17","3.70","11.26","22.56","10.40","14272"
"Jaime Barria","Angels","LAA @ BOS",".30","5.45","23.91","6.38","3.69","1.49",".11","1.08","1.73","4.03","10.88","21.64","10.07","18356"
"Jimmy Yacabonis","Orioles","SEA @ BAL",".32","5.71","25.34","6.35","4.22","1.13",".09",".92","2.58","3.40","9.73","20.97","9.11","15157"
