"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Jose Quintana","Cubs","CHN @ PHI",".56","6.66","26.95","5.85","3.78","1.10",".15",".83","1.82","7.36","24.42","42.01","22.97","11423"
"Justin Verlander","Tigers","DET @ CHA",".52","6.78","28.06","6.13","4.00","1.03",".14",".96","2.39","7.77","23.88","42.07","22.79","8700"
"Zack Greinke","Diamondbacks","SFN @ ARI",".53","6.48","26.57","6.16","3.94","1.25",".14",".83","1.65","6.12","20.83","36.87","19.45","1943"
"J.A. Happ","Blue Jays","MIN @ TOR",".45","6.47","26.71","5.82","3.42","1.36",".14",".89","2.16","6.24","20.44","36.44","19.16","7410"
"Jacob deGrom","Mets","NYN @ WAS",".40","6.37","26.80","6.46","4.31","1.28",".07",".80","1.97","6.28","19.31","35.48","18.32","10954"
"Kenta Maeda","Dodgers","MIL @ LAN",".43","5.78","23.55","5.14","3.07",".95",".05","1.07","1.63","6.24","20.01","34.16","18.48","18498"
"Rick Porcello","Red Sox","BAL @ BOS",".42","6.23","26.17","6.75","3.85","1.43",".07","1.39","1.32","6.20","18.25","33.04","17.08","2717"
"Michael Wacha","Cardinals","TBA @ SLN",".38","5.98","25.14","5.72","3.65","1.12",".10",".85","2.10","5.75","18.00","32.79","16.81","14078"
"Julio Teheran","Braves","COL @ ATL",".36","5.97","25.18","5.95","3.68","1.14",".10","1.04","2.01","5.35","16.46","30.64","15.33","6797"
"Jake Odorizzi","Rays","TBA @ SLN",".33","5.97","25.50","5.94","3.57","1.16",".10","1.10","2.29","5.32","15.60","29.70","14.64","6397"
"Adam Conley","Marlins","SDN @ MIA",".41","5.81","24.76","5.49","3.53","1.03",".21",".73","2.61","4.82","15.34","29.28","14.39","14457"
"Collin McHugh","Astros","HOU @ ANA",".41","5.99","25.33","5.99","3.85","1.02",".09","1.04","2.07","4.42","14.67","28.12","13.62","7531"
"A.J. Cole","Nationals","NYN @ WAS",".33","5.75","24.42","5.97","3.99","1.12",".09",".77","1.89","4.21","13.86","26.69","12.82","11467"
"Kendall Graveman","Athletics","TEX @ OAK",".37","5.75","24.55","5.88","3.78","1.17",".12",".81","2.15","4.12","13.37","26.21","12.42","15514"
"Chase Anderson","Brewers","MIL @ LAN",".26","5.50","24.11","5.79","3.40","1.13",".05","1.21","2.42","4.89","12.84","25.69","12.12","6895"
"Robert Stephenson","Reds","PIT @ CIN",".29","5.02","22.42","4.80","3.02",".83",".09",".86","3.20","5.04","12.82","25.30","12.28","13594"
"Jerad Eickhoff","Phillies","CHN @ PHI",".19","5.28","23.12","5.32","2.90",".97",".08","1.38","2.52","5.12","12.73","24.99","11.96","12664"
"CC Sabathia","Yankees","SEA @ NYA",".35","5.14","22.24","5.39","3.39",".94",".06",".99","2.01","4.50","13.02","24.61","12.15","404"
"Chad Bettis","Rockies","COL @ ATL",".36","5.73","24.97","6.32","4.31","1.24",".10",".67","2.22","3.69","11.82","24.68","11.10","10587"
"Ariel Miranda","Mariners","SEA @ NYA",".29","5.10","22.56","5.39","3.03",".86",".06","1.44","2.43","4.71","11.57","23.25","10.92","17526"
"Jason Vargas","Royals","KCA @ CLE",".29","5.45","23.66","5.85","3.47","1.27",".07","1.04","2.14","3.94","11.52","23.38","10.73","8044"
"Ivan Nova","Pirates","PIT @ CIN",".34","5.29","23.06","6.05","3.82","1.10",".14",".99","1.81","3.76","11.06","22.44","10.29","1994"
"Miguel Gonzalez","White Sox","DET @ CHA",".23","5.55","24.41","6.45","4.01","1.09",".08","1.26","1.97","4.10","10.70","22.72","10.01","7024"
"Parker Bridwell","Angels","HOU @ ANA",".28","5.33","23.03","5.64","3.49","1.04",".06","1.04","2.12","3.22","10.05","20.81","9.21","11502"
"Nick Martinez","Rangers","TEX @ OAK",".30","5.28","23.17","5.55","3.30","1.11",".08","1.06","2.41","3.36","9.82","20.81","9.12","12730"
"Bartolo Colon","Twins","MIN @ TOR",".27","5.39","23.08","6.00","3.44","1.25",".08","1.24","1.51","3.03","9.83","20.14","8.85","375"
"Jeremy Hellickson","Orioles","BAL @ BOS",".28","5.05","22.52","6.28","3.75","1.42",".10","1.01","1.81","2.97","7.70","17.83","7.20","4371"
"Ryan Merritt","Indians","KCA @ CLE",".23","4.46","18.76","4.96","3.21","1.02",".05",".68",".98","2.45","9.14","16.41","8.18","13688"
"Ty Blach","Giants","SFN @ ARI",".20","5.15","23.62","6.84","4.15","1.51",".17","1.01","2.05","3.03","6.27","16.95","6.08","14361"
"Travis Wood","Padres","KCA @ CLE",".00",".56","2.57",".62",".37",".13",".01",".12",".33",".42",".71","1.66",".67","9884"
