"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Justin Verlander","Astros","MIN @ HOU",".60","7.29","28.81","5.63","3.61","1.23",".16",".63","1.75","9.71","32.03","51.16","30.17","8700"
"Rich Hill","Dodgers","NYM @ LAD",".51","6.36","25.78","4.94","3.24",".98",".07",".64","2.23","7.75","25.34","41.53","23.55","4806"
"Robbie Ray","Diamondbacks","SD @ ARI",".39","5.99","25.30","4.92","2.94","1.04",".14",".81","2.89","8.60","23.84","40.40","22.54","11486"
"Mike Clevinger","Indians","KC @ CLE",".49","6.35","26.41","5.67","3.59","1.17",".13",".78","2.27","7.46","22.81","38.82","21.36","12808"
"German Marquez","Rockies","SF @ COL",".42","6.06","25.65","6.09","3.68","1.37",".22",".82","1.85","6.08","18.41","32.37","17.13","15038"
"Trevor Richards","Marlins","PHI @ MIA",".30","5.97","25.17","5.62","3.70","1.14",".15",".62","2.18","5.97","18.24","31.98","16.94","19309"
"Wade LeBlanc","Mariners","BAL @ SEA",".43","6.08","25.37","6.31","4.12","1.33",".12",".74","1.38","5.55","18.06","31.52","16.68","5221"
"Lucas Giolito","White Sox","DET @ CWS",".38","6.15","26.14","5.89","3.80","1.27",".15",".67","2.40","5.60","17.47","31.43","16.31","15474"
"Jake Arrieta","Phillies","PHI @ MIA",".43","6.08","25.09","5.63","3.95","1.07",".22",".39","1.74","4.92","18.03","30.99","16.49","4153"
"Francisco Liriano","Tigers","DET @ CWS",".33","5.64","24.88","5.66","3.71","1.06",".17",".72","2.95","6.20","16.20","30.26","15.46","3201"
"J.A. Happ","Yankees","NYY @ OAK",".37","6.01","25.83","5.93","3.57","1.36",".10",".90","2.42","5.62","16.46","30.10","15.42","7410"
"Rick Porcello","Red Sox","BOS @ ATL",".41","6.17","26.21","6.75","4.58","1.45",".16",".56","1.61","5.14","16.46","30.01","15.36","2717"
"Joe Musgrove","Pirates","CIN @ PIT",".40","6.03","25.46","6.43","4.53","1.22",".13",".55","1.56","5.12","16.60","29.80","15.34","12970"
"Joey Lucchesi","Padres","SD @ ARI",".29","5.30","23.05","5.23","3.11","1.20",".20",".72","2.46","5.61","15.22","27.53","14.33","19320"
"Erick Fedde","Nationals","STL @ WSH",".34","5.85","24.95","6.48","4.15","1.38",".05",".91","1.50","4.70","14.45","26.67","13.33","17425"
"Sean Newcomb","Braves","BOS @ ATL",".30","5.86","26.00","5.94","3.94","1.34",".10",".56","3.18","4.86","13.38","26.74","12.72","16943"
"Mike Minor","Rangers","LAA @ TEX",".29","5.65","24.47","6.00","3.43","1.34",".12","1.12","2.10","5.12","13.80","25.85","12.86","10021"
"Wade Miley","Brewers","CHC @ MIL",".31","5.43","24.14","5.86","3.75","1.19",".11",".81","2.53","5.14","13.44","25.94","12.74","8779"
"Andrew Heaney","Angels","LAA @ TEX",".36","5.54","24.15","5.85","3.82","1.12",".12",".80","2.30","4.79","13.63","25.75","12.77","15423"
"John Gant","Cardinals","STL @ WSH",".34","5.64","24.60","5.89","3.82","1.19",".14",".74","2.42","4.37","12.88","24.85","12.01","13684"
"Jason Vargas","Mets","NYM @ LAD",".22","5.49","24.06","5.82","3.44","1.21",".09","1.08","2.30","4.86","12.82","24.56","12.01","8044"
"Cody Reed","Reds","CIN @ PIT",".30","5.40","23.76","6.05","3.98","1.32",".10",".65","2.13","4.52","12.42","24.08","11.66","15232"
"Trevor May","Twins","MIN @ HOU",".17","5.30","23.96","6.14","3.94","1.35",".17",".67","2.41","4.96","11.74","23.93","11.35","6398"
"Ryan Borucki","Blue Jays","TB @ TOR",".34","5.66","24.74","6.48","4.37","1.30",".22",".58","2.00","4.13","12.08","23.90","11.27","16350"
"Daniel Mengden","Athletics","NYY @ OAK",".00","6.16","26.01","6.27","3.94","1.33",".09",".91","1.86","4.23","13.00","22.47","11.64","16980"
"Mike Montgomery","Cubs","CHC @ MIL",".36","5.66","24.80","6.34","4.30","1.18",".13",".73","2.13","3.71","11.35","22.78","10.55","4869"
"Jalen Beeks","Rays","TB @ TOR",".00","5.57","24.72","5.99","3.38","1.52",".12",".98","2.57","5.08","11.78","22.15","11.02","17192"
"Danny Duffy","Royals","KC @ CLE",".23","5.46","24.57","6.12","3.86","1.27",".08",".91","2.71","4.43","10.66","22.40","10.15","3542"
"Dereck Rodriguez","Giants","SF @ COL",".27","5.44","24.08","6.61","3.95","1.43",".29",".95","1.73","4.06","10.50","21.40","9.80","14509"
"Alex Cobb","Orioles","BAL @ SEA",".27","5.58","24.51","6.87","4.60","1.42",".14",".71","1.53","3.56","10.25","21.06","9.48","6562"
