"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Max Scherzer","Nationals","MIA @ WAS",".52","6.97","27.97","5.94","3.86","1.04",".07",".96","1.80","8.49","27.28","46.14","25.74","3137"
"Corey Kluber","Indians","CLE @ NYA",".42","6.57","26.97","5.66","3.53","1.04",".05","1.04","2.25","7.33","22.89","39.97","21.60","2429"
"Jeff Samardzija","Giants","SFN @ SDN",".47","6.71","27.30","6.39","4.19","1.13",".18",".89","1.56","6.08","20.96","37.08","19.63","3254"
"Luis Severino","Yankees","CLE @ NYA",".34","6.41","26.58","5.60","3.39","1.04",".08","1.09","2.44","6.68","20.43","36.51","19.18","15890"
"Aaron Nola","Phillies","ATL @ PHI",".40","6.40","26.62","6.11","4.04","1.18",".10",".80","2.01","6.21","19.90","35.97","18.69","16149"
"Drew Pomeranz","Red Sox","BOS @ TOR",".38","6.07","25.56","5.16","2.89","1.11",".06","1.10","2.76","6.54","19.31","34.84","18.19","11426"
"Andrew Heaney","Angels","OAK @ ANA",".40","5.88","24.14","5.30","3.11","1.01",".07","1.11","1.73","6.23","19.62","34.02","18.15","15423"
"Luke Sims","Braves","ATL @ PHI",".33","5.66","24.49","4.90","2.97",".86",".11",".96","3.26","6.14","16.86","31.61","16.02","13470"
"Marcus Stroman","Blue Jays","BOS @ TOR",".36","6.36","26.89","6.46","4.14","1.51",".12",".69","2.13","4.80","15.94","30.63","14.95","13431"
"Ian Kennedy","Royals","TBA @ KCA",".31","5.51","23.80","5.48","3.11","1.04",".14","1.20","2.38","5.19","14.30","27.34","13.41","6986"
"Jhoulys Chacin","Padres","SFN @ SDN",".29","5.86","25.35","5.84","3.86","1.11",".10",".78","2.57","4.63","13.94","27.66","13.09","2608"
"Daniel Gossett","Athletics","OAK @ ANA",".30","5.63","24.44","6.03","3.92","1.06",".08",".96","2.23","3.88","11.65","23.98","10.87","16164"
"Mike Montgomery","Cubs","PIT @ CHN",".34","4.97","22.12","5.04","3.32",".96",".13",".64","2.83","4.26","11.75","23.47","11.19","4869"
"Antonio Senzatela","Rockies","DET @ COL",".33","5.13","22.94","6.31","3.96","1.16",".14","1.05","1.89","4.23","10.58","22.35","10.06","15488"
"Austin Pruitt","Rays","TBA @ KCA",".35","5.30","22.78","5.98","3.85","1.20",".12",".81","1.54","3.32","11.02","21.77","10.09","15290"
"Trevor Williams","Pirates","PIT @ CHN",".28","5.17","23.66","5.86","3.77","1.14",".09",".85","2.96","3.87","9.10","21.14","8.83","16977"
"Jose Urena","Marlins","MIA @ WAS",".23","5.27","23.41","6.06","3.94","1.19",".07",".86","2.23","3.49","9.46","20.77","8.89","11589"
"Marco Gonzales","Mariners","SEA @ BAL",".26","4.45","19.73","5.22","3.05",".87",".06","1.23","1.66","3.94","9.75","18.92","9.16","15467"
"Chris Tillman","Orioles","SEA @ BAL",".28","5.06","22.80","6.01","3.66","1.06",".05","1.25","2.21","3.44","8.31","19.04","7.85","5279"
"Jordan Zimmermann","Tigers","DET @ COL",".27","4.83","21.87","6.49","3.87","1.18",".15","1.29","1.56","3.40","7.50","17.52","7.12","4505"
