"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Chris Sale","Red Sox","TOR @ BOS",".49","6.76","27.04","5.39","3.19","1.13",".04","1.04","1.93","8.91","27.97","46.74","26.29","10603"
"Robbie Ray","Diamondbacks","SFN @ ARI",".49","6.47","26.77","5.33","3.38","1.12",".10",".72","2.64","7.89","24.41","42.54","23.12","11486"
"Gio Gonzalez","Nationals","WAS @ PHI",".54","6.48","27.06","5.75","3.84","1.09",".17",".65","2.67","6.77","21.71","39.06","20.67","7448"
"Alex Wood","Dodgers","SDN @ LAN",".48","6.44","25.74","5.38","3.60","1.09",".06",".62","1.75","6.28","22.54","38.57","20.85","13781"
"Kevin Gausman","Orioles","BAL @ PIT",".43","6.60","27.58","6.34","4.38","1.21",".12",".64","2.33","5.34","18.25","34.12","17.32","14107"
"Carlos Martinez","Cardinals","CHN @ SLN",".36","6.01","25.89","5.68","3.73","1.14",".10",".71","2.85","6.16","17.87","33.67","16.98","11682"
"Jason Vargas","Royals","DET @ KCA",".45","6.31","25.86","5.98","4.02","1.17",".15",".63","1.70","4.84","18.08","32.70","16.71","8044"
"Dallas Keuchel","Astros","HOU @ TEX",".45","5.92","25.26","5.89","3.91","1.18",".13",".66","2.40","5.46","16.92","31.90","16.00","9434"
"Dinelson Lamet","Padres","SDN @ LAN",".26","5.67","24.58","4.99","3.04",".99",".06",".90","3.14","6.08","16.62","31.24","15.76","17186"
"Blake Snell","Rays","TBA @ NYA",".30","5.46","23.98","5.08","3.22",".88",".06",".92","3.11","5.95","15.73","30.00","15.00","13543"
"Jordan Montgomery","Yankees","TBA @ NYA",".34","5.33","22.35","4.88","3.01",".86",".08",".93","2.07","5.37","16.41","28.90","15.22","16511"
"R.A. Dickey","Braves","ATL @ NYN",".43","6.32","26.41","5.86","4.03","1.09",".12",".62","2.38","3.94","15.28","29.33","14.21","1245"
"Rafael Montero","Mets","ATL @ NYN",".31","5.88","25.59","5.27","3.57",".99",".11",".60","3.41","4.91","14.80","29.36","14.05","12760"
"James Paxton","Mariners","SEA @ OAK",".34","4.89","20.20","4.35","2.69",".94",".07",".65","1.66","5.24","16.70","27.71","15.44","11828"
"Trevor Williams","Pirates","BAL @ PIT",".32","6.03","25.45","6.29","4.24","1.17",".09",".79","1.77","4.61","15.18","28.93","14.10","16977"
"J.A. Happ","Blue Jays","TOR @ BOS",".27","5.90","25.86","6.45","4.15","1.45",".09",".77","2.47","4.69","13.11","27.04","12.53","7410"
"Anibal Sanchez","Tigers","DET @ KCA",".29","5.86","25.06","6.28","4.01","1.23",".11",".93","1.90","4.11","12.94","25.74","12.00","3284"
"Deck McGuire","Reds","CIN @ MIL",".31","5.15","22.81","4.91","2.94",".86",".07","1.04","3.04","4.91","12.81","25.24","12.17","11596"
"Jake Arrieta","Cubs","CHN @ SLN",".31","5.05","21.98","5.12","3.39","1.03",".10",".60","2.30","4.47","13.14","24.80","12.34","4153"
"Matt Moore","Giants","SFN @ ARI",".24","5.28","23.55","5.71","3.37","1.23",".15",".96","2.63","4.94","12.15","24.92","11.62","1890"
"Zach Davies","Brewers","CIN @ MIL",".34","5.67","24.61","6.08","3.92","1.16",".15",".84","2.24","3.90","12.09","24.71","11.29","13183"
"Josh Tomlin","Indians","MIN @ CLE",".36","5.28","22.18","5.81","3.54","1.21",".08",".98","1.13","3.88","12.91","23.68","11.75","9388"
"Daniel Mengden","Athletics","SEA @ OAK",".25","5.37","23.38","5.53","3.48","1.10",".08",".86","2.39","4.02","11.63","23.40","10.84","16980"
"Parker Bridwell","Angels","ANA @ CHA",".38","5.04","22.22","5.41","3.40",".91",".14",".97","2.35","4.22","11.65","23.15","10.99","11502"
"Tyler Anderson","Rockies","MIA @ COL",".32","4.82","21.38","5.57","3.64",".95",".14",".84","1.98","4.46","11.68","22.77","11.09","12880"
"Cole Hamels","Rangers","HOU @ TEX",".26","5.61","24.84","6.26","3.99","1.22",".11",".94","2.50","3.72","10.16","22.48","9.61","4972"
"Jake Thompson","Phillies","WAS @ PHI",".18","4.91","22.19","5.47","3.22","1.08",".09","1.09","2.65","3.60","8.28","18.76","7.87","14371"
"Bartolo Colon","Twins","MIN @ CLE",".29","5.42","23.63","6.51","3.89","1.37",".09","1.16","1.58","2.69","8.36","18.77","7.62","375"
"Chris Volstad","White Sox","ANA @ CHA",".24","4.99","22.64","6.22","3.82","1.16",".06","1.18","2.10","2.75","6.45","16.40","6.07","9901"
"Jose Urena","Marlins","MIA @ COL",".26","4.91","23.04","6.72","4.24","1.29",".18","1.00","2.34","3.15","5.76","16.55","5.76","11589"
