"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Max Scherzer","Nationals","WSH @ LAD",".33","7.04","28.02","5.23","2.79","1.15",".09","1.20","2.05","9.73","29.77","47.74","27.97","3137"
"Clayton Kershaw","Dodgers","WSH @ LAD",".44","7.17","27.72","5.37","3.46","1.07",".08",".76","1.34","8.58","29.90","47.20","27.65","2036"
"Justin Verlander","Astros","HOU @ CWS",".61","7.20","29.29","5.73","3.62","1.02",".14",".95","2.55","8.97","28.74","47.45","27.32","8700"
"Chris Archer","Rays","MIN @ TB",".39","6.43","26.56","5.25","3.14","1.04",".10",".97","2.50","8.13","24.51","41.09","22.98","6345"
"Noah Syndergaard","Mets","NYM @ ATL",".45","6.54","26.69","5.54","3.72","1.14",".15",".52","2.06","7.18","24.08","40.23","22.41","11762"
"Sean Newcomb","Braves","NYM @ ATL",".30","6.29","26.64","5.01","3.19","1.00",".08",".74","3.29","7.54","22.11","38.43","20.84","16943"
"Trevor Bauer","Indians","CLE @ BAL",".42","6.59","27.94","6.11","3.82","1.17",".09","1.03","2.61","7.17","21.31","37.40","20.23","12703"
"Sonny Gray","Yankees","TOR @ NYY",".46","6.43","26.66","5.27","3.24","1.02",".06",".96","2.65","6.52","21.33","36.54","19.87","12768"
"Michael Wacha","Cardinals","CIN @ STL",".50","6.49","26.98","5.86","4.12","1.17",".11",".47","2.32","5.18","19.21","33.82","17.82","14078"
"Drew Pomeranz","Red Sox","BOS @ OAK",".40","6.36","27.47","5.84","3.44","1.32",".08",".99","3.11","6.24","18.36","33.53","17.44","11426"
"Jon Gray","Rockies","CHC @ COL",".31","6.05","25.95","6.18","3.78","1.31",".16",".94","2.12","6.60","18.63","33.28","17.53","14916"
"Jhoulys Chacin","Brewers","MIA @ MIL",".42","6.38","26.60","5.53","3.63","1.12",".13",".65","2.50","5.36","18.90","33.16","17.49","2608"
"Kyle Hendricks","Cubs","CHC @ COL",".42","6.39","27.12","6.68","4.22","1.42",".16",".87","1.89","5.78","18.13","32.67","17.03","12049"
"Lance Lynn","Twins","MIN @ TB",".34","6.17","26.51","5.72","3.70","1.05",".20",".78","2.92","6.01","17.81","32.49","16.80","2520"
"Ben Lively","Phillies","PIT @ PHI",".38","6.43","26.82","6.14","3.87","1.33",".17",".76","2.01","5.26","18.04","31.93","16.69","14932"
"Andrew Heaney","Angels","SF @ LAA",".37","5.84","24.69","5.62","3.59","1.07",".07",".89","2.05","5.68","17.65","30.98","16.39","15423"
"Jakob Junis","Royals","",".40","5.96","25.10","5.96","3.89","1.16",".14",".77","1.80","5.37","17.38","30.67","16.09","13619"
"Dylan Bundy","Orioles","CLE @ BAL",".35","6.21","26.40","5.86","3.62","1.25",".09",".90","2.50","5.37","16.92","30.66","15.77","12917"
"Michael Fulmer","Tigers","",".38","6.56","27.28","6.32","4.28","1.23",".12",".69","1.91","4.50","16.93","30.35","15.55","13218"
"Tyson Ross","Padres","SD @ ARI",".38","5.80","25.60","5.68","3.59","1.28",".22",".58","3.18","5.41","15.53","29.63","14.79","7872"
"Jeff Samardzija","Giants","SF @ LAA",".35","6.40","27.12","6.65","4.00","1.14",".12","1.39","1.81","5.13","15.93","28.95","14.81","3254"
"Michael Fulmer","Tigers","KC @ DET",".40","6.48","27.15","6.47","4.35","1.28",".14",".70","1.88","4.18","15.72","28.74","14.43","13218"
"Jason Hammel","Royals","",".38","6.31","26.97","6.85","4.44","1.35",".16",".90","1.83","4.75","15.33","28.65","14.32","4538"
"Felix Hernandez","Mariners","SEA @ TEX",".36","5.68","24.76","5.46","3.26","1.11",".12",".97","2.80","5.38","15.34","28.48","14.44","4772"
"Ivan Nova","Pirates","PIT @ PHI",".33","5.88","24.79","5.78","3.56","1.19",".15",".88","1.92","4.85","15.65","28.04","14.39","1994"
"Daniel Norris","Tigers","",".31","5.86","25.24","6.02","4.01","1.19",".11",".71","2.26","4.92","15.09","28.08","14.08","13475"
"Mike Minor","Rangers","SEA @ TEX",".33","5.87","25.33","6.08","3.85","1.22",".11",".90","2.23","5.05","15.05","27.99","14.05","10021"
"Marco Estrada","Blue Jays","TOR @ NYY",".27","5.79","25.13","5.38","2.98",".95",".09","1.36","2.91","5.43","14.86","27.69","13.93","1118"
"Jason Hammel","Royals","KC @ DET",".33","6.21","26.67","6.84","4.41","1.30",".15",".97","1.79","4.70","14.57","27.49","13.59","4538"
"Trevor Richards","Marlins","MIA @ MIL",".29","5.87","25.17","5.79","3.57","1.26",".13",".83","2.39","4.71","14.62","27.23","13.57","19309"
"Matt Koch","Diamondbacks","SD @ ARI",".32","6.07","25.87","6.75","4.05","1.43",".25","1.02","1.46","4.51","14.24","26.47","13.10","13420"
"Kendall Graveman","Athletics","BOS @ OAK",".35","6.34","26.92","6.74","4.34","1.45",".10",".86","1.84","3.48","12.90","24.84","11.80","15514"
"Brandon Finnegan","Reds","CIN @ STL",".23","5.42","24.66","5.52","3.54","1.03",".09",".86","3.56","4.77","11.65","24.35","11.26","16208"
"James Shields","White Sox","HOU @ CWS",".18","5.62","25.21","5.91","3.44","1.12",".08","1.26","3.08","4.37","10.61","22.44","10.06","7059"
