"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Clayton Kershaw","Dodgers","LAN @ SDN",".62","7.37","28.46","5.59","3.84","1.02",".16",".57","1.46","9.24","32.34","52.80","30.59","2036"
"Carlos Carrasco","Indians","CLE @ DET (2)",".51","6.61","26.82","6.04","4.06","1.15",".17",".65","1.67","6.28","22.05","38.62","20.61","6632"
"Blake Snell","Rays","TBA @ CHA",".46","6.09","25.71","5.45","3.68",".94",".12",".71","2.77","7.32","21.54","38.70","20.51","13543"
"Gerrit Cole","Pirates","CIN @ PIT",".43","6.95","28.31","6.11","4.16","1.19",".14",".62","2.15","5.92","21.31","37.98","20.03","13125"
"Charlie Morton","Astros","NYN @ HOU",".53","6.41","26.72","5.86","3.95","1.16",".19",".56","2.36","6.07","20.34","36.86","19.21","4676"
"Johnny Cueto","Giants","SLN @ SFN",".39","6.52","27.23","6.18","4.06","1.26",".17",".69","2.23","5.50","18.40","34.00","17.29","6893"
"Mike Clevinger","Indians","CLE @ DET",".44","6.04","25.43","5.48","3.61",".98",".15",".74","2.54","5.33","17.46","32.31","16.35","12808"
"Dinelson Lamet","Padres","LAN @ SDN",".18","5.52","23.97","4.64","2.82",".84",".08",".90","3.34","6.65","17.29","31.94","16.41","17186"
"Jimmy Nelson","Brewers","WAS @ MIL",".38","5.90","25.12","5.73","3.57","1.16",".13",".87","2.34","5.77","17.23","32.04","16.20","10547"
"Dillon Peters","","PHI @ MIA",".43","6.12","25.25","5.73","3.90","1.10",".21",".52","1.92","4.68","17.21","31.36","15.90","sa599187"
"Sonny Gray","Yankees","BOS @ NYA",".45","6.38","26.90","6.31","4.32","1.18",".07",".74","2.26","4.70","16.30","31.14","15.32","12768"
"Luis Castillo","Reds","CIN @ PIT",".34","6.17","26.18","5.94","4.13","1.16",".12",".53","2.48","4.89","16.15","30.93","15.22","15689"
"Kevin Gausman","Orioles","TOR @ BAL",".39","6.02","25.71","5.80","3.67","1.03",".04","1.06","2.49","5.28","16.05","30.49","15.08","14107"
"Sean Manaea","Athletics","OAK @ SEA",".35","5.93","25.26","5.98","3.96","1.13",".07",".82","2.21","4.98","15.50","29.62","14.54","15873"
"Tyler Skaggs","Angels","ANA @ TEX",".38","5.26","22.88","5.04","3.19",".94",".11",".81","2.72","5.50","15.31","28.62","14.51","10190"
"John Lackey","Cubs","ATL @ CHN",".41","5.78","24.42","5.79","3.87","1.08",".12",".71","2.02","4.52","15.17","28.53","14.09","1507"
"Tanner Roark","Nationals","WAS @ MIL",".33","5.72","24.98","5.81","3.54","1.06",".11","1.11","2.65","5.33","14.45","28.47","13.74","8753"
"Jack Flaherty","","SLN @ SFN",".35","5.74","24.54","5.53","3.77","1.04",".14",".58","2.44","4.28","14.18","27.30","13.20","sa828681"
"Reynaldo Lopez","White Sox","TBA @ CHA",".24","5.33","23.49","4.96","2.83",".89",".09","1.15","3.11","5.44","13.84","26.98","13.13","16400"
"Jason Hammel","Royals","KCA @ MIN",".36","5.81","25.05","6.11","3.81","1.15",".16",".99","2.19","4.56","13.79","27.16","12.91","4538"
"Mike Leake","Mariners","OAK @ SEA",".34","5.33","22.14","5.27","3.44","1.09",".06",".68","1.50","4.03","14.22","25.27","12.94","10130"
"Mike Foltynewicz","Braves","ATL @ CHN",".28","5.57","25.03","5.45","3.32","1.03",".09","1.01","3.50","4.93","12.28","25.93","11.86","10811"
"Nick Pivetta","Phillies","PHI @ MIA",".27","5.37","23.38","5.52","3.67","1.01",".15",".69","2.44","4.31","12.56","24.88","11.78","15454"
"Joe Biagini","Blue Jays","TOR @ BAL",".31","5.30","23.19","5.73","3.59","1.07",".07","1.00","2.14","4.54","12.58","24.73","11.81","13194"
"Matt Boyd","Tigers","CLE @ DET (2)",".23","5.49","23.62","5.42","3.37",".99",".16",".90","2.40","4.03","12.20","24.13","11.28","15440"
"Cole Hamels","Rangers","ANA @ TEX",".29","5.53","24.47","6.09","3.85","1.11",".10","1.03","2.44","4.18","11.28","23.89","10.67","4972"
"Doug Fister","Red Sox","BOS @ NYA",".28","5.52","24.35","5.97","3.72","1.06",".07","1.13","2.52","3.86","10.53","22.66","9.90","9425"
"Buck Farmer","Tigers","CLE @ DET",".25","5.25","22.56","5.22","3.22",".93",".16",".91","2.25","3.55","11.11","21.85","10.20","14814"
"Taijuan Walker","Diamondbacks","ARI @ COL",".35","5.31","24.23","6.74","4.19","1.27",".18","1.11","2.27","4.29","9.83","22.37","9.56","11836"
"Dillon Gee","Twins","KCA @ MIN",".31","5.27","22.57","5.74","3.70","1.06",".10",".87","1.67","3.33","10.97","21.55","10.02","7396"
"Kyle Freeland","Rockies","ARI @ COL",".29","5.07","23.65","6.67","4.24","1.36",".16",".92","2.45","3.76","7.61","19.40","7.53","16256"
"Matt Harvey","Mets","NYN @ HOU",".21","5.28","23.98","6.52","4.03","1.33",".11","1.05","2.34","3.42","7.73","19.07","7.43","11713"
