"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Max Scherzer","Nationals","WSH @ ARI",".61","6.97","27.95","4.99","2.81","1.17",".23",".77","2.52","10.51","32.34","52.09","30.56","3137"
"Justin Verlander","Astros","TEX @ HOU",".55","7.19","28.69","5.38","3.24","1.08",".11",".95","2.22","9.30","29.92","48.29","28.16","8700"
"Chris Sale","Red Sox","BOS @ TOR",".51","6.66","26.73","5.18","2.91","1.27",".08",".91","2.01","8.67","27.44","44.51","25.57","10603"
"Luke Weaver","Cardinals","STL @ SD",".49","6.59","27.11","5.47","3.77",".99",".17",".54","2.50","7.50","24.17","40.84","22.68","16918"
"Tyler Skaggs","Angels","MIN @ LAA",".46","6.45","26.51","5.24","3.48","1.07",".09",".60","2.50","6.31","21.52","36.58","19.94","10190"
"Trevor Bauer","Indians","KC @ CLE",".44","6.54","27.37","5.88","3.61","1.36",".07",".84","2.43","6.76","21.04","36.49","19.75","12703"
"Sonny Gray","Yankees","OAK @ NYY",".41","5.82","24.48","4.91","2.88","1.01",".08",".95","2.56","6.42","19.32","33.14","17.98","12768"
"Jameson Taillon","Pirates","SF @ PIT",".41","6.44","26.97","6.22","4.14","1.39",".14",".55","2.07","5.70","18.84","33.31","17.55","11674"
"Tyler Chatwood","Cubs","CWS @ CHC",".46","5.93","24.96","4.88","3.16","1.06",".12",".53","2.85","5.83","19.02","33.07","17.71","4338"
"Kevin Gausman","Orioles","TB @ BAL",".39","6.23","26.24","6.37","4.16","1.19",".13",".89","1.80","5.60","17.54","31.27","16.30","14107"
"Eric Lauer","Padres","STL @ SD",".25","5.87","25.33","5.28","3.17","1.16",".09",".87","3.00","6.17","17.08","30.98","16.05","19316"
"Kenta Maeda","Dodgers","CIN @ LAD",".42","5.49","22.59","4.71","3.07",".91",".07",".64","1.90","5.40","18.16","30.17","16.69","18498"
"Steven Matz","Mets","NYM @ PHI",".30","5.70","24.55","5.60","3.35","1.10",".12","1.04","2.41","6.36","17.13","30.74","16.12","13361"
"Dan Straily","Marlins","ATL @ MIA",".33","6.50","27.81","6.51","4.09","1.40",".18",".83","2.52","5.28","16.19","30.20","15.18","9460"
"Jake Arrieta","Phillies","NYM @ PHI",".35","5.34","22.05","4.54","2.74",".95",".07",".76","1.91","5.25","17.12","28.39","15.69","4153"
"Andrew Suarez","Giants","SF @ PIT",".31","5.81","25.16","5.84","3.82","1.16",".13",".73","2.52","5.12","14.88","27.84","13.94","18300"
"Matt Boyd","Tigers","SEA @ DET",".32","6.38","27.57","6.91","4.49","1.25",".14","1.03","2.16","4.82","14.19","27.20","13.29","15440"
"Brandon McCarthy","Braves","ATL @ MIA",".39","5.80","24.68","5.91","4.11","1.11",".13",".57","1.93","4.37","14.75","26.89","13.58","4662"
"Lance Lynn","Twins","MIN @ LAA",".27","5.74","25.29","5.16","3.20",".97",".09",".90","3.50","5.11","13.98","26.97","13.20","2520"
"Brandon Woodruff","Brewers","MIL @ COL",".36","5.79","25.97","6.61","4.19","1.32",".17",".92","2.64","5.36","13.37","26.81","12.84","16162"
"Cole Hamels","Rangers","TEX @ HOU",".23","5.94","26.14","6.13","3.69","1.37",".08",".99","2.79","5.10","13.45","26.37","12.73","4972"
"Jake Faria","Rays","TB @ BAL",".29","5.23","22.82","5.27","3.16","1.01",".07","1.03","2.35","5.12","13.70","25.21","12.83","13699"
"Aaron Sanchez","Blue Jays","BOS @ TOR",".25","6.09","26.33","5.77","3.53","1.42",".08",".74","2.95","4.20","13.05","25.45","12.10","11490"
"Kendall Graveman","Athletics","OAK @ NYY",".29","5.88","25.65","6.18","3.82","1.15",".11","1.10","2.45","4.75","13.03","25.36","12.18","15514"
"Jason Hammel","Royals","KC @ CLE",".30","5.96","25.86","6.55","3.91","1.58",".10",".96","2.02","4.36","12.70","24.70","11.81","4538"
"Marco Gonzales","Mariners","SEA @ DET",".36","5.15","22.16","5.62","3.61","1.28",".16",".57","1.58","4.11","12.87","23.33","11.89","15467"
"Matt Harvey","Reds","CIN @ LAD",".25","5.40","23.40","5.54","3.18","1.19",".09","1.08","2.15","4.38","12.28","23.12","11.33","11713"
"Chad Bettis","Rockies","MIL @ COL",".33","5.63","24.66","6.70","4.27","1.49",".13",".80","1.65","3.79","11.02","22.13","10.19","10587"
"Carson Fulmer","White Sox","CWS @ CHC",".23","5.33","23.97","5.25","3.06","1.14",".13",".92","3.31","4.09","10.29","21.49","9.75","18311"
"Matt Koch","Diamondbacks","WSH @ ARI",".17","5.77","25.19","6.77","4.01","1.41",".18","1.17","1.71","3.79","10.15","20.86","9.30","13420"
