"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Stephen Strasburg","Nationals","MIA @ WSH",".55","6.82","26.93","5.38","3.64","1.06",".09",".59","1.57","8.36","28.49","45.74","26.37","10131"
"Clayton Kershaw","Dodgers","LAD @ ARI",".59","7.02","27.39","5.54","3.38","1.26",".24",".67","1.24","7.76","27.94","44.49","25.73","2036"
"Corey Kluber","Indians","CLE @ CWS",".51","6.86","26.92","5.44","3.48","1.02",".15",".79","1.38","8.00","27.49","43.97","25.33","2429"
"Cole Hamels","Cubs","PIT @ CHC",".44","6.69","27.39","5.58","3.72","1.13",".12",".60","2.37","6.15","21.38","36.52","19.80","4972"
"Jack Flaherty","Cardinals","MIL @ STL",".39","6.01","24.85","5.07","3.24",".91",".05",".87","2.23","6.56","20.59","34.75","19.04","17479"
"Jon Gray","Rockies","PHI @ COL",".39","5.85","24.83","6.05","3.89","1.24",".22",".70","1.81","6.62","18.96","33.24","17.75","14916"
"Derek Holland","Giants","SD @ SF",".35","5.96","24.59","5.39","3.46","1.14",".14",".66","1.87","5.59","18.52","31.62","16.98","4141"
"James Paxton","Mariners","OAK @ SEA",".32","4.90","19.89","4.04","2.43",".87",".05",".70","1.49","6.33","19.41","30.44","17.95","11828"
"Dallas Keuchel","Astros","HOU @ TOR",".47","6.48","26.91","6.36","3.81","1.64",".12",".78","1.72","4.97","17.50","30.90","16.09","9434"
"Jameson Taillon","Pirates","PIT @ CHC",".32","6.23","26.46","6.28","4.01","1.38",".15",".74","2.03","5.54","17.13","30.94","15.95","11674"
"Robbie Ray","Diamondbacks","LAD @ ARI",".18","5.43","24.13","4.78","2.72","1.02",".11",".92","3.57","6.94","16.73","30.79","16.02","11486"
"Felix Pena","Angels","TEX @ LAA",".36","5.84","24.53","5.32","3.31","1.01",".06",".94","2.22","5.31","16.81","29.57","15.48","13403"
"Nathan Eovaldi","Red Sox","BAL @ BOS",".38","5.08","20.77","5.01","3.35","1.11",".11",".43",".96","4.49","15.90","25.84","14.48","9132"
"Dylan Covey","White Sox","CLE @ CWS",".24","5.85","24.87","5.62","3.79","1.02",".08",".74","2.26","4.60","14.64","26.79","13.43","14825"
"Dylan Bundy","Orioles","BAL @ BOS",".24","5.79","25.37","6.26","3.80","1.55",".12",".80","2.35","5.17","13.77","26.56","12.95","12917"
"Ryan Yarbrough","Rays","NYY @ TB",".26","5.66","24.84","5.95","3.52","1.17",".08","1.17","2.44","5.27","13.67","25.60","13.01","16502"
"Bryan Mitchell","Padres","SD @ SF",".36","5.72","24.38","5.89","4.08","1.16",".16",".49","1.89","3.96","13.69","25.32","12.54","11479"
"Zach Eflin","Phillies","PHI @ COL",".29","5.54","24.15","6.69","4.10","1.49",".25",".86","1.44","4.67","12.70","24.36","11.81","13774"
"Adrian Sampson","Rangers","TEX @ LAA",".34","5.93","24.93","6.18","3.92","1.17",".08","1.00","1.49","3.71","13.11","24.11","11.79","13339"
"Daniel Mengden","Athletics","OAK @ SEA",".30","5.91","25.26","6.49","4.26","1.17",".13",".93","1.64","3.69","12.06","23.24","10.97","16980"
"Marco Estrada","Blue Jays","HOU @ TOR",".27","5.81","24.98","5.84","3.33","1.41",".08","1.02","2.28","3.55","11.26","22.04","10.20","1118"
"Sandy Alcantara","Marlins","MIA @ WSH",".20","5.44","24.03","5.46","3.51","1.11",".08",".76","2.93","3.64","10.08","20.91","9.38","18684"
