"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Trevor Bauer","Indians","CHA @ CLE",".54","6.81","28.03","6.10","4.10","1.20",".11",".69","2.29","7.29","23.73","41.82","22.57","12703"
"Jose Quintana","Cubs","CIN @ CHN",".54","6.72","27.36","5.64","3.77","1.11",".16",".60","2.29","6.84","23.56","41.16","22.18","11423"
"Stephen Strasburg","Nationals","PIT @ WAS",".44","6.08","24.81","5.37","3.70","1.01",".09",".58","1.92","6.75","22.00","38.00","20.51","10131"
"Masahiro Tanaka","Yankees","TOR @ NYA",".47","6.35","25.79","5.66","3.49","1.03",".05","1.09","1.72","6.20","20.86","36.32","19.33","15764"
"Jake Odorizzi","Rays","BAL @ TBA",".36","6.04","24.76","5.55","3.30",".92",".09","1.24","1.64","6.08","19.22","33.62","17.73","6397"
"Chris Stratton","Giants","SDN @ SFN",".47","6.49","27.13","5.94","4.12","1.09",".20",".53","2.58","5.10","17.95","33.62","16.94","13761"
"Wade Miley","Orioles","BAL @ TBA",".37","6.13","26.37","5.92","3.95","1.08",".14",".76","2.76","5.45","16.44","31.62","15.66","8779"
"Dan Straily","Marlins","ATL @ MIA",".39","6.19","26.04","5.65","3.85","1.04",".19",".57","2.57","4.76","16.54","31.19","15.45","9460"
"Tyler Skaggs","Angels","SEA @ ANA",".40","5.57","23.33","5.25","3.44",".96",".07",".78","2.02","5.29","16.85","30.20","15.65","10190"
"Kyle Gibson","Twins","DET @ MIN",".40","6.07","25.51","6.11","4.27","1.19",".14",".50","1.95","4.58","16.03","30.21","14.90","10123"
"Zack Greinke","Diamondbacks","ARI @ KCA",".42","6.21","26.13","6.48","4.24","1.32",".13",".78","1.73","4.67","15.96","30.21","14.88","1943"
"Gerrit Cole","Pirates","PIT @ WAS",".28","5.93","25.74","6.34","4.11","1.30",".08",".85","2.36","5.51","15.21","29.89","14.50","13125"
"Matt Boyd","Tigers","DET @ MIN",".32","5.93","25.38","5.88","3.74","1.12",".16",".86","2.45","5.00","15.13","29.25","14.24","15440"
"John Gant","Cardinals","MIL @ SLN",".36","5.63","23.93","5.25","3.48",".99",".08",".69","2.45","4.86","15.42","28.69","14.37","13684"
"Charlie Morton","Astros","HOU @ BOS",".41","5.66","24.97","5.78","3.79","1.37",".09",".54","2.89","4.99","14.39","28.71","13.78","4676"
"Martin Perez","Rangers","OAK @ TEX",".40","5.97","25.77","6.37","3.98","1.31",".11",".96","2.16","4.66","14.25","28.10","13.41","6902"
"Chase Anderson","Brewers","MIL @ SLN",".33","5.59","23.97","5.68","3.73","1.06",".11",".78","2.18","4.84","14.62","27.79","13.67","6895"
"Ben Lively","Phillies","NYN @ PHI",".37","6.11","25.75","6.09","4.02","1.13",".13",".82","2.08","3.96","14.16","27.56","13.08","14932"
"Luiz Gohara","Braves","ATL @ MIA",".29","5.14","22.32","4.78","3.23",".89",".12",".54","2.73","4.89","14.25","26.60","13.42","15166"
"Matt Harvey","Mets","NYN @ PHI",".33","5.44","23.39","5.67","3.70","1.04",".15",".79","2.16","4.53","13.53","26.07","12.66","11713"
"Ian Kennedy","Royals","ARI @ KCA",".26","5.10","22.19","5.09","3.10","1.01",".17",".81","2.41","4.46","12.56","24.07","11.75","6986"
"Hyun-Jin Ryu","Dodgers","LAN @ COL",".35","4.96","22.77","6.40","4.08","1.25",".17",".91","2.17","4.51","10.23","22.46","9.98","14444"
"Robert Stephenson","Reds","CIN @ CHN",".19","4.84","22.20","4.63","2.85",".88",".09",".81","3.62","4.63","10.44","22.21","10.13","13594"
"Joe Biagini","Blue Jays","TOR @ NYA",".24","5.16","23.12","5.69","3.67","1.04",".06",".91","2.62","3.95","9.93","21.51","9.45","13194"
"Doug Fister","Red Sox","HOU @ BOS",".28","5.47","24.41","6.49","4.06","1.55",".08",".80","2.24","3.30","9.00","20.75","8.51","9425"
"Marco Gonzales","Mariners","SEA @ ANA",".21","4.46","19.76","4.99","3.18",".90",".06",".86","1.93","3.37","8.98","17.78","8.40","15467"
"Raul Alcantara","Athletics","OAK @ TEX",".21","4.35","19.67","4.97","3.03",".91",".12",".92","2.25","3.16","7.47","16.14","7.10","12790"
"Jordan Lyles","Rockies","SDN @ SFN",".23","4.72","21.32","5.52","3.82","1.06",".14",".50","2.27","2.52","7.05","16.27","6.63","7593"
"Mike Pelfrey","White Sox","CHA @ CLE",".21","5.15","23.57","5.99","3.80","1.35",".08",".77","2.86","2.54","6.08","16.65","5.84","5203"
"Chad Bettis","Rockies","LAN @ COL",".23","4.60","21.73","6.25","3.88","1.20",".16","1.02","2.29","3.09","5.32","15.19","5.32","10587"
"Travis Wood","Padres","ARI @ KCA",".00",".67","2.94",".66",".42",".14",".02",".08",".36",".51","1.17","2.29","1.08","9884"
"Jose Urena","Marlins","ATL @ MIA",".00",".27","1.18",".27",".19",".05",".01",".02",".13",".17",".45",".87",".41","11589"
