"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Clayton Kershaw","Dodgers","SFN @ LAN",".62","7.09","27.34","5.46","3.70","1.12",".05",".59","1.25","8.06","29.56","48.34","27.59","2036"
"Max Scherzer","Nationals","WAS @ NYN",".48","7.12","28.02","5.22","3.46",".97",".11",".69","2.11","8.16","28.20","47.07","26.56","3137"
"Corey Kluber","Indians","CLE @ SEA",".52","6.94","27.81","5.80","3.78","1.09",".06",".86","1.89","7.68","25.86","44.00","24.35","2429"
"Chris Archer","Rays","TBA @ BAL",".50","6.53","26.50","5.81","3.54","1.03",".05","1.19","1.66","7.60","24.08","41.15","22.54","6345"
"Jacob deGrom","Mets","WAS @ NYN",".30","6.72","27.13","5.73","3.71","1.13",".10",".79","1.92","7.45","23.94","41.26","22.35","10954"
"Jose Quintana","Cubs","CHN @ MIL",".53","6.47","26.51","5.79","3.65","1.12",".12",".90","2.05","7.21","23.03","40.24","21.70","11423"
"German Marquez","Rockies","COL @ SDN",".47","6.27","25.54","5.53","3.68","1.01",".13",".72","1.93","5.52","19.59","34.61","18.15","15038"
"Luiz Gohara","Braves","PHI @ ATL",".35","5.26","21.78","4.26","2.94",".79",".12",".41","2.35","6.19","19.35","32.71","18.06","15166"
"Jameson Taillon","Pirates","SLN @ PIT",".38","6.06","25.33","5.77","3.94","1.15",".09",".59","2.05","5.54","18.23","33.13","17.01","11674"
"Jose Berrios","Twins","MIN @ DET",".43","5.96","24.69","5.42","3.60","1.00",".16",".66","2.06","5.20","17.96","32.17","16.64","14168"
"Marcus Stroman","Blue Jays","NYA @ TOR",".36","6.16","26.14","6.12","3.84","1.44",".11",".72","2.21","5.44","17.01","31.99","15.99","13431"
"Lance McCullers","Astros","ANA @ HOU",".40","5.65","24.21","5.20","3.25","1.10",".08",".77","2.65","5.77","17.18","31.61","16.18","14120"
"Jharel Cotton","Athletics","TEX @ OAK",".34","5.58","23.61","5.04","3.01",".97",".10",".97","2.45","5.28","15.96","29.21","14.86","13654"
"Ian Kennedy","Royals","KCA @ CHA",".36","5.25","22.61","5.16","3.20",".84",".12","1.00","2.34","5.64","15.62","28.69","14.73","6986"
"Patrick Corbin","Diamondbacks","MIA @ ARI",".37","5.78","24.97","6.22","4.00","1.21",".15",".86","2.11","5.02","14.76","28.75","13.90","9323"
"Nick Pivetta","Phillies","PHI @ ATL",".28","5.46","23.74","5.54","3.84","1.03",".12",".56","2.51","4.82","14.08","27.24","13.27","15454"
"Doug Fister","Red Sox","BOS @ CIN",".39","5.79","24.99","5.80","3.72","1.05",".13",".90","2.53","4.49","13.86","27.36","13.01","9425"
"Martin Perez","Rangers","TEX @ OAK",".36","6.02","26.04","6.08","3.80","1.38",".09",".81","2.59","4.38","13.65","27.43","12.90","6902"
"Jaime Garcia","Yankees","NYA @ TOR",".35","5.61","24.05","5.39","3.26","1.26",".07",".81","2.49","4.54","14.10","27.06","13.15","8137"
"Dylan Bundy","Orioles","TBA @ BAL",".24","5.53","23.86","5.65","3.14",".96",".08","1.47","2.22","5.17","13.67","26.36","12.77","12917"
"Dan Straily","Marlins","MIA @ ARI",".32","5.45","23.92","5.66","3.26","1.13",".17","1.10","2.53","4.97","13.21","26.24","12.50","9460"
"John Gant","Cardinals","SLN @ PIT",".32","5.60","24.01","5.58","3.86","1.06",".10",".56","2.42","4.11","13.26","25.97","12.37","13684"
"Chase Anderson","Brewers","CHN @ MIL",".21","5.24","22.96","5.46","3.16",".99",".09","1.22","2.38","4.97","12.59","24.73","11.84","6895"
"Luis Perdomo","Padres","COL @ SDN",".27","5.60","24.13","5.85","3.96","1.15",".13",".60","2.25","3.88","12.23","24.61","11.37","14682"
"Lucas Giolito","White Sox","KCA @ CHA",".30","5.42","23.96","5.60","3.52","1.03",".07",".98","2.74","4.32","11.72","24.23","11.09","15474"
"Chris Stratton","Giants","SFN @ LAN",".18","5.58","24.89","5.73","3.50","1.15",".06","1.02","3.06","4.46","11.21","24.08","10.72","13761"
"Jackson Stephens","Reds","BOS @ CIN",".31","5.47","23.86","5.61","3.59","1.00",".08",".94","2.51","3.84","11.43","23.41","10.66","14420"
"Buck Farmer","Tigers","MIN @ DET",".25","5.19","22.16","5.03","3.16",".89",".18",".79","2.19","3.79","11.99","22.74","11.00","14814"
"Mike Leake","Mariners","CLE @ SEA",".23","5.48","23.32","5.90","3.85","1.19",".11",".74","1.70","3.36","11.27","22.36","10.26","10130"
"Tyler Skaggs","Angels","ANA @ HOU",".26","5.01","22.30","5.55","3.38","1.13",".09",".94","2.37","4.08","10.47","21.74","9.92","10190"
