"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Justin Verlander","Astros","HOU @ LAD",".41","6.87","27.73","5.58","3.13","1.10",".06","1.29","1.98","8.02","25.24","41.37","23.57","8700"
"Jacob deGrom","Mets","ATL @ NYM",".41","6.76","27.03","5.73","3.80","1.12",".09",".71","1.58","7.54","25.25","41.39","23.36","10954"
"Patrick Corbin","Diamondbacks","SF @ ARI",".44","6.26","26.06","5.86","3.67","1.37",".15",".68","1.92","6.89","21.48","36.65","20.00","9323"
"Vince Velasquez","Phillies","MIA @ PHI",".40","6.14","25.45","5.30","3.52",".99",".09",".70","2.22","6.89","21.60","36.53","20.08","11189"
"Chris Archer","Pirates","STL @ PIT",".41","6.15","25.30","5.56","3.63","1.10",".09",".74","1.82","6.73","21.43","36.05","19.85","6345"
"Anibal Sanchez","Braves","ATL @ NYM",".33","6.30","25.91","5.29","3.26",".95",".10",".97","2.26","6.75","21.11","35.77","19.55","3284"
"Ryne Stanek","Rays","CWS @ TB",".42","5.89","24.68","5.30","3.39",".96",".15",".80","2.29","7.04","20.79","35.50","19.45","15947"
"Mike Clevinger","Indians","LAA @ CLE",".50","6.38","26.64","5.80","3.76","1.19",".07",".78","2.31","6.18","20.05","34.90","18.70","12808"
"Luis Severino","Yankees","NYY @ BOS",".42","6.16","25.81","5.96","3.77","1.30",".15",".74","1.95","6.37","19.67","34.18","18.33","15890"
"Jose Quintana","Cubs","SD @ CHC",".45","6.27","25.85","5.49","3.65","1.19",".16",".49","2.14","5.60","19.67","33.77","18.14","11423"
"Jake Odorizzi","Twins","KC @ MIN",".46","6.00","25.37","5.62","3.26","1.23",".13","1.00","2.32","6.53","19.19","33.58","17.96","6397"
"Junior Guerra","Brewers","COL @ MIL",".40","5.91","24.71","5.34","3.21","1.06",".09",".99","2.15","5.85","18.20","31.50","16.82","5702"
"Alex Wood","Dodgers","HOU @ LAD",".34","6.04","24.92","5.67","3.65","1.22",".04",".77","1.62","5.51","18.37","31.41","16.81","13781"
"Gio Gonzalez","Nationals","CIN @ WSH",".42","6.00","26.05","6.00","4.22","1.06",".07",".65","2.76","5.66","16.50","30.78","15.63","7448"
"Rick Porcello","Red Sox","NYY @ BOS",".31","6.11","25.73","6.21","3.75","1.33",".16",".98","1.67","5.57","16.97","30.08","15.66","2717"
"Trevor Richards","Marlins","MIA @ PHI",".31","5.76","24.54","5.42","3.39","1.06",".12",".85","2.39","5.80","16.85","30.01","15.71","19309"
"German Marquez","Rockies","COL @ MIL",".31","5.76","24.84","5.97","3.50","1.18",".09","1.19","2.04","5.76","15.78","28.66","14.74","15038"
"Marco Gonzales","Mariners","TOR @ SEA",".40","5.64","23.44","5.45","3.23","1.20",".06",".96","1.52","4.90","16.22","27.88","14.79","15467"
"Blaine Hardy","Tigers","DET @ OAK",".36","5.92","25.13","5.91","3.59","1.40",".12",".81","1.93","4.81","15.45","27.90","14.21","6499"
"Tyson Ross","Padres","SD @ CHC",".28","5.85","25.84","5.63","3.55","1.24",".18",".66","3.27","4.90","13.73","26.92","13.02","7872"
"Brett Anderson","Athletics","DET @ OAK",".36","6.05","25.63","6.72","4.35","1.64",".13",".60","1.36","3.95","13.71","25.55","12.51","8223"
"Chris Stratton","Giants","SF @ ARI",".28","5.60","24.85","6.17","3.89","1.27",".33",".68","2.50","4.84","12.71","25.18","12.04","13761"
"John Gant","Cardinals","STL @ PIT",".30","5.76","24.98","6.11","4.18","1.16",".15",".63","2.28","4.26","12.93","25.00","12.05","13684"
"Lucas Giolito","White Sox","CWS @ TB",".29","5.52","24.93","5.84","3.81","1.13",".20",".70","3.24","4.33","10.94","23.17","10.49","15474"
"Ryan Borucki","Blue Jays","TOR @ SEA",".29","5.51","24.27","6.10","3.86","1.17",".09",".99","2.24","4.09","11.28","22.56","10.53","16350"
"Anthony DeSclafani","Reds","CIN @ WSH",".25","5.35","23.79","6.16","3.77","1.16",".09","1.14","2.14","4.37","10.83","21.89","10.18","13050"
"Ariel Jurado","Rangers","BAL @ TEX",".37","5.47","24.36","6.91","4.38","1.36",".17","1.00","1.59","3.33","9.21","19.66","8.54","17030"
"Jaime Barria","Angels","LAA @ CLE",".20","5.11","22.85","6.06","3.45","1.34",".08","1.19","1.96","3.31","8.01","17.40","7.41","18356"
"Heath Fillmyer","Royals","KC @ MIN",".22","5.07","23.33","6.35","3.94","1.27",".15","1.00","2.39","3.29","6.78","16.72","6.51","17466"
"David Hess","Orioles","BAL @ TEX",".24","4.77","22.53","5.84","3.30","1.19",".19","1.16","2.96","3.47","6.00","15.83","5.95","16130"
