"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Jon Lester","Cubs","PIT @ CHC",".45","6.55","26.49","5.24","3.32","1.10",".15",".67","2.12","6.94","23.48","38.91","21.70","4930"
"David Price","Red Sox","CWS @ BOS",".43","6.20","25.33","5.62","3.56","1.28",".16",".63","1.56","7.00","22.53","37.38","20.84","3184"
"Alex Wood","Dodgers","ATL @ LAD",".50","6.60","26.55","5.79","3.96","1.15",".06",".63","1.49","6.16","22.48","37.30","20.62","13781"
"Kevin Gausman","Orioles","BAL @ TOR",".39","6.42","26.46","5.95","3.41","1.54",".08",".91","1.71","6.23","20.21","34.46","18.67","14107"
"Blake Snell","Rays","SEA @ TB",".33","5.99","25.28","5.53","3.54","1.07",".08",".83","2.28","6.74","19.71","34.22","18.41","13543"
"Anibal Sanchez","Braves","ATL @ LAD",".26","6.35","26.76","6.07","3.30","1.16",".06","1.55","2.08","6.93","19.24","33.53","18.01","3284"
"Dan Straily","Marlins","SD @ MIA",".35","6.57","27.76","6.17","3.93","1.12",".19",".93","2.54","6.11","18.71","33.49","17.56","9460"
"Domingo German","Yankees","NYY @ NYM",".50","6.04","25.74","5.12","3.22",".99",".08",".83","3.04","5.99","18.68","33.13","17.53","17149"
"Aaron Sanchez","Blue Jays","BAL @ TOR",".36","6.32","26.68","5.51","3.45","1.29",".05",".72","2.77","5.90","18.63","33.04","17.37","11490"
"Gio Gonzalez","Nationals","SF @ WSH",".43","6.32","27.03","6.41","4.13","1.34",".09",".86","2.24","6.08","18.27","32.97","17.17","7448"
"Charlie Morton","Astros","HOU @ TEX",".46","5.87","25.39","5.14","3.11","1.07",".14",".82","3.24","6.38","18.17","32.76","17.21","4676"
"Mike Clevinger","Indians","CLE @ DET",".46","6.12","26.45","6.23","4.14","1.32",".22",".56","2.47","5.54","16.81","31.07","15.84","12808"
"Tyson Ross","Padres","SD @ MIA",".40","6.18","26.78","5.91","4.13","1.10",".18",".50","2.97","5.43","16.67","31.11","15.76","7872"
"Carlos Rodon","White Sox","CWS @ BOS",".28","5.67","24.37","5.79","3.66","1.35",".12",".67","2.16","5.79","16.35","29.52","15.31","16137"
"Chris Bassitt","Athletics","KC @ OAK",".42","6.25","26.46","6.15","4.04","1.36",".12",".63","2.18","4.81","16.15","29.45","14.96","12304"
"Nick Kingham","Pirates","PIT @ CHC",".29","6.07","25.83","5.79","3.41","1.35",".21",".83","2.35","5.32","16.16","29.31","15.00","11694"
"Tyler Skaggs","Angels","LAA @ MIN",".35","5.75","25.16","5.91","3.68","1.36",".11",".77","2.61","5.66","15.52","29.05","14.67","10190"
"Brent Suter","Brewers","MIL @ PHI",".32","5.48","23.27","5.47","3.49","1.04",".14",".79","1.86","5.51","16.30","28.55","15.14","13942"
"Luis Castillo","Reds","STL @ CIN",".35","5.97","25.92","6.20","3.65","1.13",".08","1.33","2.39","5.69","15.36","28.65","14.42","15689"
"Jake Arrieta","Phillies","MIL @ PHI",".31","5.32","22.15","4.74","2.98",".98",".06",".71","1.94","5.01","16.11","27.23","14.79","4153"
"Felix Hernandez","Mariners","SEA @ TB",".34","5.43","23.35","5.32","3.63","1.02",".12",".55","2.37","5.06","15.07","27.27","14.07","4772"
"Kyle Gibson","Twins","LAA @ MIN",".33","5.71","24.67","5.65","3.51","1.17",".08",".89","2.47","4.81","14.22","26.57","13.23","10123"
"Danny Duffy","Royals","KC @ OAK",".29","5.51","23.85","5.47","3.03","1.25",".13","1.06","2.31","5.15","14.25","26.11","13.26","3542"
"Steven Matz","Mets","NYY @ NYM",".22","5.40","23.94","5.47","3.12","1.04",".06","1.26","2.79","5.24","12.77","24.73","12.05","13361"
"Dereck Rodriguez","Giants","SF @ WSH",".29","5.61","24.78","6.47","3.99","1.21",".12","1.16","2.03","4.98","12.67","24.83","11.93","14509"
"Michael Wacha","Cardinals","STL @ CIN",".32","5.52","24.52","6.10","3.75","1.16",".11","1.09","2.39","4.54","11.90","23.67","11.20","14078"
"Mike Minor","Rangers","HOU @ TEX",".23","5.51","24.46","6.36","3.61","1.51",".11","1.14","2.09","4.44","10.99","22.27","10.28","10021"
"Chad Bettis","Rockies","ARI @ COL",".35","5.25","23.70","6.24","3.82","1.22",".34",".85","2.30","4.20","10.25","21.47","9.75","10587"
"Mike Fiers","Tigers","CLE @ DET",".24","5.42","23.95","6.31","3.84","1.39",".19",".89","1.98","3.44","9.38","19.68","8.66","7754"
"Matt Koch","Diamondbacks","ARI @ COL",".28","5.24","24.08","7.40","4.42","1.44",".33","1.21","1.51","3.12","6.22","15.92","5.90","13420"
