"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Max Scherzer","Nationals","ATL @ WSH",".59","7.22","28.70","5.49","3.34","1.24",".10",".82","2.01","9.79","31.49","50.55","29.67","3137"
"Chris Sale","Red Sox","BOS @ DET",".55","6.61","26.14","5.44","3.45","1.16",".23",".60","1.35","8.97","28.99","46.38","26.89","10603"
"Zack Greinke","Diamondbacks","COL @ ARI",".46","6.34","25.38","5.62","3.49","1.20",".19",".74","1.24","7.04","23.42","38.23","21.52","1943"
"J.A. Happ","Blue Jays","BAL @ TOR",".44","6.38","26.55","6.04","3.84","1.32",".09",".78","1.86","6.99","21.72","37.07","20.27","7410"
"Nick Pivetta","Phillies","SD @ PHI",".40","6.10","25.20","5.29","3.42",".94",".11",".81","2.16","6.99","21.46","36.24","19.94","15454"
"Vince Velasquez","Phillies","",".45","6.06","25.23","5.19","3.33",".99",".11",".76","2.40","6.68","20.84","35.55","19.39","11189"
"Chris Archer","Rays","MIA @ TB",".40","6.04","25.31","5.66","3.91","1.06",".08",".61","2.07","6.38","19.91","34.39","18.52","6345"
"Jacob deGrom","Mets","NYM @ NYY",".33","5.89","25.06","5.50","3.24","1.02",".06","1.18","2.34","7.11","19.50","33.93","18.29","10954"
"Alex Wood","Dodgers","LAD @ MIL",".42","5.96","24.67","5.54","3.66","1.08",".11",".69","1.84","5.99","19.29","32.96","17.82","13781"
"Jose Quintana","Cubs","STL @ CHC",".36","5.99","25.20","5.44","3.41","1.29",".10",".63","2.34","5.95","18.55","32.41","17.24","11423"
"Lance McCullers Jr.","Astros","HOU @ LAA",".45","5.91","25.29","5.43","3.62","1.05",".08",".68","2.72","5.94","18.08","32.31","16.97","14120"
"Masahiro Tanaka","Yankees","NYM @ NYY",".34","5.62","23.55","5.33","3.04","1.05",".07","1.17","1.76","6.37","18.48","31.40","17.11","15764"
"Matt Harvey","Reds","PIT @ CIN",".37","6.14","25.73","5.87","3.67","1.13",".12",".95","2.00","5.72","17.93","31.49","16.58","11713"
"Johnny Cueto","Giants","SF @ OAK",".37","6.04","25.43","5.64","3.43","1.19",".15",".88","2.25","5.62","17.45","30.87","16.19","6893"
"Miles Mikolas","Cardinals","STL @ CHC",".36","6.21","25.98","6.08","3.89","1.36",".18",".66","1.82","4.98","16.90","30.03","15.55","9803"
"Mike Clevinger","Indians","CLE @ TEX",".44","5.88","25.63","5.60","3.48","1.18",".17",".78","3.05","5.67","16.14","30.12","15.29","12808"
"Tyson Ross","Padres","SD @ PHI",".31","5.90","25.59","5.47","3.41","1.07",".14",".85","3.04","5.75","16.05","29.79","15.14","7872"
"Marco Gonzales","Mariners","CWS @ SEA",".38","5.56","23.43","5.90","3.90","1.20",".14",".66","1.41","5.31","16.43","28.68","15.20","15467"
"Brent Suter","Brewers","LAD @ MIL",".29","5.98","25.46","6.11","3.87","1.17",".13",".94","1.92","5.29","15.95","28.86","14.76","13942"
"Jake Odorizzi","Twins","MIN @ KC",".43","6.00","25.78","5.87","3.56","1.29",".14",".89","2.50","5.05","15.50","28.70","14.46","6397"
"Sean Manaea","Athletics","SF @ OAK",".35","6.02","25.58","6.03","3.98","1.30",".09",".66","2.09","4.88","15.69","28.58","14.50","15873"
"Trevor Richards","Marlins","MIA @ TB",".30","5.58","24.48","5.89","3.92","1.22",".17",".58","2.53","5.36","14.60","27.62","13.83","19309"
"Ivan Nova","Pirates","PIT @ CIN",".36","6.12","26.00","6.44","4.18","1.27",".12",".87","1.78","4.41","14.53","26.91","13.37","1994"
"Blaine Hardy","Tigers","BOS @ DET",".21","5.95","25.20","6.28","3.98","1.31",".17",".82","1.64","4.48","14.06","25.92","12.82","6499"
"Andrew Cashner","Orioles","BAL @ TOR",".28","5.81","25.43","6.04","3.59","1.51",".10",".84","2.53","4.41","12.49","24.53","11.67","8782"
"Luis Perdomo","Padres","",".27","5.84","25.84","6.47","4.08","1.26",".16",".96","2.54","4.66","12.17","24.67","11.52","14682"
"Andrew Heaney","Angels","HOU @ LAA",".25","5.54","24.12","6.14","3.94","1.23",".06",".92","1.94","4.59","12.68","24.27","11.80","15423"
"Antonio Senzatela","Rockies","COL @ ARI",".26","5.54","24.41","5.94","3.69","1.29",".27",".69","2.45","4.54","12.38","24.27","11.62","15488"
"Mike Foltynewicz","Braves","ATL @ WSH",".20","5.59","25.14","6.01","3.79","1.16",".11",".96","3.01","4.94","11.71","24.16","11.22","10811"
"Reynaldo Lopez","White Sox","CWS @ SEA",".28","5.66","24.91","6.16","3.96","1.16",".13",".91","2.43","4.32","11.73","23.52","11.00","16400"
"Brad Keller","Royals","MIN @ KC",".26","5.49","24.60","6.31","4.13","1.44",".16",".58","2.49","3.37","9.21","20.15","8.65","15734"
"Yovani Gallardo","Rangers","CLE @ TEX",".25","5.34","24.10","6.32","3.94","1.36",".13",".89","2.35","2.99","7.59","17.62","7.08","8173"
