"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Max Scherzer","Nationals","WSH @ TB",".53","7.15","28.46","5.37","3.38","1.07",".16",".76","2.18","9.36","30.23","48.78","28.49","3137"
"Corey Kluber","Indians","CLE @ STL",".49","7.15","28.34","5.84","3.84","1.07",".10",".83","1.58","8.04","27.40","44.34","25.61","2429"
"Freddy Peralta","Brewers","KC @ MIL",".47","6.49","26.23","4.67","2.84",".95",".10",".78","2.59","8.52","26.84","43.87","25.02","18679"
"Luis Severino","Yankees","NYY @ PHI",".49","6.39","25.68","5.00","3.08","1.04",".13",".75","1.96","8.48","26.81","43.43","24.89","15890"
"Zack Godley","Diamondbacks","ARI @ MIA",".47","6.66","27.49","5.53","3.71","1.09",".14",".58","2.53","6.75","22.59","38.54","21.13","14862"
"Charlie Morton","Astros","TOR @ HOU",".51","6.31","26.08","5.03","2.83","1.22",".10",".88","2.61","7.24","22.77","38.40","21.26","4676"
"Ross Stripling","Dodgers","CHC @ LAD",".40","6.69","26.84","6.00","3.71","1.24",".07",".98","1.19","6.68","22.84","37.51","20.95","13273"
"James Paxton","Mariners","SEA @ BAL",".42","5.97","24.78","5.76","3.64","1.10",".07",".95","1.54","6.78","20.67","34.86","19.18","11828"
"Lance Lynn","Twins","MIN @ CWS",".41","6.09","25.99","5.49","3.65",".99",".20",".66","2.85","6.54","19.37","34.44","18.25","2520"
"Jakob Junis","Royals","KC @ MIL",".27","5.99","24.99","5.66","3.34","1.03",".12","1.17","1.85","6.71","19.32","33.14","17.93","13619"
"Jon Lester","Cubs","CHC @ LAD",".35","6.27","25.98","5.46","3.26","1.16",".05",".99","2.21","5.91","19.21","33.07","17.72","4930"
"Carlos Martinez","Cardinals","CLE @ STL",".28","6.47","27.61","5.84","3.85","1.22",".10",".68","3.01","5.80","17.84","32.63","16.77","11682"
"Steven Matz","Mets","PIT @ NYM",".40","6.38","26.32","5.72","3.77","1.12",".09",".74","2.09","4.99","17.90","31.28","16.41","13361"
"Derek Holland","Giants","COL @ SF",".35","5.89","24.87","5.55","3.57","1.16",".16",".66","2.23","5.38","16.92","30.03","15.68","4141"
"Blaine Hardy","Tigers","OAK @ DET",".36","6.10","25.99","6.43","3.98","1.41",".17",".87","1.76","5.41","16.43","29.73","15.26","6499"
"Chad Kuhl","Pirates","PIT @ NYM",".34","6.08","25.83","5.19","3.16","1.07",".07",".90","2.95","5.21","16.39","29.64","15.22","14975"
"Nathan Eovaldi","Rays","WSH @ TB",".26","6.38","26.52","6.39","4.09","1.24",".15",".91","1.57","5.05","16.66","29.58","15.22","9132"
"Kevin Gausman","Orioles","SEA @ BAL",".30","6.12","26.10","6.65","4.38","1.26",".11",".91","1.72","5.41","15.97","29.27","14.85","14107"
"Jake Arrieta","Phillies","NYY @ PHI",".22","5.23","21.71","4.46","2.50",".94",".07",".96","1.95","5.48","16.48","27.41","15.12","4153"
"Reynaldo Lopez","White Sox","MIN @ CWS",".32","6.08","26.18","5.60","3.34","1.31",".15",".79","2.95","5.00","15.10","28.28","14.07","16400"
"Anibal Sanchez","Braves","CIN @ ATL",".36","6.20","26.98","6.55","3.97","1.31",".11","1.16","2.38","5.28","14.87","28.21","13.96","3284"
"David Price","Red Sox","LAA @ BOS",".40","5.63","24.34","5.76","3.48","1.31",".12",".85","2.24","4.91","14.51","26.85","13.52","3184"
"Chad Bettis","Rockies","COL @ SF",".35","5.97","25.47","6.08","3.93","1.36",".24",".54","2.10","4.33","14.48","26.92","13.36","10587"
"Elieser Hernandez","Marlins","ARI @ MIA",".28","6.29","26.51","6.19","4.08","1.15",".21",".75","2.09","4.14","14.34","26.64","13.10","16933"
"Frankie Montas","Athletics","OAK @ DET",".37","5.87","25.55","6.60","4.27","1.26",".26",".82","1.95","4.79","13.76","26.40","12.89","14309"
"Austin Bibens-Dirkx","Rangers","SD @ TEX",".40","6.07","26.17","6.86","4.60","1.35",".21",".70","1.81","3.98","12.88","25.10","11.94","9559"
"Tyson Ross","Padres","SD @ TEX",".31","5.50","25.17","5.67","3.65","1.20",".15",".67","3.74","4.47","10.69","23.29","10.39","7872"
"John Lamb","Angels","LAA @ BOS",".28","5.52","24.67","6.54","3.81","1.51",".12","1.10","2.16","4.35","10.65","22.10","10.05","8493"
"Matt Harvey","Reds","CIN @ ATL",".33","5.29","23.54","6.24","3.98","1.27",".19",".79","2.04","3.70","10.09","20.79","9.45","11713"
"Ryan Borucki","Blue Jays","TOR @ HOU",".22","5.49","24.68","6.41","3.89","1.35",".13","1.04","2.46","3.70","8.83","19.64","8.35","sa658266"
