"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Max Scherzer","Nationals","WSH @ MIA",".59","7.30","29.05","5.64","3.65","1.24",".16",".60","1.98","9.30","30.83","49.70","29.14","3137"
"Chris Sale","Red Sox","MIN @ BOS",".61","6.60","26.10","4.89","3.08","1.08",".11",".62","1.85","9.25","30.08","47.93","27.99","10603"
"Clayton Kershaw","Dodgers","LAD @ ATL",".55","6.79","27.49","6.36","4.30","1.29",".13",".63","1.37","7.21","24.38","40.61","22.70","2036"
"Zack Greinke","Diamondbacks","ARI @ SD",".52","6.58","25.90","5.28","3.53",".99",".13",".62","1.41","6.82","24.66","39.74","22.56","1943"
"Chris Archer","Rays","TB @ BAL",".47","6.20","25.54","5.70","3.86","1.10",".06",".67","1.68","6.99","22.45","37.56","20.84","6345"
"Carlos Carrasco","Indians","CLE @ DET",".54","6.43","26.33","6.17","3.91","1.28",".23",".76","1.42","6.65","22.01","37.09","20.41","6632"
"Madison Bumgarner","Giants","MIL @ SF",".40","6.40","25.96","5.35","3.55","1.10",".12",".58","1.97","6.05","21.24","35.59","19.49","5524"
"Dallas Keuchel","Astros","TEX @ HOU",".52","6.69","27.63","6.24","4.19","1.29",".12",".63","1.95","5.73","20.24","35.05","18.79","9434"
"Luke Weaver","Cardinals","CHC @ STL",".40","6.28","26.68","6.10","4.08","1.18",".12",".72","2.31","6.08","18.67","33.34","17.51","16918"
"Nick Pivetta","Phillies","PHI @ CIN",".38","5.86","24.92","5.68","3.74",".98",".13",".83","2.25","6.23","18.16","32.10","16.98","15454"
"Marcus Stroman","Blue Jays","TOR @ CWS",".42","6.11","25.78","6.19","4.24","1.14",".19",".63","1.87","5.71","18.07","32.07","16.81","13431"
"Anthony DeSclafani","Reds","PHI @ CIN",".31","5.93","24.75","5.78","3.50","1.07",".10","1.12","1.64","5.85","17.63","30.48","16.21","13050"
"CC Sabathia","Yankees","KC @ NYY",".45","5.95","24.81","5.78","3.67","1.10",".09",".93","1.77","5.16","17.15","29.96","15.77","404"
"Chase Anderson","Brewers","MIL @ SF",".33","6.13","25.77","5.81","3.78","1.25",".17",".60","2.22","4.72","15.91","28.75","14.67","6895"
"Ivan Nova","Pirates","NYM @ PIT",".38","6.40","26.68","6.49","4.27","1.39",".15",".69","1.56","4.34","15.83","28.46","14.43","1994"
"Andrew Heaney","Angels","SEA @ LAA",".35","5.76","24.51","5.97","3.96","1.03",".08",".89","1.82","5.12","15.51","27.95","14.34","15423"
"Reynaldo Lopez","White Sox","TOR @ CWS",".30","5.92","25.29","5.46","3.23","1.13",".10","1.00","2.61","5.01","15.11","27.68","13.98","16400"
"Mike Foltynewicz","Braves","LAD @ ATL",".21","5.75","25.41","5.99","3.60","1.28",".12",".99","2.71","5.72","14.40","27.62","13.62","10811"
"Jason Vargas","Mets","NYM @ PIT",".35","5.87","25.14","6.06","3.97","1.24",".13",".74","2.05","4.66","14.69","27.13","13.60","8044"
"Sean Manaea","Athletics","OAK @ COL",".39","5.65","24.52","6.27","3.86","1.24",".27",".89","1.90","5.12","14.34","26.86","13.43","15873"
"Luis Perdomo","Padres","ARI @ SD",".25","6.22","26.93","6.36","4.28","1.28",".16",".64","2.61","4.54","13.82","26.87","12.90","14682"
"Pablo Lopez","Marlins","WSH @ MIA",".20","5.77","24.82","5.89","3.85","1.14",".13",".76","2.20","4.89","14.19","26.43","13.14","17085"
"Andrew Cashner","Orioles","TB @ BAL",".26","5.89","25.87","6.31","4.30","1.35",".15",".50","2.64","4.40","12.62","25.28","11.86","8782"
"Kyle Freeland","Rockies","OAK @ COL",".30","5.62","24.94","6.27","3.76","1.42",".14",".95","2.36","4.23","11.25","22.90","10.56","16256"
"Mike Montgomery","Cubs","CHC @ STL",".32","5.65","24.75","6.06","4.03","1.20",".08",".74","2.36","3.77","11.40","22.81","10.58","4869"
"Wade LeBlanc","Mariners","SEA @ LAA",".34","5.80","24.84","6.41","3.88","1.32",".08","1.12","1.61","3.38","11.26","21.87","10.19","5221"
"Lance Lynn","Twins","MIN @ BOS",".15","5.23","24.17","5.87","3.52","1.27",".14",".94","3.29","4.55","9.22","20.92","9.00","2520"
"Mike Fiers","Tigers","CLE @ DET",".21","5.60","24.63","6.44","3.73","1.36",".16","1.19","1.92","3.54","9.61","19.99","8.80","7754"
"Yovani Gallardo","Rangers","TEX @ HOU",".23","5.44","24.25","6.22","3.95","1.30",".13",".84","2.35","3.36","8.89","19.39","8.29","8173"
"Brad Keller","Royals","KC @ NYY",".22","5.28","23.90","6.08","3.86","1.19",".10",".93","2.58","3.55","8.50","19.00","8.04","15734"
