"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Corey Kluber","Indians","CLE @ BAL",".59","7.22","28.64","5.63","3.66","1.04",".07",".86","1.85","8.84","29.82","48.04","28.04","2429"
"Luis Severino","Yankees","TOR @ NYY",".56","6.71","27.42","5.34","3.34","1.06",".06",".88","2.48","7.69","25.21","42.05","23.62","15890"
"Lance McCullers Jr.","Astros","HOU @ CWS",".48","5.79","24.34","4.88","3.31",".91",".13",".53","2.61","7.80","23.40","39.33","22.07","14120"
"Nick Pivetta","Phillies","PIT @ PHI",".39","6.34","26.21","5.47","3.62","1.05",".09",".71","2.29","6.90","22.05","37.50","20.54","15454"
"Alex Wood","Dodgers","WSH @ LAD",".47","6.36","25.90","5.56","3.60","1.18",".09",".68","1.80","6.49","22.25","37.21","20.55","13781"
"Mike Foltynewicz","Braves","NYM @ ATL",".38","6.56","27.82","6.08","3.99","1.31",".11",".68","2.65","6.40","20.06","35.74","18.92","10811"
"David Price","Red Sox","BOS @ OAK",".42","6.25","26.37","6.02","3.44","1.41",".11","1.06","2.04","6.79","20.28","35.23","19.00","3184"
"Patrick Corbin","Diamondbacks","SD @ ARI",".36","6.44","27.09","6.20","3.90","1.39",".18",".74","2.18","6.34","19.74","34.82","18.47","9323"
"Luis Castillo","Reds","CIN @ STL",".37","6.34","26.90","5.74","3.72","1.11",".16",".76","2.77","6.13","19.09","34.15","17.95","15689"
"Jose Quintana","Cubs","CHC @ COL",".41","6.20","26.82","6.69","4.23","1.43",".17",".86","2.16","6.41","18.21","33.32","17.29","11423"
"Junior Guerra","Brewers","MIA @ MIL",".41","5.66","23.25","4.35","2.80",".83",".09",".63","2.37","5.71","19.61","32.48","18.06","5702"
"Francisco Liriano","Tigers","KC @ DET",".40","6.31","26.60","5.78","3.92","1.06",".13",".68","2.52","5.44","18.17","32.48","16.93","3201"
"Trevor Williams","Pirates","PIT @ PHI",".34","6.14","26.30","5.73","3.86","1.13",".15",".59","2.79","5.49","17.27","31.59","16.20","16977"
"Johnny Cueto","Giants","SF @ LAA",".41","6.47","27.11","6.24","3.86","1.15",".12","1.11","2.01","5.33","17.66","31.33","16.40","6893"
"Joey Lucchesi","Padres","SD @ ARI",".35","5.62","24.12","5.45","3.40","1.36",".23",".46","2.37","5.27","16.29","29.27","15.23","19320"
"Caleb Smith","Marlins","MIA @ MIL",".27","5.51","23.97","5.03","3.08","1.08",".08",".78","3.00","5.52","15.60","28.59","14.69","14875"
"German Marquez","Rockies","CHC @ COL",".30","5.75","25.17","6.30","3.83","1.41",".12",".94","2.16","5.43","14.91","28.08","14.05","15038"
"Miles Mikolas","Cardinals","CIN @ STL",".37","6.40","26.76","6.46","4.50","1.19",".15",".62","1.75","3.96","15.32","28.01","13.99","9803"
"Erasmo Ramirez","Mariners","SEA @ TEX",".41","6.04","25.64","6.05","4.06","1.22",".10",".67","2.10","4.36","15.19","27.96","14.03","10314"
"Zack Wheeler","Mets","NYM @ ATL",".35","6.08","26.48","6.07","4.12","1.26",".13",".56","2.87","4.47","14.33","27.80","13.50","10310"
"Yonny Chirinos","Rays","MIN @ TB",".36","5.91","25.24","5.99","3.66","1.32",".14",".87","2.06","4.50","14.62","26.98","13.48","16401"
"Jeremy Hellickson","Nationals","WSH @ LAD",".25","5.58","23.67","5.63","2.99","1.30",".10","1.24","1.75","5.08","14.83","26.41","13.64","4371"
"Jaime Barria","Angels","SF @ LAA",".32","5.90","24.84","5.75","3.40","1.09",".09","1.16","1.87","4.52","14.78","26.55","13.48","18356"
"Reynaldo Lopez","White Sox","HOU @ CWS",".21","5.64","25.24","5.68","3.59","1.15",".08",".85","3.30","5.32","13.51","26.87","12.93","16400"
"Phil Hughes","Twins","MIN @ TB",".34","5.98","25.65","6.94","4.35","1.30",".24","1.05","1.39","4.62","13.99","26.32","12.97","7450"
"Eric Skoglund","Royals","KC @ DET",".32","5.68","24.54","6.03","4.00","1.19",".12",".72","2.06","4.11","13.11","24.89","12.14","16155"
"Daniel Mengden","Athletics","BOS @ OAK",".31","6.19","26.51","6.80","4.24","1.46",".11",".99","1.78","3.94","12.91","24.91","11.87","16980"
"Martin Perez","Rangers","SEA @ TEX",".32","6.17","27.02","6.95","4.99","1.40",".10",".46","2.31","3.19","11.21","23.50","10.47","6902"
"Andrew Cashner","Orioles","CLE @ BAL",".20","5.89","25.92","5.96","3.69","1.24",".11",".92","2.97","3.79","11.04","22.89","10.29","8782"
"Jaime Garcia","Blue Jays","TOR @ NYY",".18","5.06","22.98","5.46","2.94","1.10",".05","1.37","2.88","4.76","10.45","21.60","10.01","8137"
