"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Justin Verlander","Astros","COL @ HOU",".51","7.21","28.58","5.78","3.46","1.22",".15",".95","1.62","8.60","28.60","46.00","26.70","8700"
"Corey Kluber","Indians","CLE @ CIN",".55","6.70","26.97","5.77","3.82","1.06",".10",".79","1.63","7.45","25.11","41.30","23.33","2429"
"J.A. Happ","Yankees","TB @ NYY",".48","6.51","26.83","6.07","4.22","1.04",".11",".71","1.95","6.68","21.73","37.26","20.27","7410"
"James Paxton","Mariners","SEA @ OAK",".45","6.43","26.91","5.92","3.65","1.42",".11",".74","2.22","7.01","21.62","37.23","20.28","11828"
"Anibal Sanchez","Braves","MIA @ ATL",".45","6.44","26.63","6.31","4.25","1.23",".19",".65","1.58","6.00","20.17","34.79","18.68","3284"
"Alex Wood","Dodgers","SF @ LAD",".46","6.02","24.84","5.72","3.84","1.16",".06",".67","1.60","5.99","19.81","33.64","18.30","13781"
"Patrick Corbin","Diamondbacks","ARI @ TEX",".47","5.97","25.43","5.68","3.68","1.18",".14",".68","2.51","6.40","18.99","33.68","17.88","9323"
"Rick Porcello","Red Sox","BOS @ PHI",".40","6.07","25.56","6.00","3.74","1.12",".14",".99","1.85","6.15","18.58","32.49","17.28","2717"
"Nick Pivetta","Phillies","BOS @ PHI",".30","5.77","24.51","5.65","3.38","1.07",".09","1.11","2.01","6.43","17.97","31.46","16.75","15454"
"Brett Kennedy","Padres","LAA @ SD",".39","6.37","26.01","5.70","3.80","1.10",".11",".68","1.80","4.76","17.88","30.83","16.24","17877"
"Blaine Hardy","Tigers","CWS @ DET",".39","6.08","25.43","6.40","4.22","1.20",".19",".79","1.33","5.34","17.36","30.53","15.98","6499"
"Jaime Barria","Angels","LAA @ SD",".32","5.81","24.07","5.48","3.38","1.08",".11",".92","1.69","5.47","17.38","29.79","15.93","18356"
"Jameson Taillon","Pirates","PIT @ MIN",".41","6.19","26.49","6.62","4.20","1.46",".19",".77","1.90","5.35","16.36","30.00","15.31","11674"
"Gio Gonzalez","Nationals","WSH @ STL",".41","6.04","26.20","5.98","4.02","1.17",".09",".70","2.72","5.14","15.63","29.35","14.70","7448"
"German Marquez","Rockies","COL @ HOU",".26","5.92","25.45","6.20","3.85","1.28",".17",".89","2.09","5.13","14.76","27.49","13.75","15038"
"Jake Odorizzi","Twins","PIT @ MIN",".32","5.91","25.58","6.14","3.82","1.25",".16",".92","2.29","5.10","14.64","27.50","13.67","6397"
"Ryan Borucki","Blue Jays","TOR @ KC",".43","5.95","25.38","6.28","4.23","1.30",".23",".52","1.93","4.18","14.22","26.61","13.15","16350"
"Jose Quintana","Cubs","MIL @ CHC",".36","5.75","24.63","5.98","3.72","1.21",".08",".98","1.99","4.65","14.08","26.09","13.02","11423"
"John Gant","Cardinals","WSH @ STL",".30","5.62","24.54","5.71","3.70","1.17",".12",".72","2.57","4.64","13.36","25.55","12.49","13684"
"Trevor Richards","Marlins","MIA @ ATL",".25","5.59","24.55","6.30","4.04","1.43",".15",".68","2.10","4.89","13.15","25.41","12.36","19309"
"Lucas Giolito","White Sox","CWS @ DET",".33","5.87","25.52","6.06","3.81","1.24",".18",".83","2.47","4.39","13.02","25.27","12.16","15474"
"Mike Fiers","Athletics","SEA @ OAK",".29","5.95","25.42","6.30","4.02","1.32",".11",".85","1.89","4.19","13.26","25.06","12.16","7754"
"Andrew Suarez","Giants","SF @ LAD",".25","5.45","23.68","6.13","3.66","1.18",".09","1.21","1.68","4.94","13.09","24.53","12.16","18300"
"Andrew Cashner","Orioles","NYM @ BAL",".37","5.82","25.59","6.06","3.91","1.25",".10",".80","2.70","4.23","12.51","24.85","11.74","8782"
"Jason Vargas","Mets","NYM @ BAL",".30","5.34","23.67","6.25","3.83","1.12",".08","1.22","1.94","4.74","11.79","23.20","11.11","8044"
"Sal Romano","Reds","CLE @ CIN",".21","5.78","25.01","6.12","3.64","1.35",".08","1.06","2.15","3.96","11.53","22.70","10.55","13690"
"Jhoulys Chacin","Brewers","MIL @ CHC",".30","5.17","22.89","5.34","3.29","1.06",".10",".89","2.56","4.12","11.16","21.92","10.45","2608"
"Heath Fillmyer","Royals","TOR @ KC",".28","5.65","24.81","6.05","4.01","1.24",".10",".71","2.44","3.38","10.34","21.33","9.55","17466"
"Yovani Gallardo","Rangers","ARI @ TEX",".22","5.19","23.76","5.96","3.85","1.14",".20",".77","2.85","3.61","8.23","18.87","7.88","8173"
