"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Clayton Kershaw","Dodgers","LAN @ PHI",".64","7.06","27.24","5.32","3.49","1.06",".13",".63","1.37","9.40","32.24","52.33","30.27","2036"
"Patrick Corbin","Diamondbacks","ARI @ SDN",".52","6.48","26.68","5.70","3.92","1.03",".15",".60","2.35","5.99","20.73","37.17","19.53","9323"
"Jameson Taillon","Pirates","MIL @ PIT",".43","6.29","25.91","5.63","3.80","1.12",".08",".64","2.08","5.97","20.16","35.84","18.82","11674"
"Dan Straily","Marlins","NYN @ MIA",".45","6.29","25.90","5.64","3.87","1.04",".20",".54","2.13","4.72","17.79","32.42","16.48","9460"
"Jaime Garcia","Yankees","MIN @ NYA",".45","6.03","25.26","5.58","3.74","1.13",".10",".61","2.32","5.09","17.38","32.03","16.22","8137"
"Jharel Cotton","Athletics","OAK @ DET",".39","5.78","24.47","5.70","3.63","1.00",".18",".90","2.05","4.74","15.36","28.76","14.26","13654"
"Dylan Bundy","Orioles","BOS @ BAL",".36","5.83","25.08","5.80","3.61","1.02",".06","1.11","2.45","4.52","13.72","26.96","12.83","12917"
"Doug Fister","Red Sox","BOS @ BAL",".35","5.84","25.30","6.42","3.87","1.14",".07","1.34","2.00","4.65","13.24","26.34","12.44","9425"
"Ervin Santana","Twins","MIN @ NYA",".27","5.52","24.21","5.90","3.63","1.02",".06","1.19","2.37","4.80","12.70","25.54","11.99","3200"
"Nick Pivetta","Phillies","LAN @ PHI",".14","5.10","22.56","5.00","2.99",".97",".10",".94","2.82","5.02","12.54","24.55","11.86","15454"
"Buck Farmer","Tigers","OAK @ DET",".28","5.11","21.85","4.94","2.96",".91",".10",".98","2.15","4.16","12.55","23.41","11.58","14814"
"Matt Harvey","Mets","NYN @ MIA",".26","5.49","24.01","6.12","4.11","1.11",".14",".76","2.12","3.92","11.38","23.58","10.65","11713"
"Brent Suter","Brewers","MIL @ PIT",".27","5.16","22.29","5.63","3.79","1.08",".08",".67","1.89","3.50","10.99","21.70","10.16","13942"
"Luis Perdomo","Padres","ARI @ SDN",".21","5.23","23.35","5.75","3.84","1.15",".15",".62","2.62","3.79","10.03","21.76","9.51","14682"
