"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Carlos Rodon","White Sox","MIN @ CHA",".41","6.18","26.11","5.39","3.39","1.08",".11",".81","2.83","6.97","20.66","37.35","19.62","16137"
"Tyler Skaggs","Angels","TEX @ ANA",".40","5.83","24.18","5.08","3.32",".92",".07",".78","2.26","6.12","19.39","34.13","18.04","10190"
"Gerrit Cole","Pirates","LAN @ PIT",".34","6.36","26.99","6.34","4.11","1.28",".11",".84","2.25","5.74","17.65","33.13","16.66","13125"
"Chris Stratton","Giants","MIL @ SFN",".35","6.18","26.48","5.78","3.79","1.11",".14",".74","2.90","5.51","16.74","32.10","15.88","13761"
"Alex Wood","Dodgers","LAN @ PIT",".40","5.76","24.50","5.78","3.99","1.13",".12",".54","2.15","5.51","17.17","31.72","16.14","13781"
"Wade Miley","Orioles","OAK @ BAL",".45","5.93","25.35","5.94","3.70","1.12",".08","1.04","2.29","5.70","16.90","31.70","15.95","8779"
"Mike Foltynewicz","Braves","SEA @ ATL",".34","6.03","25.95","6.02","3.80","1.13",".08","1.02","2.54","5.67","16.21","31.10","15.37","10811"
"Taijuan Walker","Diamondbacks","ARI @ NYN",".43","6.22","26.35","6.09","3.75","1.11",".08","1.15","2.30","5.20","16.39","30.97","15.40","11836"
"Eduardo Rodriguez","Red Sox","BOS @ CLE",".39","6.13","26.33","5.85","3.53","1.24",".07","1.02","2.81","5.37","15.96","30.77","15.14","13164"
"Zach Davies","Brewers","MIL @ SFN",".39","6.23","26.65","6.51","4.54","1.25",".17",".55","2.21","4.28","14.61","28.99","13.78","13183"
"Cole Hamels","Rangers","TEX @ ANA",".31","5.86","25.30","5.96","3.87","1.06",".07",".95","2.48","4.70","13.90","27.55","13.09","4972"
"Mike Clevinger","Indians","BOS @ CLE",".31","5.50","23.82","5.40","3.38","1.05",".06",".91","2.59","4.84","13.91","26.97","13.07","12808"
"Tim Melville","Reds","MIN @ CHA",".24","4.72","20.54","4.61","2.88",".73",".08",".92","2.40","4.91","12.95","23.83","12.22","9149"
"Dillon Gee","Twins","MIN @ CHA (2)",".36","5.20","22.67","5.64","3.62",".95",".15",".92","2.15","4.35","12.29","24.22","11.55","7396"
"Robert Gsellman","Mets","ARI @ NYN",".28","5.30","23.35","5.71","3.60","1.14",".12",".85","2.40","4.01","11.10","22.96","10.44","13696"
"Andrew Albers","Mariners","SEA @ ATL",".32","4.92","20.99","5.33","3.62","1.04",".08",".60","1.52","3.62","11.93","21.99","10.99","7853"
"Chris Smith","Athletics","OAK @ BAL",".24","5.05","22.73","6.11","3.39","1.04",".06","1.61","1.98","4.47","9.89","21.09","9.39","4544"
"Carson Fulmer","White Sox","MIN @ CHA (2)",".25","4.85","22.36","4.77","2.85",".96",".10",".87","3.63","4.20","9.54","21.15","9.28","18311"
