"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Robbie Ray","Diamondbacks","LAN @ ARI",".37","6.16","26.43","5.12","3.07","1.07",".16",".82","3.44","7.95","21.94","39.72","21.03","11486"
"Jose Quintana","Cubs","PIT @ CHN",".46","6.43","26.54","5.74","3.74","1.08",".15",".77","2.21","6.73","21.71","38.48","20.42","11423"
"Dallas Keuchel","Astros","TEX @ HOU",".49","6.30","25.39","5.10","3.44",".99",".09",".57","2.08","6.11","21.87","37.62","20.26","9434"
"Stephen Strasburg","Nationals","MIA @ WAS",".44","6.01","24.73","5.42","3.61",".98",".06",".76","1.91","6.78","21.43","37.22","20.02","10131"
"Jose Berrios","Twins","CHA @ MIN",".44","6.08","24.81","5.61","3.74",".99",".17",".70","1.72","6.04","20.23","35.40","18.76","14168"
"Rick Porcello","Red Sox","BOS @ TOR",".45","6.71","27.44","6.29","3.87","1.40",".10",".92","1.73","5.47","19.47","34.86","18.15","2717"
"Justin Verlander","Tigers","DET @ COL",".41","6.28","27.13","6.68","4.16","1.24",".18","1.10","2.34","6.79","18.59","34.91","17.87","8700"
"Julio Teheran","Braves","ATL @ PHI (2)",".42","6.20","25.67","5.72","3.58","1.02",".14",".99","2.05","5.55","18.32","33.15","17.05","6797"
"Carlos Martinez","Cardinals","SLN @ MIL",".40","5.75","24.85","5.42","3.54","1.04",".09",".75","2.85","5.98","17.11","32.18","16.28","11682"
"J.A. Happ","Blue Jays","BOS @ TOR",".32","6.36","26.61","6.20","3.77","1.42",".13",".88","2.14","5.10","16.58","31.17","15.45","7410"
"R.A. Dickey","Braves","ATL @ PHI",".41","6.05","25.39","5.71","3.62","1.05",".14",".90","2.28","5.06","16.54","30.86","15.45","1245"
"Trevor Bauer","Indians","CLE @ NYA",".35","6.16","26.67","5.90","3.73","1.08",".07","1.02","3.00","5.53","15.82","30.80","15.16","12703"
"Chase Anderson","Brewers","SLN @ MIL",".31","5.76","24.72","5.71","3.39","1.07",".12","1.14","2.33","5.65","15.82","29.85","14.85","6895"
"Jason Vargas","Royals","TBA @ KCA",".37","5.93","24.74","5.77","3.65","1.13",".17",".82","1.89","4.79","16.08","29.66","14.86","8044"
"Hyun-Jin Ryu","Dodgers","LAN @ ARI",".33","5.50","23.72","5.83","3.65","1.30",".16",".72","2.04","5.21","15.04","28.50","14.14","14444"
"Jaime Garcia","Yankees","CLE @ NYA",".38","5.83","24.91","5.61","3.80","1.12",".08",".61","2.57","4.31","14.35","27.92","13.41","8137"
"Parker Bridwell","Angels","OAK @ ANA",".36","5.54","23.61","5.29","3.25","1.00",".06",".98","2.31","4.47","14.07","26.54","13.02","11502"
"Homer Bailey","Reds","NYN @ CIN",".39","5.71","24.34","5.87","3.97","1.06",".10",".74","2.04","4.16","13.85","26.71","12.85","8362"
"Mark Leiter","Phillies","ATL @ PHI (2)",".31","5.77","24.76","5.74","3.79","1.12",".10",".73","2.40","4.21","13.52","26.60","12.60","15551"
"Jerad Eickhoff","Phillies","ATL @ PHI",".31","5.79","24.68","5.86","3.78","1.10",".10",".88","2.15","4.18","13.50","26.35","12.50","12664"
"Jake Odorizzi","Rays","TBA @ KCA",".35","6.08","25.80","6.48","4.20","1.22",".12",".94","1.80","3.95","13.36","26.42","12.39","6397"
"Ariel Miranda","Mariners","SEA @ BAL",".35","5.39","23.35","5.71","3.22",".90",".06","1.52","2.05","5.07","13.56","26.03","12.69","17526"
"Jordan Montgomery","Yankees","CLE @ NYA (2)",".33","5.37","22.83","5.05","3.11",".95",".07",".91","2.28","4.43","13.91","25.82","12.85","16511"
"Rafael Montero","Mets","NYN @ CIN",".29","5.30","23.73","5.28","3.24",".97",".09",".98","3.16","4.98","12.55","25.63","12.03","12760"
"Ubaldo Jimenez","Orioles","SEA @ BAL",".33","5.39","23.87","5.68","3.51","1.08",".05","1.04","2.66","4.51","12.02","24.71","11.39","3374"
"Ty Blach","Giants","SFN @ SDN",".34","6.08","26.03","6.67","4.49","1.20",".18",".81","1.96","3.34","11.66","24.36","10.88","14361"
"Chad Bettis","Rockies","DET @ COL",".30","5.55","24.54","6.90","4.58","1.31",".18",".83","1.75","4.20","11.27","24.02","10.69","10587"
"Ivan Nova","Pirates","PIT @ CHN",".26","5.35","23.29","5.94","3.78","1.12",".10",".94","1.95","4.17","11.75","23.59","10.97","1994"
"Derek Holland","White Sox","CHA @ MIN",".27","5.40","23.77","5.85","3.80","1.16",".14",".75","2.45","3.80","10.86","22.87","10.22","4141"
"Adam Conley","Marlins","MIA @ WAS",".27","5.43","24.13","5.97","3.95","1.10",".09",".82","2.66","3.89","10.45","22.81","9.96","14457"
"Kendall Graveman","Athletics","OAK @ ANA",".32","5.57","24.46","6.38","4.18","1.21",".08",".92","2.11","3.52","10.36","22.39","9.73","15514"
"Andrew Cashner","Rangers","TEX @ HOU",".24","5.72","24.84","6.10","3.99","1.12",".09",".90","2.38","2.69","8.99","20.27","8.27","8782"
"Ryan Merritt","Indians","CLE @ NYA (2)",".19","4.22","18.21","4.69","3.01",".83",".06",".80","1.41","2.49","7.84","14.91","7.12","13688"
"Travis Wood","Padres","TBA @ KCA",".00",".50","2.17",".49",".31",".09",".02",".08",".24",".40",".98","1.81",".90","9884"
