"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Clayton Kershaw","Dodgers","LAD @ SF",".54","6.98","27.80","5.76","3.99","1.14",".14",".49","1.59","7.47","26.77","43.63","24.91","2036"
"Jake Arrieta","Phillies","MIA @ PHI",".50","6.66","26.96","5.12","3.38","1.06",".11",".58","2.38","7.01","24.48","40.62","22.74","4153"
"Eduardo Rodriguez","Red Sox","TB @ BOS",".53","6.83","28.89","6.17","4.07","1.38",".14",".58","2.94","7.29","22.90","40.30","21.85","13164"
"Charlie Morton","Astros","SD @ HOU",".50","6.59","27.15","5.38","3.41","1.17",".14",".66","2.56","7.12","23.55","39.88","22.02","4676"
"Jose Quintana","Cubs","CHC @ MIL",".45","6.76","28.06","6.20","3.93","1.35",".13",".79","2.22","7.33","23.18","39.79","21.91","11423"
"Luke Weaver","Cardinals","ARI @ STL",".44","6.64","27.73","5.62","3.91","1.11",".18",".41","2.86","6.52","21.87","38.15","20.55","16918"
"Tanner Roark","Nationals","NYM @ WSH",".43","6.94","29.02","6.21","3.95","1.26",".09",".92","2.57","6.29","20.88","36.55","19.65","8753"
"Mike Clevinger","Indians","KC @ CLE",".48","6.12","25.90","5.17","3.17","1.15",".09",".76","2.89","6.71","20.77","36.17","19.53","12808"
"Reynaldo Lopez","White Sox","DET @ CWS",".42","6.36","26.72","5.62","3.55","1.16",".13",".78","2.61","6.02","19.54","34.39","18.24","16400"
"Jameson Taillon","Pirates","CIN @ PIT",".43","6.59","27.38","5.98","4.15","1.21",".14",".48","2.26","5.45","19.55","34.34","18.15","11674"
"Chase Anderson","Brewers","CHC @ MIL",".30","6.03","25.45","5.42","3.12","1.19",".13",".98","2.41","5.89","18.04","31.72","16.73","6895"
"Taijuan Walker","Diamondbacks","ARI @ STL",".30","6.23","26.83","5.74","3.74","1.12",".16",".72","3.03","5.72","17.19","31.77","16.23","11836"
"Shohei Ohtani","Angels","OAK @ LAA",".37","6.03","25.58","5.62","3.33","1.11",".07","1.11","2.36","5.81","17.66","31.35","16.43","19755"
"Cole Hamels","Rangers","TOR @ TEX",".34","6.28","26.94","5.72","3.47","1.31",".06",".87","2.94","5.46","16.99","31.20","15.93","4972"
"Mike Fiers","Tigers","DET @ CWS",".30","5.78","25.11","5.67","3.42",".98",".17","1.10","2.69","6.19","16.71","30.60","15.79","7754"
"Jordan Montgomery","Yankees","BAL @ NYY",".38","5.48","23.06","5.13","3.27",".92",".08",".86","1.96","5.30","16.88","29.05","15.62","16511"
"Trevor Richards","Marlins","MIA @ PHI",".25","5.83","25.36","5.59","3.46","1.15",".17",".80","2.88","5.50","15.57","29.07","14.68","19309"
"Sean Newcomb","Braves","ATL @ COL",".30","5.54","25.29","5.75","3.70","1.24",".14",".67","3.58","6.03","14.64","29.17","14.28","16943"
"Jaime Garcia","Blue Jays","TOR @ TEX",".37","5.76","24.79","5.46","3.53","1.14",".10",".70","2.66","5.02","15.65","28.73","14.64","8137"
"Kendall Graveman","Athletics","OAK @ LAA",".36","6.26","26.79","6.36","3.91","1.21",".10","1.14","2.24","4.45","14.37","27.07","13.36","15514"
"Mike Wright","Orioles","BAL @ NYY",".30","5.74","25.04","5.49","3.33",".96",".10","1.10","2.91","5.01","14.23","27.01","13.37","12586"
"Tyler Mahle","Reds","CIN @ PIT",".31","6.12","26.34","6.24","4.10","1.31",".18",".65","2.41","4.24","14.03","26.86","13.06","16358"
"Kyle Freeland","Rockies","ATL @ COL",".38","5.91","25.81","6.71","4.69","1.36",".18",".49","2.08","4.01","12.99","25.66","12.17","16256"
"Matt Harvey","Mets","NYM @ WSH",".29","5.22","22.67","5.44","3.60","1.08",".11",".66","2.15","4.41","13.24","24.47","12.37","11713"
"Ty Blach","Giants","LAD @ SF",".25","6.39","27.19","6.69","4.50","1.51",".16",".53","2.00","3.33","12.77","24.87","11.65","14361"
"Tyson Ross","Padres","SD @ HOU",".23","5.40","24.58","5.47","3.45","1.19",".12",".72","3.58","4.89","11.95","24.77","11.57","7872"
"Jason Hammel","Royals","KC @ CLE",".25","5.79","25.66","6.57","3.66","1.52",".14","1.24","2.28","4.69","12.05","24.24","11.38","4538"
"Andrew Kittredge","Rays","TB @ BOS",".22","5.58","24.91","6.77","3.93","1.74",".10",".98","2.01","3.94","10.11","21.44","9.52","12828"
