was;1310;Scherzer, Max;2.090000;2.780000;3.110000;12.120000;107.679993;0.810000;0.232000;0.526000;
stl;115z;Martinez, Carlos;2.870000;3.330000;3.480000;9.960000;100.339996;1.070000;0.264000;0.601000;
nyy;130s;Severino, Luis;3.300000;3.340000;3.170000;9.790000;87.339996;1.090000;0.270000;0.619000;
chc;100x;Arrieta, Jake;4.360000;4.090000;3.780000;9.460000;84.679993;1.290000;0.324000;0.762000;
fla;113p;Straily, Dan;3.430000;3.740000;4.290000;9.210000;84.000000;1.100000;0.287000;0.665000;
chw;111t;Quintana, Jose;4.690000;4.060000;4.190000;8.970000;88.339996;1.320000;0.320000;0.749000;
det;1524;Verlander, Justin;4.520000;4.200000;5.010000;8.830000;87.679993;1.450000;0.317000;0.728000;
bos;109r;Pomeranz, Drew;4.070000;3.880000;3.670000;10.110000;73.000000;1.370000;0.320000;0.747000;
oak;124d;Manaea, Sean;4.050000;3.520000;3.850000;9.940000;73.339996;1.150000;0.280000;0.631000;
tam;106e;Cobb, Alex;4.050000;4.140000;4.580000;6.360000;93.339996;1.390000;0.333000;0.778000;
sdg;1856;Chacin, Jhoulys;4.950000;4.620000;4.190000;7.750000;83.679993;1.340000;0.320000;0.755000;
hou;109s;Fiers, Michael;3.810000;5.650000;4.400000;7.730000;78.000000;1.330000;0.341000;0.802000;
sea;119a;Paxton, James;3.390000;2.780000;3.550000;10.330000;61.000000;1.310000;0.290000;0.668000;
ana;1820;Chavez, Jesse;4.890000;5.430000;4.770000;6.590000;84.679993;1.330000;0.342000;0.812000;
ari;118v;Walker, Taijuan;3.430000;3.450000;4.110000;8.570000;63.000000;1.330000;0.309000;0.725000;
cin;136r;Adleman, Timothy;4.430000;5.240000;5.110000;7.750000;65.000000;1.350000;0.333000;0.780000;
phi;130m;Nola, Aaron;4.320000;3.790000;3.800000;8.490000;58.339996;1.290000;0.299000;0.688000;
bal;116k;Gausman, Kevin;6.470000;5.360000;5.240000;7.030000;80.679993;1.880000;0.392000;0.917000;
los;133t;Maeda, Kenta;4.870000;4.250000;4.250000;9.100000;57.339996;1.240000;0.312000;0.733000;
sfo;1657;Cain, Matt;5.540000;5.160000;5.310000;5.420000;78.000000;1.730000;0.366000;0.860000;
min;107m;Santiago, Hector;5.060000;5.540000;5.890000;6.470000;64.000000;1.410000;0.325000;0.748000;
nym;134g;Gsellman, Robert;6.260000;5.470000;4.720000;6.390000;69.000000;1.640000;0.372000;0.885000;
cle;132x;Clevinger, Mike;3.890000;4.580000;4.470000;9.720000;41.680004;1.270000;0.309000;0.710000;
col;138w;Hoffman, Jeff;4.190000;2.580000;3.920000;9.440000;34.339996;1.140000;0.273000;0.635000;
tor;135x;Biagini, Joe;4.910000;3.430000;3.930000;7.360000;44.000000;1.270000;0.295000;0.688000;
pit;139j;Williams, Trevor;5.010000;4.100000;4.520000;5.980000;46.680004;1.240000;0.318000;0.747000;
mil;129g;Guerra, Junior;3.110000;6.030000;5.810000;6.450000;37.680004;1.350000;0.325000;0.745000;
atl;141v;Newcomb, Sean;1.960000;3.570000;4.340000;6.380000;18.340002;1.040000;0.233000;0.537000;
kan;133p;Strahm, Matt;5.630000;2.140000;4.610000;7.880000;8.000000;1.500000;0.320000;0.737000;
tex;101r;Ross, Tyson;9.350000;4.410000;4.770000;7.270000;8.679999;1.500000;0.329000;0.762000;
