nym;121n;deGrom, Jacob;3.480000;3.740000;3.260000;10.660000;119.000000;1.180000;-999.000000;-999.000000;
ari;1580;Greinke, Zack;2.860000;3.150000;3.120000;10.130000;116.339996;1.000000;-999.000000;-999.000000;
was;1761;Gonzalez, Gio;2.660000;4.060000;4.220000;8.580000;121.679993;1.190000;-999.000000;-999.000000;
cle;1942;Carrasco, Carlos;3.650000;3.490000;3.360000;10.050000;111.000000;1.090000;-999.000000;-999.000000;
fla;113p;Straily, Dan;3.320000;4.160000;4.560000;8.140000;108.339996;1.070000;-999.000000;-999.000000;
bos;109r;Pomeranz, Drew;3.750000;3.640000;3.700000;9.840000;96.000000;1.350000;-999.000000;-999.000000;
pit;110g;Cole, Gerrit;4.350000;4.440000;3.940000;7.760000;113.679993;1.270000;-999.000000;-999.000000;
sea;119a;Paxton, James;3.190000;2.660000;3.440000;10.310000;87.339996;1.160000;-999.000000;-999.000000;
stl;101u;Leake, Mike;3.140000;3.990000;3.910000;6.040000;114.679993;1.200000;-999.000000;-999.000000;
det;1524;Verlander, Justin;4.660000;4.330000;4.970000;8.430000;110.000000;1.500000;-999.000000;-999.000000;
ana;1188;Nolasco, Ricky;4.820000;5.520000;4.590000;7.560000;108.339996;1.350000;-999.000000;-999.000000;
atl;1995;Dickey, R.A.;4.080000;4.970000;5.060000;5.950000;110.339996;1.360000;-999.000000;-999.000000;
sdg;1719;Richard, Clayton;4.750000;4.330000;3.960000;6.150000;115.679993;1.520000;-999.000000;-999.000000;
oak;117v;Gray, Sonny;3.720000;3.460000;3.410000;8.400000;84.679993;1.160000;-999.000000;-999.000000;
kan;1050;Hammel, Jason;5.020000;4.530000;5.240000;7.270000;100.339996;1.480000;-999.000000;-999.000000;
mil;132c;Davies, Zach;5.080000;5.050000;4.710000;6.050000;102.679993;1.500000;-999.000000;-999.000000;
min;136p;Berrios, Jose;3.700000;4.010000;4.440000;8.630000;73.000000;1.150000;-999.000000;-999.000000;
hou;1575;Morton, Charlie;4.060000;4.190000;3.750000;10.220000;68.679993;1.350000;-999.000000;-999.000000;
bal;116k;Gausman, Kevin;6.390000;5.130000;4.870000;7.920000;100.000000;1.790000;-999.000000;-999.000000;
tex;101g;Perez, Martin;4.550000;4.340000;4.620000;6.160000;95.000000;1.640000;-999.000000;-999.000000;
cin;136r;Adleman, Timothy;4.840000;5.700000;5.000000;8.100000;80.000000;1.380000;0.351000;0.828000;
los;133t;Maeda, Kenta;4.380000;3.960000;4.090000;8.880000;78.000000;1.190000;-999.000000;-999.000000;
sfo;1657;Cain, Matt;5.560000;5.230000;5.310000;5.260000;90.679993;1.700000;-999.000000;-999.000000;
tam;135r;Faria, Jacob;2.110000;3.170000;3.970000;8.690000;38.339996;0.970000;0.250000;0.562000;
chc;110q;Montgomery, Mike;4.010000;4.100000;4.380000;7.300000;74.000000;1.390000;-999.000000;-999.000000;
tor;125f;Sanchez, Aaron;3.940000;5.700000;5.100000;6.190000;32.000000;1.590000;-999.000000;-999.000000;
col;130k;Gray, Jon;6.230000;3.600000;4.040000;8.650000;26.000000;1.810000;-999.000000;-999.000000;
chw;127s;Rodon, Carlos;4.320000;4.160000;4.880000;8.640000;16.680002;1.380000;-999.000000;-999.000000;
