nyy;121w;Tanaka, Masahiro;6.070000;5.490000;4.190000;8.170000;72.679993;1.440000;0.370000;0.885000;
bal;108j;Miley, Wade;3.970000;4.640000;4.300000;7.950000;65.679993;1.600000;0.334000;0.760000;
tex;101g;Perez, Martin;4.560000;4.290000;4.540000;6.720000;71.000000;1.630000;0.353000;0.827000;
phi;131e;Eickhoff, Jerad;5.090000;4.200000;4.690000;8.020000;70.679993;1.530000;0.337000;0.797000;
oak;122d;Hahn, Jesse;3.620000;2.940000;4.120000;7.410000;54.680004;1.340000;0.292000;0.660000;
sea;1026;Gallardo, Yovani;6.110000;4.810000;4.690000;6.880000;70.679993;1.580000;0.352000;0.821000;
sfo;1657;Cain, Matt;5.220000;4.890000;5.190000;5.610000;69.000000;1.650000;0.354000;0.830000;
los;114v;Ryu, Hyun-Jin;4.750000;5.360000;4.150000;8.320000;53.000000;1.400000;0.358000;0.857000;
ari;130o;Godley, Zack;2.440000;3.340000;3.340000;7.310000;44.339996;0.990000;0.251000;0.570000;
ana;129w;Meyer, Alex;4.050000;4.210000;4.650000;10.350000;40.000000;1.550000;0.319000;0.701000;
chw;1581;Pelfrey, Mike;3.690000;4.700000;4.990000;6.040000;53.680004;1.320000;0.299000;0.684000;
cle;132x;Clevinger, Mike;4.130000;4.420000;4.050000;10.190000;32.680004;1.220000;0.297000;0.686000;
min;135k;Mejia, Adalberto;5.750000;5.580000;5.160000;8.250000;36.000000;1.580000;0.366000;0.871000;
fla;109k;Locke, Jeff;4.020000;3.260000;4.350000;7.470000;15.679999;1.280000;0.291000;0.675000;
hou;133m;Paulino, David;6.590000;4.530000;4.130000;10.540000;13.679999;1.680000;0.402000;0.957000;
cin;120w;Wojciechowski, Asher;6.000000;6.070000;5.430000;6.000000;15.000000;1.330000;0.407000;0.986000;
nym;134h;Lugo, Seth;1.290000;2.710000;4.730000;7.710000;7.000000;1.140000;0.267000;0.590000;
min;106r;Wilk, Adam;12.270000;13.500000;5.750000;4.910000;3.680000;2.450000;0.618000;1.530000;
