20180924;ari;lad;4;7;7.71;11.36
20180924;was;mia;7;3;10.9738;7.55375
20180924;bos;bal;6;2;10.5288;8.08
20180924;pit;chc;5;1;8.8225;9.52857
20180924;nyy;tam;4;1;10.9767;8.42111
20180924;laa;tex;5;4;9.29444;9.19556
20180924;oak;sea;7;3;8.72222;9.67667
20180924;col;phi;10;1;11.3488;10.8212
20180924;mil;stl;6;4;9.65875;9.53875
20180924;sdg;sfo;5;0;9.06625;8.63125
20180924;hou;tor;5;3;10.8125;8.70778
20180924;chw;cle;0;4;7.32125;9.40667
20180920;det;kan;11;8;9.48222;8.86
20180920;atl;phi;8;3;10.9025;10.2075
20180920;chw;cle;5;4;9.77444;10.8744
20180920;bos;nyy;11;6;8.92333;9.74333
20180920;mia;cin;2;4;9.145;10.1425
20180920;oak;laa;21;3;9.18778;9.19555
20180920;tor;tam;9;8;9.36;10.5178
20180920;nym;was;5;4;8.3475;11.38
20180915;lad;stl;17;4;11.9562;10.0388
20180915;tor;nyy;8;7;9.23667;11.6589
20180915;was;atl;7;1;11.5163;11.445
20180915;nym;bos;3;5;9.54;11.9012
20180915;cle;det;15;0;10.3911;8.31556
20180915;hou;ari;10;4;10.215;8.71778
20180915;sdg;tex;3;6;10.26;9.99375
20180915;chw;bal;2;0;9.63;9.30125
20180915;laa;sea;5;6;9.83375;10.2457
20180915;tam;oak;7;5;8.86444;9.61667
20180915;col;sfo;0;3;9.995;8.28167
20180915;kan;min;10;3;9.83625;10.3622
20180915;mil;pit;1;3;10.63;9.52
20180915;phi;mia;5;4;11.9062;9.03
20180915;cin;chc;0;1;9.3325;10.3962
20180914;phi;mia;14;2;10.6912;8.9475
20180914;lad;stl;3;0;10.7212;9.53625
20180914;bal;chw;6;8;9.90625;10.7389
20180914;nyy;tor;11;0;11.4722;8.37667
20180914;kan;min;8;4;8.56125;9.89333
20180914;mil;pit;7;4;9.9075;9.86875
20180914;nym;bos;8;0;10.0278;10
20180914;was;atl;5;10;10.8425;8.8475
20180914;tex;sdg;4;0;9.40667;11.1171
20180914;det;cle;5;4;9.43667;10.7267
20180914;hou;ari;2;4;10.5363;8.75
20180914;chc;cin;3;2;10.1414;8.80375
20180914;oak;tam;2;1;9.71556;9.82222
20180914;sea;laa;5;0;10.7144;10.595
20180914;sfo;col;2;0;8.41167;9.79143
20180911;was2;phi2;7;6;11.668;11.206
20180911;nyy;min;5;10;12.8071;9.47286
20180911;ari;col;6;3;11.9767;10.9287
20180911;hou;det;5;4;10.78;8.82222
20180911;sdg;sea;2;1;8.57375;10.235
20180911;atl;sfo;4;1;9.44375;8
20180911;chw;kan;3;6;9.75;9.30625
20180911;mil;chc;0;3;9.93167;9.90714
20180911;bal;oak;2;3;9.71222;11.7789
20180911;nym;mia;3;5;9.63875;7.4425
20180911;was;phi;3;1;10.5787;10.9712
20180911;cin;lad;3;1;9.30375;10.69
20180911;cle;tam;2;0;10.3144;8.78778
20180911;bos;tor;7;2;11.2425;8.50556
20180911;pit;stl;5;11;9.26375;9.1
20180911;laa;tex;1;0;11.1733;10.595
20180913;chc;was;4;3;10.8871;10.4875
20180913;lad;stl;9;7;10.9771;8.36286
20180913;sea;laa;8;2;10.71;9.97
