nym;22.85;phi;1.4013e-45;7.72991e-39;
min;21.53;kan;1.4013e-45;7.72991e-39;
mil;20.88;sfo;1.4013e-45;7.72991e-39;
stl;20.55;det;4.59163e-41;-7.72991e-39;
ana;18.13;chw;4.59163e-41;-7.72991e-39;
pit;16.62;fla;1.4013e-45;7.72991e-39;
cin;16.63;sdg;1.4013e-45;7.72991e-39;
los;16.24;col;4.59163e-41;-7.72991e-39;
hou;14.55;bos;4.59163e-41;-7.72991e-39;
atl;14.29;ari;4.59163e-41;-7.72991e-39;
sea;14.02;nyy;1.4013e-45;7.72991e-39;
oak;13.47;tex;1.4013e-45;7.72991e-39;
cle;13.17;tor;4.59163e-41;-7.72991e-39;
