20180907;kan;min;6;10;9.74;10.95;+143;-166
20180907;tor;cle;3;2;8.30667;10.5144;+215;-255
20180907;nyy;sea;4;0;8.77875;9.05222;-114;-106
20180907;phi;nym;4;3;9.805;8.12125;-166;+143
20180906;cle;tor;9;4;10.3489;8.8175;-168;+144
20180906;sdg;cin;6;2;10.0775;10.7212;+143;-166
20180906;atl;ari;7;6;9.53625;10.2383;+144;-168
20180906;was;chc;4;6;9.95;10.1257;-105;-115
20180830;det;nyy;8;7;8.56333;11.5333;+275;-350
20180830;atl;chc;4;5;10.2687;10.4143;-135;+115
20180830;chw;bos;4;9;8.2725;11.1422;+190;-220
20180830;hou;laa;2;5;10.5256;7.99444;-280;+230
20180830;sdg;col;3;2;8.94857;11.1267;+144;-161
20180830;cle;min;5;3;10.6067;9.04778;-220;+190
20180830;lad;ari;1;3;10.7112;9.38714;-164;+142
20180830;mil;cin;2;1;12.1512;10.4025;-156;+136
20180830;sea;oak;7;1;9.95125;9.96375;+121;-141
20180830;stl;pit;5;0;9.8;10.1688;-125;+105
20180828;mil;cin;7;9;12.3775;10.7013;-137;+117
20180828;kan;det;6;2;8.60625;9.24333;-119;-101
20180828;atl;tam;9;5;11.2013;10.4638;-135;+115
20180828;chw;nyy;4;5;9.345;12.265;+215;-255
20180828;sdg;sea;2;1;9.30857;10.7288;+105;-125
20180828;hou;oak;3;4;11.0967;9.08444;-215;+185
20180828;bal;tor;12;5;10.5089;11.8511;+111;-131
20180828;was;phi;5;4;9.97875;9.05125;-117;-103
20180828;nym;chc;1;1;12.2013;12.3614;+106;-126
20180828;mia;bos;7;8;9.72667;11.9433;+240;-290
20180828;stl;pit;5;2;10.4663;9.70875;-176;+151
20180828;lad;tex;8;4;13.4533;10.8311;-235;+200
20180828;col;laa;3;2;9.68833;9.04;-130;+110
20180828;cle;min;8;1;10.8678;8.95667;-240;+205
20180828;sfo;ari;1;0;8.9725;8.92875;-113;-107
20180827;hou;oak;11;4;10.6989;8.56333;-200;+170
20180827;chw;nyy;6;2;8.9325;10.6978;+215;-255
20180827;bal;tor;7;0;10.2744;11.8311;+120;-140
20180827;col;laa;7;10;9.74125;8.46556;-154;+134
20180827;chc;nym;7;4;12.4914;12.5575;-148;+128
20180827;was;phi;5;3;11.4488;10.3488;-112;-108
20180827;sfo;ari;2;0;7.93857;9.545;+159;-184
20180823;chc;cin;7;1;12.6743;10.3463;-220;+190
20180823;kan;tam;3;4;8.25778;9.67667;+155;-180
20180823;det;chw;7;2;9.45778;9.31667;-135;+115
20180823;atl;mia;5;0;10.9237;9.235;-198;+169
20180823;sdg;col;3;4;10.1588;11.5457;+180;-210
20180823;phi;was;2;0;8.37625;9.155;+145;-170
20180823;sfo;nym;3;1;8.11625;8.81125;+138;-158
20180823;oak;min;4;6;11.7656;9.38556;-187;+162
20180823;bos;cle;7;0;10.5367;8.81889;-230;+195
20180822;cle;bos;4;10;9.53222;8.85889;-112;-108
20180822;hou;sea;10;7;9.57889;9.01333;-160;+140
20180822;chw;min;7;3;9.1225;9.29889;-115;-105
20180822;atl;pit;2;1;10.3263;10.0925;-114;-106
20180822;sdg;col;2;6;9.52572;11.48;+225;-270
20180822;det;chc;2;8;9.27111;11.405;+167;-194
20180822;ari;laa;5;1;11.0788;9.47333;-220;+190
20180822;mia;nyy;9;3;8.31375;9.83714;+154;-179
20180822;mil;cin;4;0;10.795;8.13;-285;+235
20180822;kan;tam;3;6;8.43889;9.68889;+164;-189
20180822;phi;was;7;8;9.2125;10.8188;+130;-150
20180822;nym;sfo;5;3;9.4525;8.2975;-159;+139
20180822;tor;bal;6;0;10.8444;9.28667;-178;+153
20180822;tex;oak;4;2;9.82778;9.64778;+142;-164
20180822;stl;lad;3;1;9.90286;11.0563;+151;-176
20180903;col;sfo;9;8;11.3514;10.3714;-146;+126
20180903;tam;tor;7;1;11.424;9.102;-112;-108
20180903;kan;cle;5;1;9.81429;11.3289;+175;-205
20180903;mil;chc;4;3;9.86625;10.9071;+112;-132
20180903;pit;cin;5;1;10.6837;9.91375;-142;+122
20180903;was;stl;4;3;10.5875;8.98875;-185;+160
20180903;nym;lad;4;2;8.53286;9.56429;+131;-151
20180903;chw;det;4;2;9.35;9.21778;-125;+105
20180903;hou;min;4;1;10.24;8.36556;-255;+215
20180903;atl;bos;2;8;10.3488;11.025;+108;-128
20180903;sdg;ari;6;2;8.86857;11.4517;+195;-230
20180903;mia;phi;3;1;8.6375;10.1188;+130;-150
20180903;nyy;oak;3;6;10.0212;9.51375;+101;-121
20180903;laa;tex;3;1;11.0313;11.4237;+111;-131
20180903;bal;sea;1;2;8.81857;11.0644;+210;-250
20180821;atl;pit;6;1;10.8937;9.77875;-132;+112
20180821;sdg;col;4;3;10.3188;10.965;+148;-173
20180821;hou;sea;3;2;9.92;9.44714;-140;+120
20180821;chw;min;2;5;9.23625;9.75889;-110;-110
20180821;det;chc;2;1;8.29;10.7289;+180;-210
20180821;ari;laa;5;4;10.9575;8.81286;-250;+210
20180821;tor;bal;8;2;9.31111;9.26778;-135;+115
20180821;cle;bos;6;3;10.2011;10.3756;+141;-162
20180821;was;phi;10;4;10.6988;9.96875;-140;+120
20180821;nym;sfo;6;3;8.775;9.23875;-122;+102
20180821;oak;tex;6;0;10.4386;7.96;-240;+205
20180821;cin;mil;9;7;9.13125;11.0462;+185;-215
20180821;stl;lad;5;2;10.2329;11.6243;+180;-210
20180821;tam;kan;4;1;10.6311;7.74;-290;+240
20180821;mia;nyy;1;2;8.02;10.1157;+200;-235
20180820;tor;bal;5;3;10.0122;9.15444;-180;+155
20180820;sea;hou;7;4;9.47625;10.0514;+150;-175
20180820;chw;min;8;5;9.63125;10.4111;+144;-168
20180820;atl;pit;1;0;9.82375;9.96;+108;-128
