was;10.323;fla;3.46649;0.5284;
ari;7.67855;oak;5.94166;-0.0145;
cle;7.43876;hou;4.3066;0.2761;
nym;6.99379;mil;0.416455;0.1342;
sea;6.85419;min;4.59163e-41;-2.32009e+15;
los;6.78022;sdg;3.76066;0.2406;
nyy;5.73471;ana;3.80027;0.3626;
col;5.38638;cin;1.14425;0.3423;
bos;5.07719;atl;2.70688;0.1415;
chc;5.05271;sfo;1.8701;0.216;
det;3.73556;chw;0.570656;-0.1134;
pit;3.63727;stl;1.89232;800.582;
tor;3.13514;phi;0.769219;2.32009e+15;
kan;2.11191;tex;1.72137;-0.0119002;
bal;1.82282;tam;4.59163e-41;2.32009e+15;
