cle;21.79;chw;4.59163e-41;-2.32009e+15;
sdg;20.83;fla;4.59163e-41;-2.32009e+15;
los;20.35;phi;4.59163e-41;-2.32009e+15;
tam;19.04;oak;4.59163e-41;2.32009e+15;
cin;18.95;ari;4.59163e-41;2.32009e+15;
atl;18.64;nym;4.59163e-41;-2.32009e+15;
bos;17.04;tor;4.59163e-41;-2.32009e+15;
mil;16.99;stl;4.59163e-41;-2.32009e+15;
sea;16.63;tex;4.59163e-41;-2.32009e+15;
bal;16.31;was;4.59163e-41;-2.32009e+15;
hou;16.28;nyy;4.59163e-41;2.32009e+15;
chc;15.76;pit;4.59163e-41;2.32009e+15;
kan;14.87;min;4.59163e-41;-2.32009e+15;
ana;14.27;det;4.59163e-41;2.32009e+15;
sfo;12.02;col;4.59163e-41;2.32009e+15;
