bos;9.2318;tam;2.66115;0.5374;
hou;7.81019;sfo;4.59163e-41;-2.32009e+15;
stl;6.60598;kan;2.83046;0.2987;
oak;6.38782;sea;4.42862;0.5665;
ana;5.72039;tor;4.94995;-0.0639;
cle;5.67721;chc;2.74752;0.3647;
fla;4.69181;nym;4.25433;0.2608;
bal;4.17625;chw;2.0887;-0.0929999;
tex;3.99824;nyy;4.59163e-41;-2.32009e+15;
phi;3.78308;atl;3.09836;0.2412;
min;3.71748;det;2.74828;-0.898;
pit;3.58401;cin;1.9259;0.0948999;
was;2.88177;sdg;4.59163e-41;-2.32009e+15;
col;2.419;los;0.578549;-800.49;
mil;1.10493;ari;4.59163e-41;-2.32009e+15;
