nym;8.99144;sfo;5.45161;0.2836;
hou;8.59539;ana;1.4013e-45;-1.6329;
los;7.68385;ari;3.91876;0.0958;
cle;7.17469;tam;1.4013e-45;-1.7376;
phi;5.8239;chc;2.95312;0.4169;
stl;5.04212;cin;4.82274;-0.0783;
sea;4.7867;oak;3.44606;-0.2296;
tor;4.56757;fla;4.59163e-41;-2.9002e-38;
col;4.1982;sdg;4.59163e-41;-2.9002e-38;
mil;3.57012;was;4.59163e-41;-2.0957;
pit;3.24837;atl;2.90749;-0.1164;
bos;2.96972;chw;0.455237;0.0377998;
nyy;2.54599;det;0.996007;-0.2372;
min;2.36637;tex;4.59163e-41;-2.9002e-38;
kan;2.28829;bal;1.5231;2.1721;
