phi;22.08;fla;1.4013e-45;-1.71144e-09;
ari;20.66;sfo;1.4013e-45;-1.71144e-09;
hou;20.02;los;4.59163e-41;1.71144e-09;
oak;19.44;det;1.4013e-45;-1.71144e-09;
col;18.75;mil;4.59163e-41;1.71144e-09;
was;17.41;cin;1.4013e-45;-1.71144e-09;
stl;16.95;pit;4.59163e-41;1.71144e-09;
bos;16.21;nyy;1.4013e-45;-1.71144e-09;
min;16.05;kan;1.4013e-45;-1.71144e-09;
cle;15.75;ana;1.4013e-45;-1.71144e-09;
atl;15.33;nym;4.59163e-41;1.71144e-09;
chc;15.33;sdg;1.4013e-45;-1.71144e-09;
sea;14.68;tor;1.4013e-45;-1.71144e-09;
bal;10.08;tex;4.59163e-41;1.71144e-09;
