cle;26.07;kan;1.4013e-45;6.94417e-39;
nyy;20.99;oak;4.59163e-41;-6.94417e-39;
chw;20.41;det;1.4013e-45;6.94417e-39;
phi;19.04;fla;4.59163e-41;-6.94417e-39;
atl;18.8;bos;1.4013e-45;6.94417e-39;
los;17.64;nym;1.4013e-45;6.94417e-39;
sea;16.72;bal;1.4013e-45;6.94417e-39;
hou;16.68;min;1.4013e-45;6.94417e-39;
tam;16.53;tor;4.59163e-41;-6.94417e-39;
was;16.26;stl;1.4013e-45;6.94417e-39;
pit;16.25;cin;1.4013e-45;6.94417e-39;
col;15.17;sfo;1.4013e-45;6.94417e-39;
chc;13.71;mil;4.59163e-41;-6.94417e-39;
tex;9.71;ana;1.4013e-45;6.94417e-39;
