bos;10.0987;det;4.59163e-41;-1.4635;
was;8.1433;atl;5.71596;0.1862;
nym;7.15248;nyy;4.16249;0.271;
tam;6.41834;fla;3.57532;0.1778;
hou;6.19643;ana;4.6034;0.0657001;
ari;5.94046;col;1.3274;-0.1673;
phi;5.79482;sdg;2.12368;0.7314;
sfo;5.6956;oak;4.85615;-0.00550008;
cle;5.66019;tex;0.996725;0.3222;
tor;5.54751;bal;2.01474;0.3758;
min;4.93495;kan;4.59163e-41;-2.0812;
sea;4.76501;chw;0.00389767;0.2774;
chc;4.34972;stl;3.21267;-0.3189;
los;4.2875;mil;1.62142;0.0990001;
pit;2.25564;cin;1.49991;-0.0936999;
