Xander Bogaerts;6295;0.48;0.873;0.378;0.176;11.9; 0.438; 0.785; 0.34; 0.146;11.3
Emilio Bonifacio;4195;0.333;0.833;0.392;0;0; 0.2; 0.443; 0.204; 0;4.4
Julio Borbon;7654;0.5;1;0.439;0;6.2; 0.222; 0.444; 0.195; 0;3
Justin Bour;2492;0.3;0.533;0.229;0.067;3; 0.496; 0.857; 0.356; 0.228;9.4
Peter Bourjos;7692;0.361;0.695;0.3;0.06;7.5; 0.397; 0.676; 0.289; 0.162;7
Michael Bourn;7556;0.457;0.844;0.363;0.1;12.1; 0.351; 0.648; 0.284; 0.108;9.3
Jackie Bradley Jr.;7773;0.36;0.673;0.294;0.116;8.1; 0.538; 0.902; 0.378; 0.261;11.5
Michael Brantley;7662;0.571;0.821;0.311;0.285;6; 0.219; 0.504; 0.221; 0;9.2
Ryan Braun;5163;0.598;1.01;0.417;0.254;15.6; 0.519; 0.869; 0.365; 0.226;11.1
Alex Bregman;2720;0.429;0.735;0.314;0.179;10.7; 0.497; 0.813; 0.344; 0.228;12.1
Bryce Brentz;2400;0.405;0.738;0.322;0.119;7.4; 0.316; 0.579; 0.25; 0.053;1.5
Reid Brignac;6215;0.333;0.667;0.293;0;0; 0.269; 0.462; 0.197; 0.077;3
Socrates Brito;2618;0.083;0.167;0.073;0;0; 0.398; 0.609; 0.256; 0.205;7.7
Trevor Brown;2624;0.381;0.679;0.296;0.127;7.5; 0.355; 0.628; 0.274; 0.128;7.1
Keon Broxton;2626;0.506;0.916;0.395;0.217;12.5; 0.379; 0.694; 0.306; 0.169;8.3
Jay Bruce;7616;0.411;0.678;0.289;0.189;8.2; 0.546; 0.872; 0.361; 0.284;11.7
Kris Bryant;2554;0.641;1.06;0.438;0.327;12.7; 0.523; 0.896; 0.382; 0.239;13.2
Billy Burns;2510;0.367;0.685;0.299;0.089;9.2; 0.272; 0.526; 0.229; 0.052;6.8
Emmanuel Burriss;6207;0;0;0;0;0; 0.216; 0.436; 0.202; 0.081;2.2
Nick Buss;7806;0;0;0;0;5.1; 0.424; 0.722; 0.305; 0.182;6.7
Drew Butera;2322;0.321;0.555;0.24;0.142;6.2; 0.526; 0.883; 0.376; 0.21;8.6
Billy Butler;7578;0.408;0.739;0.316;0.128;7; 0.424; 0.765; 0.332; 0.136;8.1
Byron Buxton;2579;0.436;0.735;0.311;0.213;7.8; 0.426; 0.704; 0.3; 0.201;9.6
Marlon Byrd;7392;0.553;0.962;0.401;0.185;9.5; 0.403; 0.685; 0.29; 0.182;9
Asdrubal Cabrera;6200;0.464;0.835;0.356;0.143;11.1; 0.477; 0.803; 0.342; 0.208;9.1
Melky Cabrera;7513;0.496;0.847;0.36;0.174;11.4; 0.445; 0.788; 0.338; 0.156;9.4
Miguel Cabrera;5125;0.517;0.926;0.385;0.215;12; 0.578; 0.966; 0.403; 0.257;12.2
Ramon Cabrera;2421;0.289;0.558;0.233;0.052;4.2; 0.376; 0.658; 0.283; 0.128;8.1
Lorenzo Cain;7690;0.596;1.016;0.418;0.225;13.3; 0.354; 0.668; 0.294; 0.091;9.3
Kole Calhoun;7752;0.465;0.83;0.359;0.175;10.7; 0.428; 0.77; 0.334; 0.164;9.8
Eric Campbell;2487;0.212;0.537;0.247;0;1.7; 0.238; 0.488; 0.228; 0.095;7.6
Jeimer Candelario;2640;0;0.5;0;0;6; 0.1; 0.35; 0.191; 0;3
Mark Canha;2542;0.474;0.632;0.258;0.316;9; 0.227; 0.352; 0.151; 0.136;5.4
Robinson Cano;4170;0.453;0.77;0.33;0.178;10.9; 0.584; 0.955; 0.396; 0.272;12.3
Stephen Cardullo;2733;0.345;0.635;0.278;0.104;5.5; 0.481; 0.696; 0.287; 0.296;32.2
Matt Carpenter;5203;0.446;0.809;0.351;0.176;11.4; 0.532; 0.92; 0.386; 0.261;11.5
Ezequiel Carrera;7700;0.452;0.824;0.357;0.123;7.1; 0.32; 0.626; 0.282; 0.102;9.4
Chris Carter;3201;0.537;0.875;0.368;0.313;11.3; 0.487; 0.803; 0.339; 0.265;10.8
Curt Casali;2506;0.432;0.737;0.318;0.202;9.3; 0.289; 0.547; 0.244; 0.125;4.8
Nick Castellanos;5217;0.414;0.656;0.275;0.207;8.2; 0.529; 0.894; 0.378; 0.214;10.5
Rusney Castillo;2535;0;0;0;0;0; 0.429; 0.714; 0.303; 0.143;6
Welington Castillo;2328;0.522;0.868;0.367;0.244;10.6; 0.385; 0.698; 0.301; 0.126;9.1
Daniel Castro;2581;0.235;0.481;0.215;0.019;4.5; 0.19; 0.428; 0.192; 0;5
Jason Castro;2318;0.241;0.478;0.219;0.092;6; 0.426; 0.757; 0.329; 0.195;7.7
Starlin Castro;6233;0.432;0.74;0.318;0.167;8.5; 0.434; 0.731; 0.311; 0.162;9.1
Darrell Ceciliani;2570;0;0.222;0.157;0;1.5; 0.25; 0.4; 0.168; 0.1;4.6
Juan Centeno;2391;0.295;0.562;0.247;0.045;1.8; 0.424; 0.751; 0.325; 0.159;8.6
