31.7,173,4.57434,4.17624,43.4
12.7,117,5.09,3.88,37.4
9.2,95,4.77636,4.03249,34.9
3.2,34,3.57178,3.71921,33.7
7.1,79,3.80731,4.4396,33.2
22.7,128,8.28524,4.5066,31.9
33.9,168,3.31549,4.36276,31.7
27.8,108,3.84012,3.9713,28.7
30.3,111,3.57178,3.71921,28.7
20,103,3.88723,3.94004,25.4
20,94,8.28524,4.5066,25.2
14.6,136,4.24834,4.69802,24.9
17,69,3.74248,3.32779,24.7
7.4,83,2.08035,2.66391,22.2
16.3,94,5.09,3.88,21.7
17.1,113,4.57434,4.17624,21.7
21.4,102,4.77636,4.03249,21.7
17.4,59,4.57434,4.17624,21.7
11.5,62,8.28524,4.5066,21.7
3.6,53,5.70523,3.63787,21.7
41.1,174,3.74248,3.32779,21.4
11.6,78,4.24834,4.69802,19.2
23.9,131,3.80731,4.4396,18.7
5.7,49,4.77636,4.03249,18.7
7.7,136,2.08035,2.66391,18.7
20.8,136,8.28524,4.5066,18.4
13.6,100,4.49229,4.32786,18.2
22.2,112,4.49229,4.32786,16
46.4,218,3.84012,3.9713,15.7
16.8,91,3.49336,3.11174,15.5
42.5,191,3.87012,5.09164,53.6
28.7,146,4.04805,4.50798,51.4
17.5,55,3.3763,4.42978,43.9
12.1,79,4.555,3.87,37.4
14.6,91,3.50426,5.30595,37.4
31.2,121,5.85159,5.1859,31.7
15.2,69,4.37986,4.1159,31.4
22.2,134,3.3763,4.42978,30.9
11.5,59,3.08233,3.35407,30.7
19.4,93,4.17188,4.50199,29.4
28,155,4.17188,4.50199,28.9
19.3,135,3.87012,4.76404,28.7
15.2,140,0,3.29,28.4
36.7,192,4.555,3.87,28.4
41.4,221,3.99795,3.90385,28.2
22.1,114,3.08789,4.15595,27.7
15.4,78,4.17188,4.50199,25.4
31.1,168,3.87012,5.09164,25.2
8.6,78,4.04805,4.50798,24.9
17.3,101,4.37986,4.1159,24.9
25,144,3.08789,3.64991,24.7
21.3,123,4.77606,4.46595,24.7
19.2,82,3.99795,3.90385,22.5
19.6,117,3.43785,3.42192,22.2
11.1,99,4.21587,4.32005,22.2
5,43,4.555,3.87,22.2
8.8,87,3.08233,3.35407,22.2
25.3,176,3.45412,4.30385,21.9
14.4,85,4.21587,4.32005,21.7
23.5,131,3.10645,4.20798,21.7
0,-3,4.39241,5.00236,43.9
13.8,113,4.39995,4.26361,38.2
16.7,142,3.66329,4.37472,35.7
12,105,3.50337,4.78988,35.4
48.2,212,3.86323,3.34749,31.4
38.6,152,5.32662,5.68028,31.4
11.8,76,5.32662,5.68028,30.7
26.4,157,2.99308,3.58874,28.7
11.1,91,5.32662,5.68028,28.7
12.1,58,3.8517,4.12366,28.7
26.4,143,3.86711,5.18809,28.2
11.1,88,3.84432,4.43455,27.9
11.1,62,4.09334,4.17181,25.9
3.9,37,2.99308,3.58874,25.7
23.3,143,3.86323,3.34749,25.7
34.3,203,3.84432,4.43455,25.2
24.7,150,4.84454,4.95125,25.2
34.4,181,4.09334,4.17181,25.2
11.3,85,4.09334,4.17181,25.1
