Charlie Blackmon;1.538462;0.360000;-1.000000;0.980000;1.430000;10.750000;0.105000;
Jean Segura;1.461538;0.292000;-1.000000;1.150000;3.190000;5.370000;0.228000;
Ender Inciarte;1.461538;0.280000;0.333333;1.270000;4.710000;6.910000;0.245000;
Eric Hosmer;1.370370;0.294000;0.300000;1.790000;5.430000;6.230000;0.222000;
Matt Kemp;1.423077;0.333000;0.428571;1.270000;4.710000;6.910000;0.276000;
Carlos Correa;1.458333;0.571000;0.333333;1.320000;4.070000;6.340000;0.200000;
Devon Travis;1.458333;0.435000;-1.000000;1.330000;5.250000;7.250000;0.259000;
Xander Bogaerts;1.346154;0.304000;0.285714;1.180000;4.080000;5.670000;0.240000;
Jose Abreu;1.296296;0.423000;0.333333;1.390000;4.700000;11.450000;0.209000;
Mark Trumbo;1.307692;0.235000;0.000000;1.480000;5.860000;8.460000;0.309000;
Josh Harrison;1.222222;0.370000;-1.000000;1.040000;1.990000;7.390000;0.232000;
Neil Walker;1.333333;0.348000;-1.000000;0.810000;3.120000;9.350000;0.122000;
DJ LeMahieu;1.185185;0.190000;-1.000000;0.980000;1.430000;10.750000;0.200000;
Billy Hamilton;1.280000;0.188000;-1.000000;1.870000;5.750000;6.200000;0.291500;
Marcell Ozuna;1.192308;0.300000;0.125000;1.380000;4.340000;7.760000;0.255000;
Adam Duvall;1.192308;0.400000;-1.000000;1.870000;5.750000;6.200000;0.447000;
Giancarlo Stanton;1.192308;0.400000;-1.000000;1.380000;4.340000;7.760000;0.255000;
Jose Altuve;1.148148;0.375000;0.304348;1.320000;4.070000;6.340000;0.200000;
Elvis Andrus;1.148148;0.320000;0.416667;1.180000;3.610000;10.950000;0.190000;
Zack Cozart;1.363636;0.350000;0.000000;1.870000;5.750000;6.200000;0.447000;
Yolmer Sanchez;1.200000;0.286000;-1.000000;1.390000;4.700000;11.450000;0.299500;
Brett Gardner;1.250000;0.211000;0.323529;1.780000;6.170000;6.330000;0.250000;
Michael Conforto;1.250000;0.238000;-1.000000;0.810000;3.120000;9.350000;0.077000;
Aledmys Diaz;1.304348;0.316000;-1.000000;1.580000;4.750000;9.000000;0.250000;
Starlin Castro;1.200000;0.167000;0.350000;1.780000;6.170000;6.330000;0.367000;
Domingo Santana;1.208333;0.333000;-1.000000;1.250000;3.230000;12.090000;0.244000;
Nomar Mazara;1.208333;0.364000;-1.000000;1.180000;3.610000;10.950000;0.263000;
Aaron Judge;1.208333;0.353000;0.285714;1.780000;6.170000;6.330000;0.367000;
Justin Bour;1.115385;0.250000;0.166667;1.380000;4.340000;7.760000;0.286000;
Travis Shaw;1.318182;0.350000;0.200000;1.250000;3.230000;12.090000;0.216000;
Chris Owings;1.208333;0.278000;-1.000000;1.620000;6.290000;7.310000;0.261000;
Eduardo Nunez;1.208333;0.400000;-1.000000;0.940000;2.770000;11.720000;0.135000;
Jose Bautista;1.115385;0.353000;-1.000000;1.330000;5.250000;7.250000;0.259000;
Ian Desmond;1.160000;0.318000;0.000000;0.980000;1.430000;10.750000;0.200000;
Nolan Arenado;1.115385;0.227000;-1.000000;0.980000;1.430000;10.750000;0.200000;
Nick Markakis;1.115385;0.286000;0.000000;1.270000;4.710000;6.910000;0.245000;
Andrelton Simmons;1.074074;0.346000;0.200000;1.270000;3.580000;6.180000;0.227000;
Mark Reynolds;1.217391;0.263000;-1.000000;0.980000;1.430000;10.750000;0.200000;
Ryan Zimmerman;1.166667;0.389000;0.222222;1.500000;4.450000;5.930000;0.261000;
Danny Valencia;1.217391;0.333000;-1.000000;1.150000;3.190000;5.370000;0.228000;
Aaron Altherr;1.120000;0.250000;-1.000000;1.070000;3.830000;9.000000;0.188000;
Jedd Gyorko;1.217391;0.300000;0.000000;1.580000;4.750000;9.000000;0.250000;
Paul Goldschmidt;1.076923;0.211000;-1.000000;1.620000;6.290000;7.310000;0.261000;
Ryon Healy;1.166667;0.368000;-1.000000;1.180000;2.860000;9.820000;0.174000;
Jed Lowrie;1.120000;0.389000;-1.000000;1.180000;2.860000;9.820000;0.184000;
Melky Cabrera;1.037037;0.391000;0.400000;1.390000;4.700000;11.450000;0.299500;
Mookie Betts;1.076923;0.217000;0.444444;1.180000;4.080000;5.670000;0.240000;
Buster Posey;1.125000;0.143000;-1.000000;0.940000;2.770000;11.720000;0.135000;
Whit Merrifield;1.125000;0.500000;0.750000;1.790000;5.430000;6.230000;0.335000;
Joey Votto;1.038462;0.118000;0.333333;1.870000;5.750000;6.200000;0.136000;
Keon Broxton;1.173913;0.150000;0.333333;1.250000;3.230000;12.090000;0.244000;
Avisail Garcia;1.080000;0.200000;-1.000000;1.390000;4.700000;11.450000;0.209000;
Didi Gregorius;1.080000;0.250000;0.192308;1.780000;6.170000;6.330000;0.250000;
Chris Taylor;1.000000;0.261000;-1.000000;1.140000;3.320000;9.830000;0.198000;
Tommy Joseph;1.000000;0.217000;-1.000000;1.070000;3.830000;9.000000;0.188000;
Tim Anderson;1.238095;0.227000;-1.000000;1.390000;4.700000;11.450000;0.209000;
Justin Smoak;1.040000;0.368000;-1.000000;1.330000;5.250000;7.250000;0.237000;
Ben Gamel;1.083333;0.286000;-1.000000;1.150000;3.190000;5.370000;0.235000;
Jose Peraza;1.040000;0.250000;-1.000000;1.870000;5.750000;6.200000;0.447000;
Dee Gordon;1.040000;0.353000;0.333333;1.380000;4.340000;7.760000;0.286000;
Cody Bellinger;1.000000;0.222000;-1.000000;1.140000;3.320000;9.830000;0.216000;
Kevin Pillar;1.083333;0.087000;-1.000000;1.330000;5.250000;7.250000;0.259000;
George Springer;1.040000;0.320000;0.125000;1.320000;4.070000;6.340000;0.200000;
Jason Kipnis;1.083333;0.333000;0.000000;1.110000;4.350000;9.800000;0.063000;
Kyle Seager;1.000000;0.261000;-1.000000;1.150000;3.190000;5.370000;0.235000;
Cesar Hernandez;1.040000;0.286000;-1.000000;1.070000;3.830000;9.000000;0.175500;
Jonathan Lucroy;1.190476;0.200000;-1.000000;1.180000;3.610000;10.950000;0.190000;
Victor Martinez;1.086957;0.269000;0.200000;1.150000;4.430000;7.590000;0.188000;
Anthony Rendon;1.000000;0.381000;0.000000;1.500000;4.450000;5.930000;0.261000;
Javier Baez;1.041667;0.235000;-1.000000;1.480000;5.610000;8.720000;0.238000;
Michael Brantley;1.136364;0.381000;-1.000000;1.110000;4.350000;9.800000;0.063000;
Jordy Mercer;0.961538;0.478000;-1.000000;1.040000;1.990000;7.390000;0.232000;
