4252;Altuve, Jose;L;1018.94;0.913;1.032;0.646;0.987346;0.96; 
4236;Sogard, Eric;R;970.581;0.991;0.897;0.981;1.08203;1.05; 
4275;Gennett, Scooter;R;936.824;0.938;1.035;1.367;0.905144;1.05; 
4202;Lowrie, Jed;R;883.144;0.831;0.749;0.627;1.1791;0.96; 
4253;Kipnis, Jason;R;869.314;0.691;0.789;0.713;1.10179;1.15; 
6200;Cabrera, Asdrubal;R;866.336;0.748;0.813;1.16;1.0656;0.88; 
6268;Schoop, Jonathan;R;865.723;0.897;1.037;1.087;0.834834;1.04; 
4248;Harrison, Josh;R;860.803;0.828;0.82;0.885;1.04976;1; 
5116;Utley, Chase;R;841.055;0.717;0.806;0.627;1.04349;0.97; 
2760;Robertson, Daniel;R;837.419;0.679;0.739;0.788;1.13318;1; 
6233;Castro, Starlin;L;831.271;0.84;0.809;0.4;1.02753;1; 
2496;Panik, Joe;R;820.927;0.751;0.956;0.805;0.858711;0.93; 
2782;DeJong, Paul;R;791.181;0.772;0.772;0.792;1.02485;1.08; 
4170;Cano, Robinson;R;780.359;0.81;0.728;0.748;1.07192;0.98; 
6275;Dozier, Brian;L;777.431;0.787;0.81;0.736;0.959791;1.09; 
2699;Merrifield, Whit;R;770.415;0.768;0.796;0.613;0.967858;1; 
6247;Gordon, Dee;R;761.287;0.692;0.715;0.607;1.06474;0.95; 
6137;Phillips, Brandon;R;729.455;0.8;0.811;0.952;0.899451;1; 
6164;Kinsler, Ian;L;719.779;0.746;0.849;1.061;0.847797;1; 
2605;Drury, Brandon;R;672.652;0.821;0.901;0.558;0.746562;1.08; 
2775;Happ, Ian;R;577.749;0.915;0.904;1.132;0.639103;1.02; 
6296;Goins, Ryan;R;0;-1;-1;-1;1.03326;1.04; 
2408;Sanchez, Carlos;R;0;-1;-1;-1;0.958008;1; 
6243;Espinosa, Danny;R;0;-1;-1;-1;0.857485;0.95; 
4247;LeMahieu, D.J.;R;0;-1;-1;-1;1.11211;0.96; 
2486;Odor, Rougned;R;0;-1;-1;-1;0.985168;1.15; 
5176;Murphy, Dan;R;0;-1;-1;-1;1.03549;0.92; 
4227;Turner, Justin;R;1474.43;1.033;1.265;1.39;1.16556;0.95; 
4278;Ramirez, Jose;R;1256.8;0.942;1.161;1.183;1.08252;1.08; 
2324;Donaldson, Josh;R;1115.52;0.915;0.89;0.566;1.25339;1.04; 
2715;Healy, Ryon;R;1108.35;0.811;0.94;0.391;1.1791;0.96; 
2567;Shaw, Travis;R;1020.35;0.889;0.943;1.003;1.08203;1.05; 
