2309;Avila, Alex;R;1321.46;1.087;1.069;1.471;1.23616;0.98; 
2314;Posey, Buster;R;1084.77;0.948;1;0.745;1.08477;0.99; 
2639;Contreras, Willson;R;1083.13;0.735;0.91;0.844;1.19025;1.02; 
2312;Flowers, Tyler;R;911.253;0.935;0.999;0.855;0.912166;1; 
2318;Castro, Jason;R;818.749;0.723;0.797;1.091;1.02729;0.98; 
2445;Sanchez, Gary;R;818.168;0.761;0.805;0.711;1.01636;1.02; 
2364;Gomes, Yan;L;817;0.731;0.817;0.538;1;1.22; 
2295;Cervelli, Francisco;L;804.273;0.736;0.748;0.748;1.07523;1.05; 
2209;Molina, Yadier;R;780.898;0.692;0.726;0.614;1.07562;1; 
2646;Wolters, Tony;R;775.477;0.776;0.717;0.868;1.08156;1.19; 
2359;Grandal, Yasmani;R;773.015;0.767;0.854;0.36;0.90517;0.95; 
2346;Perez, Salvador;L;765.24;0.77;0.814;0.636;0.940098;1; 
2565;Hedges, Austin;R;728.923;0.703;0.78;1;0.934516;1.08; 
2427;Realmuto, J.T.;R;709.953;0.788;0.732;0.762;0.969882;1.02; 
2351;Maldonado, Martin;R;685.14;0.716;0.728;0.61;0.941126;1; 
2325;Lucroy, Jonathan;R;645.865;0.669;0.707;0.353;0.913529;1.11; 
2411;Barnhart, Tucker;R;610.881;0.687;0.796;0.669;0.767438;1; 
2358;Norris, Derek;R;585.361;0.583;0.591;0.417;0.990458;0.9; 
2373;Gattis, Evan;L;526.27;0.78;0.669;1.042;0.786651;1; 
2379;Phegley, Josh;L;0;-1;-1;-1;1.11955;0.91; 
2226;Mathis, Jeff;R;0;-1;-1;-1;1.06258;1.08; 
2609;Maile, Luke;R;0;-1;-1;-1;1.02634;0.91; 
2755;Knapp, Andrew;R;0;-1;-1;-1;1.03022;1; 
2345;Pina, Manny;L;-885.52;0.76;-1;0.465;0.88552;0.99; 
2217;Rivera, Rene;R;-899.408;0.685;-1;-1;0.899408;1.11; 
2485;Joseph, Caleb;R;-913.22;0.671;-1;0.563;0.91322;1.05; 
2712;Narvaez, Omar;R;-1000;0.646;-1;-1;1;0.99; 
2387;Rupp, Cameron;R;-1030.22;0.693;-1;0.545;1.03022;1; 
2377;Zunino, Mike;L;-1150.41;0.626;-1;1.143;1.15041;0.96; 
2372;Herrmann, Chris;R;-1190.33;0.633;-1;0.286;1.19033;1.11; 
3177;Davis, Chris;R;1158.83;0.809;0.86;1.114;1.34748;1; 
