Corey Dickerson;1.480000;0.455000;-1.000000;1.290000;4.470000;8.940000;0.266000;
Adam Jones;1.280000;0.345000;0.227273;0.890000;2.070000;6.490000;0.133000;
Mark Trumbo;1.230770;0.464000;0.600000;0.890000;2.070000;6.490000;0.133000;
Nelson Cruz;1.200000;0.190000;-1.000000;1.530000;7.470000;8.040000;0.258000;
Elvis Andrus;1.111110;0.250000;0.181818;1.410000;4.230000;9.430000;0.314000;
Jedd Gyorko;1.380950;0.316000;0.200000;0.890000;2.150000;8.900000;0.191000;
Scott Schebler;1.208330;0.278000;-1.000000;0.880000;2.600000;9.000000;0.220000;
Jose Altuve;1.160000;0.421000;0.166667;1.610000;6.250000;5.640000;0.300000;
Miguel Sano;1.272730;0.333000;-1.000000;1.130000;2.970000;6.090000;0.222000;
Didi Gregorius;1.333330;0.391000;0.000000;1.270000;2.970000;7.020000;0.200000;
Cody Bellinger;1.120000;0.273000;-1.000000;1.130000;2.780000;7.940000;0.290000;
Travis Shaw;1.285710;0.353000;0.142857;0.850000;3.460000;6.920000;0.188000;
Ben Gamel;1.125000;0.286000;-1.000000;1.530000;7.470000;8.040000;0.343000;
Corey Seager;1.038460;0.368000;-1.000000;1.130000;2.780000;7.940000;0.290000;
Kolten Wong;1.238100;0.500000;-1.000000;0.890000;2.150000;8.900000;0.277000;
Victor Martinez;1.238100;0.273000;-1.000000;1.090000;2.650000;9.940000;0.218000;
Evan Longoria;1.040000;0.273000;0.166667;1.290000;4.470000;8.940000;0.218000;
Domingo Santana;1.086960;0.214000;-1.000000;0.850000;3.460000;6.920000;0.221000;
Ezequiel Carrera;0.960000;0.118000;-1.000000;1.350000;3.860000;8.320000;0.221000;
Freddy Galvis;1.000000;0.300000;-1.000000;1.280000;4.340000;7.450000;0.237500;
Ian Kinsler;1.200000;0.333000;0.000000;1.090000;2.650000;9.940000;0.186000;
Manny Machado;0.960000;0.217000;0.285714;0.890000;2.070000;6.490000;0.133000;
Hanley Ramirez;1.095240;0.368000;0.150000;1.340000;2.450000;4.240000;0.229000;
Chris Taylor;0.884615;0.375000;-1.000000;1.130000;2.780000;7.940000;0.130000;
Wil Myers;0.851852;0.150000;0.000000;1.480000;5.560000;6.150000;0.255000;
T.J. Rivera;0.956522;0.091000;-1.000000;1.250000;4.610000;7.350000;0.212000;
George Springer;1.047620;0.188000;0.333333;1.610000;6.250000;5.640000;0.300000;
Jose Ramirez;0.916667;0.250000;-1.000000;1.300000;5.180000;7.430000;0.206000;
Cory Spangenberg;0.956522;0.182000;-1.000000;1.480000;5.560000;6.150000;0.253000;
Jason Kipnis;0.916667;0.304000;-1.000000;1.300000;5.180000;7.430000;0.174000;
Christian Arroyo;0.846154;0.238000;-1.000000;1.380000;3.570000;9.170000;0.274000;
Kole Calhoun;0.846154;0.118000;-1.000000;1.240000;3.670000;6.070000;0.264000;
Joe Mauer;1.050000;0.308000;-1.000000;1.130000;2.970000;6.090000;0.245000;
Dansby Swanson;0.913043;0.350000;-1.000000;1.950000;7.340000;9.700000;0.275000;
Alex Bregman;0.875000;0.200000;-1.000000;1.610000;6.250000;5.640000;0.300000;
Trevor Plouffe;0.800000;0.313000;-1.000000;1.080000;1.530000;4.580000;0.329000;
Chris Davis;0.800000;0.231000;0.178571;0.890000;2.070000;6.490000;0.148000;
Yasiel Puig;0.833333;0.182000;0.666667;1.130000;2.780000;7.940000;0.130000;
Brandon Belt;0.769231;0.353000;0.000000;1.380000;3.570000;9.170000;0.192000;
Justin Upton;0.800000;0.130000;-1.000000;1.090000;2.650000;9.940000;0.186000;
Joe Panik;0.800000;0.125000;0.200000;1.380000;3.570000;9.170000;0.192000;
Austin Hedges;0.730769;0.235000;-1.000000;1.480000;5.560000;6.150000;0.255000;
Carlos Beltran;0.863636;0.167000;0.277778;1.610000;6.250000;5.640000;0.316500;
Kevin Kiermaier;0.703704;0.190000;0.142857;1.290000;4.470000;8.940000;0.266000;
Matt Carpenter;0.818182;0.143000;0.263158;0.890000;2.150000;8.900000;0.277000;
Michael Saunders;0.782609;0.150000;-1.000000;1.280000;4.340000;7.450000;0.255000;
Adam Rosales;0.692308;0.095000;-1.000000;1.080000;1.530000;4.580000;0.329000;
Dexter Fowler;0.850000;0.182000;0.409091;0.890000;2.150000;8.900000;0.234000;
Jorge Polanco;0.894737;0.200000;-1.000000;1.130000;2.970000;6.090000;0.233500;
Andrew McCutchen;0.653846;0.208000;0.142857;1.460000;4.130000;4.880000;0.280000;
Matt Joyce;0.727273;0.167000;-1.000000;1.080000;1.530000;4.580000;0.143000;
Taylor Motter;0.695652;0.182000;-1.000000;1.530000;7.470000;8.040000;0.258000;
Addison Russell;0.727273;0.125000;0.500000;1.260000;4.500000;8.070000;0.242000;
J.J. Hardy;0.625000;0.143000;0.235294;0.890000;2.070000;6.490000;0.133000;
Curtis Granderson;0.583333;0.357000;0.333333;1.250000;4.610000;7.350000;0.273000;
Tyler Collins;0.619048;0.150000;-1.000000;1.090000;2.650000;9.940000;0.250000;
Jarrod Dyson;0.541667;0.167000;-1.000000;1.530000;7.470000;8.040000;0.343000;
Steven Souza Jr.;0.571429;0.176000;0.000000;1.290000;4.470000;8.940000;0.218000;
Jean Segura;1.538460;0.217000;0.454545;1.340000;4.730000;7.360000;0.226000;
Eric Hosmer;1.407410;0.321000;-1.000000;1.130000;3.640000;10.340000;0.198000;
Buster Posey;1.360000;0.235000;0.250000;1.230000;3.350000;7.490000;0.253000;
Starlin Castro;1.360000;0.308000;0.555556;1.750000;6.200000;6.860000;0.382000;
Mark Trumbo;1.259260;0.393000;0.333333;0.390000;0.590000;8.800000;0.000000;
Billy Hamilton;1.320000;0.290000;-1.000000;1.460000;6.650000;10.680000;0.277500;
Miguel Sano;1.347830;0.400000;0.000000;1.500000;3.520000;7.040000;0.270000;
Kris Bryant;1.347830;0.250000;-1.000000;1.520000;5.370000;7.790000;0.247000;
Adam Jones;1.192310;0.267000;0.333333;0.390000;0.590000;8.800000;0.000000;
Salvador Perez;1.115380;0.333000;-1.000000;1.130000;3.640000;10.340000;0.247000;
Tim Beckham;1.115380;0.292000;-1.000000;1.280000;4.010000;7.840000;0.272000;
Elvis Andrus;1.074070;0.240000;0.086957;0.790000;2.190000;13.020000;0.166000;
Scott Schebler;1.120000;0.300000;-1.000000;1.460000;6.650000;10.680000;0.281000;
Yasmani Grandal;1.173910;0.350000;0.187500;0.990000;2.030000;6.240000;0.215000;
Manuel Margot;1.000000;0.174000;-1.000000;1.790000;7.270000;6.750000;0.353000;
Josh Bell;0.892857;0.304000;-1.000000;1.520000;5.470000;6.570000;0.267000;
Eugenio Suarez;0.961538;0.391000;0.142857;1.460000;6.650000;10.680000;0.274000;
Aaron Altherr;1.000000;0.296000;0.333333;1.420000;5.090000;6.960000;0.223000;
J.T. Realmuto;1.090910;0.357000;-1.000000;1.240000;3.970000;6.750000;0.269000;
Jose Reyes;1.043480;0.389000;0.000000;1.260000;1.420000;4.970000;0.300000;
Cameron Maybin;0.960000;0.391000;0.571429;0.870000;2.610000;8.710000;0.200000;
Freddy Galvis;0.920000;0.192000;0.333333;1.420000;5.090000;6.960000;0.246500;
Hanley Ramirez;1.047620;0.333000;0.400000;1.570000;3.710000;6.350000;0.267000;
Tommy Joseph;0.956522;0.273000;-1.000000;1.420000;5.090000;6.960000;0.223000;
T.J. Rivera;0.916667;0.091000;-1.000000;1.260000;1.420000;4.970000;0.188000;
