"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Anthony Rizzo","Cubs","CHC @ CIN","1B","4.64","1.15",".59",".23",".01",".31",".79",".74",".04",".02",".69",".65","9.29","14.46","10.80","3473"
"Mike Trout","Angels","TB @ LAA","CF","4.40","1.06",".55",".18",".03",".30",".79",".60",".13",".05",".79",".91","9.28","14.37","10.80","10155"
"J.D. Martinez","Red Sox","BAL @ BOS","DH","4.39","1.24",".65",".29",".02",".28",".73",".91",".02",".01",".42","1.02","9.00","14.10","10.55","6184"
"Aaron Judge","Yankees","NYY @ KC","RF","4.83","1.12",".66",".22",".02",".23",".81",".69",".06",".04",".84","1.20","9.04","14.06","10.46","15640"
"Mookie Betts","Red Sox","BAL @ BOS","RF","4.73","1.29",".72",".36",".03",".18",".79",".65",".13",".06",".52",".50","8.93","13.87","10.56","13611"
"Giancarlo Stanton","Yankees","NYY @ KC","LF","4.74","1.16",".61",".26",".01",".28",".71",".85",".02",".01",".56","1.07","8.89","13.90","10.36","4949"
"Kyle Schwarber","Cubs","CHC @ CIN","LF","4.33","1.00",".48",".14",".02",".36",".71",".80",".02",".02",".60","1.13","8.87","13.85","10.28","16478"
"Ronald Acuna","Braves","MIA @ ATL","LF","4.57","1.27",".78",".26",".04",".19",".77",".61",".20",".15",".41",".95","8.78","13.63","10.48","18401"
"Ian Happ","Cubs","CHC @ CIN","CF","4.44","1.03",".50",".18",".03",".33",".72",".81",".06",".04",".47","1.47","8.74","13.67","10.19","17919"
"Ozzie Albies","Braves","MIA @ ATL","2B","4.69","1.33",".79",".29",".06",".20",".75",".62",".13",".08",".32",".69","8.57","13.32","10.29","16556"
"Willson Contreras","Cubs","CHC @ CIN","C","4.55","1.16",".63",".24",".02",".27",".72",".80",".03",".03",".47",".88","8.55","13.37","10.02","11609"
"Andrew Benintendi","Red Sox","BAL @ BOS","LF","4.61","1.24",".73",".31",".05",".14",".77",".64",".10",".06",".54",".65","8.47","13.18","10.00","17901"
"Freddie Freeman","Braves","MIA @ ATL","1B","4.45","1.23",".72",".30",".02",".19",".68",".66",".04",".03",".59",".68","8.28","12.89","9.76","5361"
"Joey Votto","Reds","CHC @ CIN","1B","4.42",".99",".58",".18",".01",".23",".69",".60",".02",".01",".97",".78","8.35","12.97","9.60","4314"
"Joey Gallo","Rangers","TEX @ CWS","1B","4.33",".80",".32",".12",".01",".35",".63",".77",".04",".02",".67","1.44","8.29","12.94","9.49","14128"
"Jay Bruce","Mets","ARI @ NYM","RF","4.42","1.06",".55",".23",".02",".26",".71",".68",".03",".02",".47",".73","8.07","12.59","9.44","9892"
"Christian Yelich","Brewers","MIL @ MIN","LF","4.72","1.22",".76",".27",".02",".16",".70",".56",".07",".04",".55","1.05","7.91","12.29","9.39","11477"
"Mitch Moreland","Red Sox","BAL @ BOS","1B","4.49","1.13",".63",".30",".01",".19",".72",".73",".01",".00",".48",".75","7.89","12.35","9.22","3086"
"Brian Dozier","Twins","MIL @ MIN","2B","4.63","1.05",".60",".22",".03",".20",".67",".53",".09",".04",".60",".86","7.85","12.17","9.22","9810"
