"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Joey Votto","Reds","PIT @ CIN","1B","4.58","1.19",".70",".21",".01",".28",".91",".80",".02",".01","1.02",".59","10.09","15.72","11.60","4314"
"Gregory Polanco","Pirates","PIT @ CIN","RF","4.88","1.28",".66",".31",".01",".29",".90",".73",".09",".06",".50",".74","9.64","15.01","11.32","12907"
"Mike Trout","Angels","LAA @ TOR","CF","4.78","1.08",".59",".22",".04",".23",".79",".65",".15",".06","1.04",".79","9.67","14.99","11.17","10155"
"Corey Dickerson","Pirates","PIT @ CIN","LF","4.56","1.40",".76",".33",".02",".29",".79",".94",".03",".03",".29",".64","9.46","14.81","11.20","10762"
"Josh Bell","Pirates","PIT @ CIN","1B","4.66","1.24",".70",".25",".03",".26",".81",".88",".03",".02",".52",".64","9.22","14.42","10.78","13145"
"Rhys Hoskins","Phillies","ATL @ PHI","LF","4.54",".98",".44",".21",".02",".32",".80",".71",".05",".04",".84","1.18","9.24","14.38","10.60","16472"
"Scooter Gennett","Reds","PIT @ CIN","2B","4.48","1.29",".75",".26",".02",".26",".74",".98",".03",".02",".33",".89","8.99","14.13","10.60","10339"
"Giancarlo Stanton","Yankees","NYY @ TEX","LF","4.68","1.11",".57",".25",".01",".29",".74",".89",".02",".01",".59","1.15","9.03","14.13","10.46","4949"
"Freddie Freeman","Braves","ATL @ PHI","1B","4.57","1.20",".64",".28",".02",".27",".72",".68",".04",".02",".65",".87","8.91","13.85","10.44","5361"
"Aaron Judge","Yankees","NYY @ TEX","RF","4.90","1.10",".65",".21",".02",".23",".78",".69",".05",".04",".85","1.29","8.88","13.83","10.28","15640"
"Bryce Harper","Nationals","SD @ WSH","RF","4.44",".99",".54",".21",".01",".22",".73",".65",".06",".04",".95",".78","8.70","13.52","9.99","11579"
"Francisco Cervelli","Pirates","PIT @ CIN","C","4.77","1.21",".76",".23",".02",".20",".80",".67",".03",".02",".70",".74","8.60","13.39","10.05","5275"
"Kyle Schwarber","Cubs","CLE @ CHC","LF","4.46","1.04",".52",".17",".03",".32",".78",".66",".03",".02",".53","1.06","8.53","13.27","9.95","16478"
"Manny Machado","Orioles","BAL @ CWS","SS","4.71","1.21",".69",".26",".01",".26",".67",".72",".05",".03",".49",".66","8.48","13.21","10.00","11493"
"Eugenio Suarez","Reds","PIT @ CIN","3B","4.36","1.05",".59",".21",".01",".25",".68",".85",".03",".03",".62",".93","8.50","13.31","9.85","12552"
"Scott Schebler","Reds","PIT @ CIN","RF","4.26","1.04",".52",".20",".02",".29",".60",".85",".04",".03",".52",".82","8.46","13.23","9.86","12225"
"George Springer","Astros","SF @ HOU","CF","4.59","1.21",".71",".22",".02",".26",".74",".65",".06",".03",".44",".86","8.41","13.09","9.96","12856"
"Ian Happ","Cubs","CLE @ CHC","CF","4.57","1.10",".55",".21",".04",".31",".73",".60",".08",".06",".43","1.41","8.41","13.05","9.92","17919"
"Josh Harrison","Pirates","PIT @ CIN","2B","5.00","1.36",".85",".31",".02",".18",".75",".55",".09",".06",".43",".68","8.29","12.86","9.94","8202"
"Colin Moran","Pirates","PIT @ CIN","3B","4.46","1.22",".76",".23",".01",".23",".69",".75",".03",".02",".46",".70","8.21","12.83","9.70","16909"
"Josh Donaldson","Blue Jays","LAA @ TOR","3B","4.53",".96",".51",".21",".01",".23",".75",".57",".03",".02",".88",".96","8.27","12.83","9.50","5038"
"Trea Turner","Nationals","SD @ WSH","SS","4.68","1.15",".79",".22",".04",".10",".65",".41",".33",".14",".57",".95","8.11","12.50","9.73","16252"
"Teoscar Hernandez","Blue Jays","LAA @ TOR","RF","4.66","1.05",".52",".27",".04",".23",".68",".59",".12",".07",".44","1.27","8.04","12.49","9.47","13066"
"Mookie Betts","Red Sox","BOS @ TB","RF","4.73","1.13",".64",".26",".02",".22",".65",".53",".12",".06",".48",".84","8.00","12.39","9.49","13611"
"J.D. Martinez","Red Sox","BOS @ TB","DH","4.41","1.08",".56",".20",".01",".31",".61",".74",".02",".01",".36","1.38","7.97","12.45","9.39","6184"
"Eric Hosmer","Padres","SD @ WSH","1B","4.67","1.27",".80",".27",".01",".19",".71",".58",".03",".02",".50",".76","7.93","12.32","9.42","3516"
"Ozzie Albies","Braves","ATL @ PHI","2B","4.80","1.17",".67",".23",".05",".21",".66",".53",".14",".08",".34",".95","7.88","12.22","9.45","16556"
"Kris Bryant","Cubs","CLE @ CHC","3B","4.36","1.13",".63",".26",".02",".21",".66",".60",".04",".02",".53",".82","7.90","12.29","9.31","15429"
"Ronald Acuna","Braves","ATL @ PHI","LF","4.68","1.10",".68",".20",".02",".20",".68",".51",".21",".13",".39","1.30","7.87","12.20","9.40","18401"
"Mike Moustakas","Royals","KC @ STL","3B","4.46","1.16",".65",".22",".01",".28",".61",".74",".01",".01",".32",".60","7.84","12.25","9.29","4892"
"Austin Meadows","Pirates","PIT @ CIN","LF","4.35","1.21",".72",".27",".03",".19",".60",".71",".10",".06",".30",".64","7.80","12.17","9.31","15672"
"Jesse Winker","Reds","PIT @ CIN","RF","4.80","1.23",".80",".29",".01",".13",".74",".49",".04",".02",".65",".71","7.80","12.09","9.21","13590"
"Michael Conforto","Mets","MIA @ NYM","CF","4.31",".94",".50",".16",".02",".26",".63",".66",".02",".02",".64","1.05","7.80","12.16","9.05","16376"
"Didi Gregorius","Yankees","NYY @ TEX","SS","4.79","1.26",".83",".26",".02",".15",".67",".73",".04",".02",".36",".52","7.70","12.05","9.16","6012"
"Carlos Correa","Astros","SF @ HOU","SS","4.28","1.09",".64",".21",".02",".21",".62",".72",".04",".02",".47",".94","7.71","12.06","9.07","14162"
"Jay Bruce","Mets","MIA @ NYM","RF","4.22",".94",".44",".19",".02",".28",".60",".76",".02",".01",".46",".87","7.75","12.12","9.01","9892"
"Trey Mancini","Orioles","BAL @ CWS","LF","4.93","1.16",".74",".22",".02",".19",".67",".64",".01",".01",".52","1.07","7.69","11.98","9.07","15149"
"Jose Altuve","Astros","SF @ HOU","2B","4.38","1.28",".86",".26",".03",".13",".63",".60",".11",".05",".36",".57","7.62","11.86","9.18","5417"
"Tucker Barnhart","Reds","PIT @ CIN","C","4.68","1.11",".69",".26",".02",".14",".81",".55",".02",".02",".60",".79","7.67","11.94","8.98","10200"
"Adam Jones","Orioles","BAL @ CWS","CF","4.82","1.21",".77",".21",".01",".22",".68",".68",".02",".01",".32",".85","7.58","11.84","9.02","6368"
"Tyler O'Neill","Cardinals","KC @ STL","LF","4.19","1.00",".52",".16",".02",".29",".59",".77",".05",".03",".26","1.23","7.59","11.89","8.94","15711"
"Tommy Pham","Cardinals","KC @ STL","CF","4.50","1.09",".68",".18",".03",".20",".64",".43",".15",".08",".49","1.15","7.58","11.72","9.05","2967"
"Brett Gardner","Yankees","NYY @ TEX","LF","5.01","1.18",".86",".21",".04",".08",".70",".47",".12",".05",".68",".75","7.59","11.76","9.01","9927"
"Anthony Rizzo","Cubs","CLE @ CHC","1B","4.26",".99",".53",".23",".02",".22",".62",".66",".03",".02",".53",".57","7.59","11.84","8.86","3473"
"Franchy Cordero","Padres","SD @ WSH","LF","4.46","1.15",".69",".22",".07",".16",".56",".68",".09",".06",".36","1.36","7.51","11.72","8.97","14567"
"Justin Upton","Angels","LAA @ TOR","LF","4.68",".96",".51",".24",".01",".20",".58",".68",".06",".04",".59","1.29","7.58","11.82","8.80","5222"
"Matt Adams","Nationals","SD @ WSH","1B","4.25","1.01",".57",".22",".01",".21",".55",".78",".02",".01",".51","1.00","7.51","11.76","8.75","9393"
"Justin Turner","Dodgers","COL @ LAD","3B","4.35","1.12",".67",".26",".01",".18",".61",".64",".02",".02",".52",".54","7.50","11.69","8.82","5235"
"Carlos Santana","Phillies","ATL @ PHI","1B","4.23",".87",".45",".20",".01",".21",".61",".67",".03",".01",".73",".66","7.57","11.82","8.69","2396"
"Aaron Altherr","Phillies","ATL @ PHI","RF","4.33",".88",".45",".19",".04",".20",".59",".67",".06",".04",".63","1.19","7.53","11.75","8.71","11270"
"Alex Bregman","Astros","SF @ HOU","3B","4.48","1.10",".64",".27",".04",".16",".67",".54",".08",".05",".46",".70","7.47","11.61","8.85","17678"
"Aaron Hicks","Yankees","NYY @ TEX","CF","4.58","1.04",".68",".21",".04",".12",".63",".60",".08",".05",".65",".70","7.46","11.62","8.75","5297"
"Jose Ramirez","Indians","CLE @ CHC","3B","4.53","1.09",".62",".30",".02",".14",".56",".57",".11",".06",".47",".56","7.35","11.42","8.71","13510"
"Jonathan Schoop","Orioles","BAL @ CWS","2B","4.60","1.12",".68",".22",".00",".21",".60",".68",".02",".01",".37","1.00","7.32","11.43","8.66","11265"
"Justin Smoak","Blue Jays","LAA @ TOR","1B","4.43",".92",".50",".22",".00",".20",".62",".62",".01",".01",".67","1.00","7.39","11.51","8.52","9054"
"Anthony Rendon","Nationals","SD @ WSH","3B","4.35","1.03",".64",".27",".01",".11",".59",".64",".04",".03",".70",".68","7.32","11.41","8.50","12861"
"Chris Davis","Orioles","BAL @ CWS","1B","4.49",".82",".42",".15",".00",".25",".61",".62",".01",".01",".71","1.41","7.34","11.44","8.42","9272"
"Charlie Blackmon","Rockies","COL @ LAD","CF","4.53","1.05",".61",".19",".02",".23",".56",".45",".10",".06",".44","1.12","7.24","11.20","8.65","7859"
"Yoan Moncada","White Sox","BAL @ CWS","2B","4.54","1.05",".63",".20",".03",".18",".59",".46",".11",".07",".47","1.26","7.20","11.15","8.57","17232"
