"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Kris Bryant","Cubs","COL @ CHC","3B","4.45","1.18",".60",".26",".03",".29",".83",".73",".05",".03",".76",".85","9.55","14.85","11.09","15429"
"Ryan Braun","Brewers","MIL @ CIN","1B","4.74","1.22",".66",".26",".01",".29",".77",".86",".08",".05",".53",".77","9.37","14.64","10.97","3410"
"Curtis Granderson","Blue Jays","TOR @ MIN","LF","4.90","1.06",".51",".23",".03",".29",".82",".64",".05",".03",".79","1.07","9.16","14.23","10.61","4747"
"Joey Votto","Reds","MIL @ CIN","1B","4.50","1.09",".66",".19",".01",".22",".77",".66",".02",".01","1.04",".53","8.96","13.93","10.31","4314"
"Javier Baez","Cubs","COL @ CHC","2B","4.57","1.25",".68",".25",".03",".29",".82",".66",".09",".05",".28","1.09","8.73","13.59","10.39","12979"
"Teoscar Hernandez","Blue Jays","TOR @ MIN","RF","4.80","1.18",".63",".26",".03",".26",".74",".68",".13",".08",".40","1.32","8.70","13.54","10.30","13066"
"Lorenzo Cain","Brewers","MIL @ CIN","CF","4.96","1.30",".86",".27",".02",".15",".77",".49",".16",".08",".69",".71","8.68","13.42","10.32","9077"
"J.D. Martinez","Red Sox","KC @ BOS","DH","4.42","1.26",".66",".31",".02",".27",".71",".80",".02",".01",".35","1.12","8.62","13.48","10.18","6184"
"Brian Dozier","Twins","TOR @ MIN","2B","4.76","1.18",".69",".24",".02",".23",".74",".66",".08",".05",".55",".83","8.53","13.28","10.04","9810"
"Willson Contreras","Cubs","COL @ CHC","C","4.26","1.12",".60",".25",".01",".26",".68",".83",".03",".03",".48",".83","8.44","13.21","9.86","11609"
"Scott Schebler","Reds","MIL @ CIN","RF","4.41","1.02",".51",".21",".04",".26",".65",".87",".04",".03",".55",".89","8.46","13.25","9.82","12225"
"Travis Shaw","Brewers","MIL @ CIN","3B","4.63","1.04",".55",".21",".01",".26",".69",".81",".03",".02",".60",".98","8.42","13.17","9.75","11982"
"Nolan Arenado","Rockies","COL @ CHC","3B","4.43","1.11",".55",".24",".02",".31",".67",".69",".02",".02",".45",".86","8.34","12.99","9.80","9777"
