"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Giancarlo Stanton","Yankees","CWS @ NYY","DH","4.64","1.18",".53",".20",".00",".44",".95",".97",".02",".01",".65","1.25","10.61","16.59","12.25","4949"
"J.D. Martinez","Red Sox","MIA @ BOS","DH","4.42","1.31",".69",".27",".02",".33",".79","1.00",".01",".01",".48","1.03","9.79","15.35","11.46","6184"
"Mookie Betts","Red Sox","MIA @ BOS","RF","4.75","1.31",".74",".33",".04",".20",".83",".66",".15",".07",".59",".63","9.43","14.65","11.14","13611"
"Christian Yelich","Brewers","MIL @ CIN","LF","4.77","1.34",".79",".28",".02",".25",".82",".67",".09",".04",".45",".97","9.01","14.01","10.70","11477"
"Ronald Acuna","Braves","TB @ ATL","LF","4.69","1.28",".75",".27",".02",".24",".71",".69",".15",".10",".46","1.08","8.97","13.94","10.67","18401"
"Rhys Hoskins","Phillies","WSH @ PHI","LF","4.59","1.09",".57",".23",".02",".28",".82",".68",".05",".03",".74",".93","9.02","14.03","10.45","16472"
"Mike Moustakas","Brewers","MIL @ CIN","3B","4.44","1.17",".58",".22",".01",".36",".72",".88",".01",".01",".34",".63","8.92","13.97","10.48","4892"
"Nelson Cruz","Mariners","SEA @ SD","DH","4.55","1.14",".63",".20",".01",".31",".70",".86",".01",".01",".60",".98","8.88","13.88","10.34","2434"
"Aaron Hicks","Yankees","CWS @ NYY","CF","4.52","1.01",".58",".17",".02",".24",".75",".71",".10",".05",".85",".77","8.91","13.87","10.28","5297"
"Travis Shaw","Brewers","MIL @ CIN","3B","4.66","1.15",".59",".24",".01",".31",".74",".82",".02",".01",".45",".84","8.79","13.75","10.29","11982"
"Jose Ramirez","Indians","MIN @ CLE","3B","4.50","1.20",".66",".31",".02",".20",".71",".73",".10",".06",".59",".44","8.77","13.67","10.29","13510"
"Andrew Benintendi","Red Sox","MIA @ BOS","LF","4.63","1.24",".76",".29",".04",".15",".81",".65",".10",".06",".58",".73","8.63","13.43","10.16","17901"
"Miguel Andujar","Yankees","CWS @ NYY","3B","4.42","1.27",".74",".28",".02",".24",".67",".88",".03",".02",".27",".71","8.38","13.13","9.94","15878"
"Justin Turner","Dodgers","LAD @ TEX","3B","4.81","1.31",".79",".32",".02",".18",".76",".62",".03",".02",".53",".63","8.38","13.03","9.93","5235"
"Ryan Braun","Brewers","MIL @ CIN","1B","4.56","1.20",".68",".26",".01",".25",".67",".78",".08",".05",".32",".78","8.32","13.01","9.86","3410"
"Manny Machado","Dodgers","LAD @ TEX","SS","4.70","1.24",".73",".27",".02",".23",".68",".74",".04",".03",".42",".68","8.26","12.89","9.78","11493"
"Brian Dozier","Dodgers","LAD @ TEX","2B","4.92","1.11",".59",".27",".03",".23",".74",".59",".08",".04",".54",".94","8.29","12.87","9.73","9810"
"Francisco Lindor","Indians","MIN @ CLE","SS","4.73","1.25",".74",".29",".02",".19",".72",".62",".08",".05",".45",".58","8.22","12.79","9.77","12916"
"Mitch Haniger","Mariners","SEA @ SD","RF","4.87","1.19",".68",".29",".03",".20",".72",".53",".06",".04",".60","1.12","8.23","12.76","9.72","14274"
"Roman Quinn","Phillies","WSH @ PHI","RF","4.70","1.32",".91",".24",".06",".11",".69",".43",".27",".15",".41",".84","8.09","12.49","9.84","13546"
"Steve Pearce","Red Sox","MIA @ BOS","LF","4.52","1.12",".67",".26",".01",".19",".75",".75",".01",".01",".56",".77","8.12","12.70","9.46","9957"
"Lorenzo Cain","Brewers","MIL @ CIN","CF","4.87","1.37",".98",".23",".03",".13",".72",".44",".15",".07",".46",".75","7.96","12.31","9.65","9077"
"Brett Gardner","Yankees","CWS @ NYY","LF","4.75","1.12",".75",".18",".03",".15",".79",".50",".11",".04",".66",".69","7.98","12.37","9.39","9927"
"Gleyber Torres","Yankees","CWS @ NYY","2B","4.21","1.05",".62",".17",".02",".24",".64",".70",".09",".05",".47",".99","7.93","12.37","9.33","16997"
"Matt Carpenter","Cardinals","PIT @ STL","3B","4.62","1.05",".55",".28",".02",".21",".69",".52",".02",".01",".76",".83","7.99","12.39","9.29","8090"
"Billy McKinney","Blue Jays","TOR @ BAL","LF","4.79","1.15",".64",".21",".03",".27",".65",".61",".03",".03",".36","1.09","7.83","12.17","9.31","15654"
