"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Charlie Blackmon","Rockies","SD @ COL","CF","4.65","1.36",".84",".23",".06",".23",".88",".74",".13",".06",".56",".75","9.66","15.03","11.44","7859"
"Nelson Cruz","Mariners","SEA @ CWS","DH","4.76","1.11",".62",".18",".00",".31",".79",".91",".01",".01",".76",".97","9.42","14.74","10.86","2434"
"Joey Gallo","Rangers","OAK @ TEX","1B","4.37",".88",".35",".15",".02",".37",".73",".89",".03",".02",".74","1.39","9.18","14.35","10.48","14128"
"Nolan Arenado","Rockies","SD @ COL","3B","4.54","1.29",".72",".29",".04",".24",".75",".85",".03",".02",".49",".63","9.05","14.15","10.65","9777"
"Khris Davis","Athletics","OAK @ TEX","DH","4.65","1.03",".50",".20",".01",".32",".75",".89",".01",".01",".64","1.26","9.02","14.12","10.39","9112"
"Freddie Freeman","Braves","ATL @ CIN","1B","4.69","1.18",".64",".31",".01",".21",".73",".67",".04",".02",".82",".77","8.92","13.87","10.37","5361"
"Mike Trout","Angels","LAA @ HOU","CF","4.59","1.10",".57",".21",".03",".28",".72",".62",".12",".05",".66","1.11","8.90","13.80","10.43","10155"
"Franchy Cordero","Padres","SD @ COL","LF","4.86","1.31",".71",".25",".13",".22",".75",".59",".11",".07",".33","1.39","8.72","13.52","10.48","14567"
"Wil Myers","Padres","SD @ COL","RF","4.74","1.23",".72",".25",".03",".24",".77",".64",".12",".06",".45","1.05","8.67","13.48","10.28","10047"
"Matt Chapman","Athletics","OAK @ TEX","3B","4.55","1.02",".50",".21",".03",".28",".69",".80",".04",".03",".61","1.20","8.61","13.45","9.98","16505"
"Aaron Judge","Yankees","MIN @ NYY","RF","4.49",".95",".49",".15",".01",".31",".75",".67",".05",".03",".79","1.37","8.64","13.45","9.95","15640"
"Giancarlo Stanton","Yankees","MIN @ NYY","LF","4.28",".93",".41",".15",".00",".36",".68",".82",".01",".01",".55","1.26","8.46","13.23","9.77","4949"
"Robinson Cano","Mariners","SEA @ CWS","2B","4.87","1.14",".74",".20",".01",".19",".76",".70",".01",".01",".79",".56","8.39","13.08","9.74","3269"
"Shin-Soo Choo","Rangers","OAK @ TEX","DH","4.70","1.04",".65",".19",".01",".20",".77",".63",".06",".04",".82",".87","8.38","13.03","9.69","3174"
"Mitch Haniger","Mariners","SEA @ CWS","RF","4.55","1.04",".59",".22",".02",".21",".68",".73",".05",".03",".68",".96","8.23","12.84","9.54","14274"
