"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Rhys Hoskins","Phillies","","LF","4.46",".92",".48",".19",".01",".24",".68",".58",".04",".03",".64","1.06","7.66","11.91","8.87","16472"
"David Dahl","Rockies","ARI @ COL","LF","4.30","1.14",".65",".22",".06",".20",".61",".70",".07",".04",".22",".98","7.53","11.77","9.01","13744"
"Shin-Soo Choo","Rangers","TEX @ LAA","DH","4.87","1.14",".77",".21",".01",".16",".66",".51",".06",".03",".67","1.02","7.59","11.77","8.96","3174"
"Daniel Murphy","Cubs","MIL @ CHC","2B","4.66","1.33",".84",".33",".03",".14",".69",".52",".02",".01",".37",".55","7.51","11.66","9.03","4316"
"Joey Gallo","Rangers","TEX @ LAA","LF","4.21",".83",".38",".15",".02",".28",".61",".70",".04",".02",".56","1.36","7.60","11.87","8.76","14128"
"Francisco Lindor","Indians","CLE @ TB","SS","4.91","1.07",".64",".23",".02",".18",".63",".52",".09",".05",".55",".96","7.54","11.70","8.91","12916"
"Xander Bogaerts","Red Sox","TOR @ BOS","SS","4.36","1.18",".73",".29",".03",".12",".63",".68",".04",".02",".45",".64","7.48","11.68","8.84","12161"
"Whit Merrifield","Royals","CWS @ KC","2B","4.61","1.31",".90",".27",".04",".09",".59",".48",".17",".09",".36",".60","7.41","11.47","9.03","11281"
"Cody Bellinger","Dodgers","LAD @ CIN","1B","4.51","1.00",".56",".21",".03",".21",".60",".64",".04",".03",".50","1.16","7.44","11.61","8.72","15998"
"Rougned Odor","Rangers","TEX @ LAA","","4.76","1.08",".67",".21",".02",".19",".62",".58",".11",".08",".37","1.04","7.39","11.51","8.80","12282"
"Adalberto Mondesi","Royals","CWS @ KC","SS","4.50","1.13",".72",".20",".08",".13",".55",".56",".23",".10",".21",".98","7.32","11.38","8.89","13769"
"Joc Pederson","Dodgers","LAD @ CIN","LF","4.82","1.00",".53",".25",".01",".22",".65",".52",".05",".04",".52",".99","7.42","11.53","8.70","11899"
"Steve Pearce","Red Sox","TOR @ BOS","LF","4.26","1.07",".64",".25",".01",".17",".61",".72",".01",".01",".49",".66","7.37","11.55","8.63","9957"
"Jed Lowrie","Athletics","OAK @ BAL","2B","4.71","1.16",".74",".27",".01",".14",".65",".61",".01",".00",".53",".73","7.36","11.47","8.68","4418"
"Carlos Santana","Phillies","WSH @ PHI","1B","4.34",".92",".52",".19",".02",".19",".62",".64",".02",".01",".68",".61","7.41","11.56","8.56","2396"
"Ryan Zimmerman","Nationals","WSH @ PHI","1B","4.29","1.03",".56",".21",".01",".25",".53",".76",".01",".01",".36","1.07","7.33","11.48","8.63","4220"
"Matt Carpenter","Cardinals","PIT @ STL","3B","4.50","1.01",".51",".26",".02",".21",".64",".45",".02",".01",".63",".96","7.40","11.45","8.65","8090"
"Trea Turner","Nationals","","SS","4.65","1.07",".75",".17",".04",".12",".59",".43",".28",".11",".39","1.01","7.29","11.27","8.80","16252"
"Daniel Descalso","Diamondbacks","ARI @ COL","2B","4.52","1.03",".63",".23",".05",".13",".64",".64",".03",".02",".60",".95","7.34","11.46","8.58","8392"
"Kris Bryant","Cubs","MIL @ CHC","3B","4.55","1.03",".63",".23",".03",".14",".69",".51",".04",".03",".65","1.05","7.35","11.42","8.59","15429"
"Justin Upton","Angels","TEX @ LAA","LF","4.22","1.09",".67",".21",".01",".20",".57",".69",".05",".03",".35","1.03","7.26","11.34","8.61","5222"
"Jonathan Villar","Orioles","OAK @ BAL","2B","4.46","1.09",".74",".19",".02",".15",".58",".47",".23",".10",".35","1.13","7.24","11.21","8.72","10071"
"Michael Conforto","Mets","MIA @ NYM","CF","4.34",".94",".55",".16",".01",".21",".60",".57",".03",".02",".67",".91","7.33","11.41","8.52","16376"
"Stephen Piscotty","Athletics","OAK @ BAL","RF","4.39","1.13",".66",".26",".01",".19",".59",".63",".03",".03",".36",".73","7.24","11.30","8.60","13367"
"Robinson Cano","Mariners","SD @ SEA","2B","4.42","1.16",".77",".22",".01",".16",".63",".61",".01",".01",".50",".49","7.25","11.31","8.58","3269"
"Edwin Encarnacion","Indians","CLE @ TB","DH","4.59",".86",".50",".13",".00",".22",".61",".67",".01",".00",".69","1.18","7.30","11.41","8.39","2151"
"Manny Machado","Dodgers","LAD @ CIN","SS","4.61","1.13",".71",".22",".01",".19",".60",".59",".04",".03",".40",".78","7.20","11.21","8.57","11493"
"Asdrubal Cabrera","Phillies","WSH @ PHI","2B","4.24","1.11",".66",".26",".01",".18",".58",".70",".02",".02",".35",".77","7.20","11.27","8.51","4962"
"Jean Segura","Mariners","SD @ SEA","SS","4.53","1.30",".99",".20",".03",".08",".61",".50",".18",".08",".28",".48","7.10","11.02","8.69","5933"
