"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Giancarlo Stanton","Marlins","MIA @ PHI","RF","4.83","1.32",".53",".21",".00",".58","1.11","1.06",".03",".01",".64","1.16","12.30","19.19","14.23","4949"
"Anthony Rizzo","Cubs","CHN @ CIN","1B","4.61","1.11",".56",".22",".01",".33",".84",".91",".06",".03",".83",".62","10.08","15.74","11.59","3473"
"Mike Trout","Angels","TEX @ ANA","CF","4.52","1.22",".69",".23",".03",".27",".85",".72",".12",".06",".77",".81","9.79","15.21","11.43","10155"
"Kris Bryant","Cubs","CHN @ CIN","3B","4.71","1.20",".66",".23",".02",".30",".83",".81",".07",".04",".64","1.05","9.61","14.99","11.21","15429"
"Marcell Ozuna","Marlins","MIA @ PHI","LF","4.62","1.27",".70",".22",".01",".33",".81",".93",".03",".01",".45",".89","9.50","14.88","11.13","10324"
"Brian Dozier","Twins","MIN @ CHA","2B","4.86","1.11",".58",".19",".01",".32",".79",".74",".10",".05",".62","1.01","9.29","14.46","10.83","9810"
"Kyle Schwarber","Cubs","CHN @ CIN","LF","4.83","1.04",".54",".16",".01",".34",".87",".73",".06",".03",".71","1.30","9.31","14.51","10.76","16478"
"Paul Goldschmidt","Diamondbacks","ARI @ NYN","1B","4.51","1.02",".57",".19",".01",".25",".76",".73",".13",".05",".88","1.09","9.21","14.34","10.62","9218"
"Christian Yelich","Marlins","MIA @ PHI","CF","4.73","1.26",".77",".27",".01",".21",".82",".66",".10",".04",".67",".77","9.09","14.14","10.68","11477"
"Joey Votto","Reds","CHN @ CIN","1B","4.43","1.03",".62",".19",".01",".21",".73",".62",".06",".03","1.05",".73","8.76","13.59","10.07","4314"
"Rhys Hoskins","Phillies","MIA @ PHI","LF","4.32","1.07",".59",".18",".02",".27",".73",".78",".05",".02",".55",".75","8.56","13.37","9.97","16472"
"George Springer","Astros","WAS @ HOU","CF","4.56","1.05",".57",".19",".01",".28",".73",".61",".11",".05",".51","1.41","8.34","12.96","9.79","12856"
"Miguel Cabrera","Tigers","NYA @ DET","1B","4.30","1.17",".71",".22",".01",".23",".71",".74",".01",".00",".60",".74","8.29","12.95","9.70","1744"
"Justin Upton","Tigers","NYA @ DET","LF","4.40","1.06",".58",".23",".01",".25",".72",".68",".07",".04",".56","1.07","8.30","12.93","9.69","5222"
"J.T. Realmuto","Marlins","MIA @ PHI","C","4.52","1.18",".75",".22",".02",".20",".68",".79",".09",".04",".36",".71","8.09","12.66","9.58","11739"
"Jose Altuve","Astros","WAS @ HOU","2B","4.36","1.24",".81",".25",".02",".15",".63",".60",".21",".07",".39",".71","8.07","12.52","9.69","5417"
"Gary Sanchez","Yankees","NYA @ DET","C","4.54","1.14",".65",".22",".01",".27",".66",".72",".06",".03",".37",".97","8.09","12.64","9.57","11442"
"Matt Carpenter","Cardinals","SDN @ SLN","1B","4.69","1.13",".68",".29",".03",".14",".79",".48",".04",".03",".81",".67","8.13","12.59","9.47","8090"
