"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Joey Votto","Reds","MIA @ CIN","1B","4.51","1.17",".64",".22",".01",".30",".88",".79",".02",".01",".98",".55","10.00","15.58","11.50","4314"
"Mike Trout","Angels","LAA @ SEA","CF","4.66","1.10",".56",".20",".03",".31",".78",".66",".12",".06",".82",".98","9.61","14.90","11.17","10155"
"J.D. Martinez","Red Sox","BOS @ TEX","DH","4.75","1.28",".73",".25",".02",".29",".77",".87",".02",".01",".46","1.12","9.17","14.34","10.78","6184"
"Mookie Betts","Red Sox","BOS @ TEX","RF","4.97","1.32",".78",".30",".02",".22",".80",".65",".14",".06",".53",".54","9.17","14.23","10.87","13611"
"J.T. Realmuto","Marlins","MIA @ CIN","C","4.94","1.33",".79",".27",".02",".25",".77",".61",".06",".04",".51",".74","8.83","13.71","10.50","11739"
"Scooter Gennett","Reds","MIA @ CIN","2B","4.42","1.24",".71",".26",".02",".26",".71",".93",".03",".02",".33",".82","8.66","13.59","10.20","10339"
"Scott Schebler","Reds","MIA @ CIN","RF","4.20","1.04",".48",".22",".03",".32",".64",".87",".04",".02",".45",".85","8.64","13.52","10.07","12225"
"Andrew Benintendi","Red Sox","BOS @ TEX","LF","4.86","1.21",".76",".25",".04",".17",".79",".60",".11",".07",".63",".71","8.55","13.28","10.07","17901"
"Jose Altuve","Astros","HOU @ ARI","2B","4.80","1.48","1.02",".31",".03",".11",".78",".51",".16",".07",".37",".48","8.35","12.94","10.13","5417"
"Ronald Acuna","Braves","SF @ ATL","LF","4.51","1.24",".76",".27",".03",".17",".70",".58",".21",".14",".41",".99","8.39","13.01","10.03","18401"
"Brian Anderson","Marlins","MIA @ CIN","RF","4.61","1.09",".61",".24",".01",".23",".71",".74",".02",".01",".71",".89","8.45","13.19","9.80","18289"
"Bryce Harper","Nationals","PHI @ WSH","RF","4.53","1.02",".56",".20",".01",".25",".73",".54",".06",".04",".86",".88","8.49","13.15","9.83","11579"
"Chris Taylor","Dodgers","LAD @ SD","CF","4.92","1.30",".81",".32",".05",".13",".70",".54",".13",".07",".52",".90","8.25","12.79","9.87","13757"
"Mitch Moreland","Red Sox","BOS @ TEX","1B","4.64","1.14",".65",".23",".01",".25",".68",".79",".01",".01",".53",".78","8.28","12.96","9.68","3086"
"Matt Kemp","Dodgers","LAD @ SD","LF","4.70","1.29",".78",".28",".01",".21",".69",".74",".01",".01",".37",".85","8.11","12.66","9.63","5631"
"Justin Bour","Marlins","MIA @ CIN","1B","4.50","1.03",".61",".15",".00",".27",".66",".79",".01",".01",".62",".84","8.17","12.79","9.48","9744"
"George Springer","Astros","HOU @ ARI","CF","4.91","1.29",".81",".25",".03",".20",".73",".56",".06",".04",".43",".74","8.08","12.54","9.65","12856"
"Eugenio Suarez","Reds","MIA @ CIN","3B","4.30",".99",".53",".20",".01",".24",".66",".78",".03",".02",".61",".95","8.14","12.73","9.42","12552"
"Ozzie Albies","Braves","SF @ ATL","2B","4.64","1.24",".73",".28",".06",".17",".70",".54",".13",".08",".35",".78","8.00","12.41","9.60","16556"
"Carlos Correa","Astros","HOU @ ARI","SS","4.70","1.27",".80",".28",".02",".17",".68",".68",".04",".02",".43",".81","7.96","12.41","9.46","14162"
"Nelson Cruz","Mariners","LAA @ SEA","DH","4.30","1.02",".55",".17",".00",".30",".65",".78",".01",".01",".47","1.08","8.01","12.53","9.33","2434"
"Starlin Castro","Marlins","MIA @ CIN","2B","4.71","1.30",".88",".22",".01",".19",".69",".67",".02",".02",".42",".71","7.89","12.31","9.42","4579"
"Jesse Winker","Reds","MIA @ CIN","RF","4.61","1.16",".71",".29",".01",".15",".82",".52",".04",".02",".65",".70","7.97","12.38","9.33","13590"
"Eric Hosmer","Padres","LAD @ SD","1B","4.52","1.33",".89",".25",".01",".17",".73",".57",".03",".02",".47",".64","7.88","12.24","9.42","3516"
"Rafael Devers","Red Sox","BOS @ TEX","3B","4.42","1.14",".67",".22",".02",".23",".63",".74",".04",".03",".37",".85","7.86","12.28","9.30","17350"
"Franchy Cordero","Padres","LAD @ SD","LF","4.30","1.16",".68",".20",".09",".19",".61",".69",".09",".06",".33","1.18","7.82","12.19","9.34","14567"
"Kris Bryant","Cubs","CHC @ STL","3B","4.68","1.15",".69",".26",".02",".18",".70",".53",".05",".03",".61","1.05","7.85","12.18","9.25","15429"
"Brian Dozier","Twins","MIN @ CWS","2B","4.75","1.00",".56",".20",".02",".22",".66",".62",".08",".05",".56",".91","7.84","12.21","9.17","9810"
"Cody Bellinger","Dodgers","LAD @ SD","1B","4.60","1.10",".68",".20",".03",".20",".63",".71",".05",".03",".50","1.01","7.80","12.18","9.18","15998"
"Freddie Freeman","Braves","SF @ ATL","1B","4.40","1.18",".70",".30",".02",".16",".61",".64",".04",".02",".57",".80","7.76","12.08","9.16","5361"
"Josh Reddick","Astros","HOU @ ARI","RF","4.59","1.24",".79",".26",".05",".13",".62",".72",".05",".03",".41",".55","7.68","12.00","9.14","3892"
"Tommy Pham","Cardinals","CHC @ STL","CF","4.58","1.07",".68",".20",".03",".16",".64",".39",".17",".09",".69","1.12","7.72","11.90","9.14","2967"
"Christian Villanueva","Padres","LAD @ SD","3B","4.41","1.09",".63",".23",".01",".23",".65",".72",".02",".01",".36",".96","7.59","11.88","8.95","11738"
"Aaron Judge","Yankees","CLE @ NYY","RF","4.49",".87",".47",".16",".01",".23",".66",".56",".05",".03",".79","1.57","7.70","11.96","8.86","15640"
"Ryan Braun","Brewers","PIT @ MIL","1B","4.42","1.09",".64",".24",".02",".19",".60",".67",".08",".05",".42",".81","7.58","11.83","8.96","3410"
