"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Paul Goldschmidt","Diamondbacks","ARI @ NYN","1B","4.55","1.15",".65",".22",".01",".27",".83",".81",".13",".05",".78",".94","9.74","15.18","11.30","9218"
"Mike Trout","Angels","TEX @ ANA","CF","4.47","1.14",".62",".21",".02",".29",".82",".72",".12",".05",".79",".92","9.67","15.03","11.25","10155"
"Manny Machado","Orioles","OAK @ BAL","3B","4.53","1.27",".67",".24",".01",".35",".82",".81",".06",".03",".38",".72","9.41","14.68","11.10","11493"
"J.D. Martinez","Diamondbacks","ARI @ NYN","RF","4.46","1.09",".59",".20",".01",".29",".70",".93",".03",".01",".46","1.19","8.68","13.62","10.10","6184"
"Edwin Encarnacion","Indians","BOS @ CLE","DH","4.30",".94",".44",".16",".00",".33",".73",".79",".01",".01",".69",".91","8.66","13.53","9.94","2151"
"Jose Abreu","White Sox","MIN @ CHA","1B","4.36","1.16",".66",".20",".01",".30",".71",".79",".01",".01",".48",".90","8.56","13.38","10.05","15676"
"Khris Davis","Athletics","OAK @ BAL","LF","4.42","1.01",".49",".17",".01",".34",".69",".82",".02",".02",".50","1.33","8.59","13.43","9.98","9112"
"Yoenis Cespedes","Mets","ARI @ NYN","LF","4.27","1.09",".56",".19",".02",".32",".69",".84",".03",".02",".38",".88","8.49","13.30","9.95","13110"
"Robinson Cano","Mariners","SEA @ ATL","2B","4.63","1.23",".76",".25",".01",".21",".71",".72",".02",".01",".53",".61","8.28","12.93","9.76","3269"
"Matt Kemp","Braves","SEA @ ATL","LF","4.33","1.22",".72",".25",".01",".25",".68",".83",".03",".01",".33",".97","8.25","12.92","9.75","5631"
"Brian Dozier","Twins","MIN @ CHA","2B","4.77",".99",".53",".17",".01",".28",".69",".64",".09",".06",".63","1.22","8.33","12.95","9.70","9810"
"Chris Davis","Orioles","OAK @ BAL","1B","4.12",".88",".41",".14",".01",".33",".74",".70",".01",".01",".66","1.30","8.32","12.98","9.56","9272"
"Jake Lamb","Diamondbacks","ARI @ NYN","3B","4.66","1.04",".58",".21",".03",".22",".75",".64",".05",".03",".70","1.02","8.29","12.90","9.62","13329"
"Michael Conforto","Mets","ARI @ NYN","CF","4.36","1.00",".52",".20",".01",".27",".72",".66",".04",".02",".65",".93","8.28","12.90","9.60","16376"
"A.J. Pollock","Diamondbacks","ARI @ NYN","CF","4.77","1.23",".80",".25",".03",".15",".71",".53",".22",".08",".37",".72","8.09","12.55","9.73","9256"
"Kyle Seager","Mariners","SEA @ ATL","3B","4.53","1.06",".60",".23",".01",".21",".68",".73",".04",".03",".66",".73","8.18","12.76","9.49","9785"
"Mookie Betts","Red Sox","BOS @ CLE","RF","4.71","1.11",".66",".25",".01",".19",".66",".60",".18",".07",".48",".69","8.13","12.63","9.62","13611"
"Andrew Benintendi","Red Sox","BOS @ CLE","LF","4.60","1.07",".66",".20",".01",".18",".63",".62",".17",".08",".62",".88","8.14","12.65","9.58","17901"
"Freddie Freeman","Braves","SEA @ ATL","1B","4.42","1.10",".64",".24",".01",".21",".73",".62",".02",".01",".69",".93","8.16","12.70","9.50","5361"
