"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Ryan Braun","Brewers","MIL @ CIN","1B","4.66","1.28",".67",".27",".01",".32",".80",".88",".08",".05",".37",".70","9.51","14.87","11.20","3410"
"Travis Shaw","Brewers","MIL @ CIN","3B","4.56","1.18",".57",".26",".01",".34",".78",".92",".03",".02",".51",".79","9.51","14.88","11.07","11982"
"Joey Votto","Reds","MIL @ CIN","1B","4.40","1.13",".62",".20",".01",".30",".83",".68",".02",".02",".90",".59","9.39","14.59","10.85","4314"
"Anthony Rizzo","Cubs","COL @ CHC","1B","4.62","1.14",".56",".24",".02",".33",".83",".62",".05",".04",".65",".81","9.21","14.30","10.75","3473"
"Kris Bryant","Cubs","COL @ CHC","3B","4.51","1.17",".59",".25",".03",".29",".80",".67",".04",".03",".65","1.06","9.14","14.20","10.67","15429"
"Charlie Blackmon","Rockies","COL @ CHC","CF","4.63","1.26",".68",".21",".04",".33",".74",".63",".10",".06",".40",".91","9.04","14.02","10.77","7859"
"Scott Schebler","Reds","MIL @ CIN","RF","4.32","1.08",".49",".21",".03",".35",".71",".89",".04",".02",".45",".91","9.05","14.16","10.54","12225"
"Christian Yelich","Brewers","MIL @ CIN","LF","4.77","1.27",".75",".27",".02",".24",".86",".63",".07",".04",".58",".83","9.01","14.01","10.61","11477"
"Bryce Harper","Nationals","PIT @ WSH","RF","4.52","1.09",".58",".21",".01",".30",".78",".60",".06",".04",".81",".82","9.05","14.03","10.51","11579"
"Kyle Schwarber","Cubs","COL @ CHC","LF","4.20",".96",".43",".13",".03",".37",".70",".85",".02",".02",".55","1.30","8.79","13.75","10.17","16478"
"Cody Bellinger","Dodgers","LAD @ ARI","1B","4.48","1.15",".58",".24",".04",".29",".69",".79",".05",".03",".46",".91","8.71","13.60","10.23","15998"
"Tommy Pham","Cardinals","CWS @ STL","CF","4.66","1.14",".72",".19",".04",".20",".75",".52",".17",".09",".72",".99","8.69","13.45","10.24","2967"
"Lorenzo Cain","Brewers","MIL @ CIN","CF","4.88","1.35",".89",".26",".01",".19",".78",".52",".15",".07",".49",".66","8.59","13.30","10.29","9077"
"Mike Trout","Angels","BAL @ LAA","CF","4.41","1.16",".68",".21",".03",".24",".73",".59",".11",".06",".61",".67","8.64","13.40","10.19","10155"
"Jesus Aguilar","Brewers","MIL @ CIN","1B","4.45","1.18",".62",".23",".01",".32",".69",".85",".01",".01",".33",".84","8.58","13.43","10.09","11342"
"Adam Duvall","Reds","MIL @ CIN","LF","4.51","1.02",".45",".22",".02",".33",".78",".70",".03",".02",".41","1.13","8.46","13.19","9.86","10950"
"J.D. Martinez","Red Sox","KC @ BOS","DH","4.38","1.18",".63",".25",".01",".28",".68",".77",".02",".01",".37","1.18","8.31","12.98","9.79","6184"
"C.J. Cron","Rays","TB @ DET","1B","4.77","1.23",".68",".28",".02",".24",".72",".69",".04",".03",".36","1.03","8.27","12.90","9.80","12546"
"Nolan Arenado","Rockies","COL @ CHC","3B","4.42","1.13",".55",".24",".02",".32",".64",".70",".02",".02",".38",".81","8.28","12.90","9.77","9777"
"Curtis Granderson","Blue Jays","TOR @ MIN","LF","4.81","1.06",".55",".24",".02",".25",".73",".59",".05",".03",".63","1.03","8.30","12.88","9.68","4747"
"Teoscar Hernandez","Blue Jays","TOR @ MIN","RF","4.70","1.15",".63",".27",".03",".22",".68",".61",".13",".08",".35","1.26","8.04","12.50","9.56","13066"
"Jose Altuve","Astros","NYY @ HOU","2B","4.54","1.27",".86",".25",".03",".13",".71",".52",".15",".06",".51",".72","8.02","12.43","9.60","5417"
"Jose Ramirez","Indians","TEX @ CLE","3B","4.45","1.17",".67",".31",".03",".15",".65",".64",".09",".06",".50",".48","7.97","12.41","9.42","13510"
"Matt Carpenter","Cardinals","CWS @ STL","3B","4.55",".93",".48",".23",".02",".19",".77",".57",".02",".01",".87",".86","8.08","12.56","9.25","8090"
"Francisco Lindor","Indians","TEX @ CLE","SS","4.68","1.15",".68",".26",".03",".19",".68",".59",".10",".06",".48",".67","7.96","12.36","9.43","12916"
"Jose Martinez","Cardinals","CWS @ STL","1B","4.45","1.18",".73",".24",".01",".19",".67",".71",".03",".02",".48",".62","7.88","12.30","9.29","7996"
"Marcell Ozuna","Cardinals","CWS @ STL","LF","4.34","1.16",".70",".22",".02",".22",".63",".79",".01",".01",".37",".82","7.79","12.20","9.21","10324"
"Michael Brantley","Indians","TEX @ CLE","LF","4.35","1.28",".82",".30",".02",".15",".63",".71",".07",".03",".35",".42","7.76","12.12","9.27","4106"
"George Springer","Astros","NYY @ HOU","CF","4.64","1.08",".64",".22",".02",".21",".71",".52",".06",".03",".60","1.02","7.82","12.14","9.19","12856"
"Rhys Hoskins","Phillies","PHI @ MIA","LF","4.66",".99",".56",".22",".02",".20",".65",".55",".05",".04",".74",".97","7.78","12.07","9.04","16472"
"Yasmani Grandal","Dodgers","LAD @ ARI","C","4.59","1.10",".62",".24",".01",".23",".67",".67",".01",".01",".42",".92","7.71","12.04","9.07","11368"
"Wilson Ramos","Rays","TB @ DET","C","4.55","1.22",".77",".22",".00",".23",".63",".74",".01",".00",".32",".63","7.66","11.98","9.12","1433"
"Trea Turner","Nationals","PIT @ WSH","SS","4.41","1.11",".77",".19",".04",".11",".62",".47",".30",".12",".40",".90","7.59","11.74","9.14","16252"
"Joey Gallo","Rangers","TEX @ CLE","1B","4.33",".80",".33",".16",".01",".30",".57",".71",".03",".02",".60","1.63","7.68","11.98","8.83","14128"
"Andrew Benintendi","Red Sox","KC @ BOS","LF","4.60","1.16",".72",".26",".03",".15",".66",".51",".10",".06",".52",".80","7.59","11.77","9.02","17901"
"Matt Adams","Nationals","PIT @ WSH","1B","4.31","1.04",".56",".22",".01",".25",".60",".73",".01",".01",".39","1.08","7.55","11.81","8.86","9393"
"Carlos Correa","Astros","NYY @ HOU","SS","4.44","1.08",".67",".22",".01",".18",".62",".64",".04",".02",".58","1.08","7.56","11.78","8.87","14162"
"Nelson Cruz","Mariners","OAK @ SEA","DH","4.24","1.01",".56",".17",".00",".28",".60",".73",".01",".01",".40",".99","7.54","11.79","8.84","2434"
"Ian Happ","Cubs","COL @ CHC","CF","3.86",".89",".41",".15",".03",".30",".56",".71",".06",".04",".37","1.41","7.53","11.76","8.81","17919"
"Eugenio Suarez","Reds","MIL @ CIN","3B","4.21",".97",".53",".19",".01",".24",".57",".68",".04",".03",".55",".98","7.54","11.76","8.79","12552"
"Chris Taylor","Dodgers","LAD @ ARI","CF","4.82","1.24",".74",".30",".06",".14",".62",".49",".10",".06",".34",".96","7.45","11.55","9.00","13757"
"Giancarlo Stanton","Yankees","NYY @ HOU","LF","4.36",".88",".39",".17",".01",".32",".59",".70",".02",".01",".44","1.55","7.54","11.78","8.76","4949"
"Justin Smoak","Blue Jays","TOR @ MIN","1B","4.58","1.04",".60",".22",".00",".22",".63",".62",".01",".01",".57",".97","7.51","11.70","8.78","9054"
"Yonder Alonso","Indians","TEX @ CLE","1B","4.14","1.03",".59",".23",".00",".21",".61",".69",".01",".01",".52",".71","7.49","11.71","8.75","2530"
"Hanley Ramirez","Red Sox","KC @ BOS","1B","4.49","1.12",".72",".21",".00",".19",".68",".60",".05",".03",".42",".92","7.43","11.58","8.79","8001"
"Edwin Encarnacion","Indians","TEX @ CLE","DH","4.24",".87",".47",".16",".00",".24",".65",".68",".01",".00",".64",".96","7.51","11.74","8.64","2151"
"Eddie Rosario","Twins","TOR @ MIN","LF","4.17","1.10",".62",".24",".04",".21",".56",".68",".07",".05",".22",".81","7.29","11.38","8.70","12155"
"Addison Russell","Cubs","COL @ CHC","SS","4.31","1.00",".55",".21",".02",".22",".61",".70",".03",".01",".37","1.01","7.32","11.46","8.60","14106"
"Carlos Gomez","Rays","TB @ DET","RF","4.35","1.02",".56",".25",".02",".19",".56",".66",".08",".05",".39","1.23","7.30","11.39","8.61","4881"
"Jason Kipnis","Indians","TEX @ CLE","2B","4.56","1.02",".58",".27",".02",".15",".69",".54",".07",".03",".50",".85","7.33","11.40","8.59","9776"
"Freddie Freeman","Braves","ATL @ NYM","1B","4.42","1.06",".59",".26",".01",".19",".55",".54",".03",".02",".55","1.09","7.29","11.31","8.59","5361"
"Yoenis Cespedes","Mets","ATL @ NYM","LF","4.29","1.01",".56",".19",".02",".25",".59",".65",".01",".01",".37","1.12","7.25","11.32","8.55","13110"
"Michael Conforto","Mets","ATL @ NYM","CF","4.39",".97",".55",".19",".02",".21",".66",".50",".03",".02",".60","1.09","7.28","11.30","8.50","16376"
"Paul DeJong","Cardinals","CWS @ STL","SS","4.02","1.02",".55",".20",".02",".25",".54",".73",".02",".01",".29","1.12","7.20","11.28","8.50","18015"
"David Dahl","Rockies","COL @ CHC","LF","4.52","1.06",".59",".21",".05",".21",".60",".53",".09",".06",".26","1.31","7.16","11.13","8.58","13744"
"Aaron Judge","Yankees","NYY @ HOU","RF","4.55",".84",".42",".15",".01",".25",".61",".53",".05",".03",".64","1.85","7.27","11.29","8.42","15640"
"Leonys Martin","Tigers","TB @ DET","CF","4.59","1.11",".73",".20",".05",".13",".58",".46",".18",".09",".36","1.17","7.14","11.06","8.61","11846"
"Max Kepler","Twins","TOR @ MIN","RF","4.38","1.04",".58",".25",".03",".18",".58",".66",".03",".02",".37",".72","7.17","11.20","8.46","12144"
"Brandon Belt","Giants","SD @ SF","1B","4.23",".92",".52",".24",".03",".14",".55",".63",".03",".02",".75",".89","7.19","11.21","8.30","10264"
"Jay Bruce","Mets","ATL @ NYM","RF","4.19",".96",".49",".21",".02",".24",".55",".67",".02",".01",".39",".89","7.13","11.13","8.36","9892"
"Matt Kemp","Dodgers","LAD @ ARI","LF","4.38","1.15",".69",".25",".01",".20",".55",".67",".01",".01",".24",".83","7.03","10.99","8.41","5631"
"Ryan Zimmerman","Nationals","PIT @ WSH","1B","4.21","1.02",".57",".22",".01",".22",".54",".70",".01",".01",".34",".94","7.06","11.05","8.34","4220"
