"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Bryce Harper","Nationals","WSH @ ARI","RF","4.89","1.32",".64",".27",".02",".39",".96",".78",".05",".04",".71",".76","10.70","16.64","12.49","11579"
"Charlie Blackmon","Rockies","MIL @ COL","CF","4.66","1.35",".80",".23",".06",".25",".88",".76",".12",".06",".60",".78","9.87","15.36","11.66","7859"
"Matt Adams","Nationals","WSH @ ARI","1B","4.58","1.27",".62",".27",".02",".35",".75","1.00",".01",".01",".38",".93","9.59","15.03","11.24","9393"
"Trea Turner","Nationals","WSH @ ARI","SS","4.79","1.35",".87",".26",".08",".15",".76",".61",".31",".13",".35",".79","9.13","14.16","11.02","16252"
"Mike Trout","Angels","MIN @ LAA","CF","4.51","1.01",".57",".18",".03",".24",".74",".58",".13",".06",".95",".83","8.99","13.92","10.40","10155"
"Nolan Arenado","Rockies","MIL @ COL","3B","4.56","1.23",".70",".27",".03",".24",".73",".82",".03",".02",".55",".74","8.88","13.87","10.41","9777"
"Freddie Freeman","Braves","ATL @ MIA","1B","4.62","1.21",".66",".29",".02",".23",".73",".67",".04",".03",".71",".73","8.85","13.75","10.35","5361"
"Giancarlo Stanton","Yankees","OAK @ NYY","LF","4.27","1.03",".47",".18",".01",".38",".70",".86",".01",".01",".46","1.19","8.79","13.76","10.22","4949"
"Nelson Cruz","Mariners","SEA @ DET","DH","4.56","1.18",".66",".21",".00",".30",".72",".84",".01",".01",".50",".87","8.75","13.69","10.24","2434"
"Ryan Braun","Brewers","MIL @ COL","1B","4.71","1.28",".74",".31",".03",".20",".72",".80",".08",".05",".40",".77","8.65","13.53","10.24","3410"
"Rhys Hoskins","Phillies","NYM @ PHI","LF","4.27",".96",".45",".19",".01",".30",".71",".77",".04",".03",".74","1.09","8.74","13.64","10.05","16472"
"Christian Yelich","Brewers","MIL @ COL","LF","4.81","1.35",".85",".32",".03",".15",".81",".62",".07",".04",".56",".85","8.59","13.36","10.19","11477"
"Aaron Judge","Yankees","OAK @ NYY","RF","4.48","1.03",".55",".17",".01",".29",".75",".68",".05",".03",".66","1.36","8.60","13.39","9.99","15640"
"Anthony Rendon","Nationals","WSH @ ARI","3B","4.68","1.25",".72",".34",".02",".18",".74",".75",".04",".03",".52",".63","8.52","13.30","10.01","12861"
"Lorenzo Cain","Brewers","MIL @ COL","CF","4.91","1.42",".98",".29",".03",".12",".77",".50",".15",".07",".50",".71","8.44","13.07","10.17","9077"
"Cody Bellinger","Dodgers","CIN @ LAD","1B","4.27","1.08",".56",".22",".02",".28",".67",".76",".05",".03",".52",".91","8.45","13.20","9.89","15998"
"Travis Shaw","Brewers","MIL @ COL","3B","4.60","1.18",".65",".29",".02",".22",".68",".83",".03",".02",".48",".81","8.43","13.20","9.88","11982"
"Kris Bryant","Cubs","CWS @ CHC","3B","4.56","1.07",".60",".26",".03",".18",".77",".55",".05",".03",".85",".75","8.40","13.04","9.73","15429"
"Mookie Betts","Red Sox","BOS @ TOR","RF","4.85","1.14",".62",".31",".02",".19",".68",".57",".13",".05",".58",".56","8.32","12.90","9.80","13611"
"Tommy Pham","Cardinals","STL @ SD","CF","4.85","1.09",".68",".20",".03",".19",".68",".46",".18",".10",".76","1.22","8.33","12.85","9.81","2967"
