"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"J.D. Martinez","Red Sox","TEX @ BOS","DH","4.42","1.34",".63",".31",".02",".39",".84",".99",".01",".01",".41",".96","10.21","15.98","11.98","6184"
"Aaron Judge","Yankees","NYY @ BAL","RF","4.83","1.14",".59",".19",".01",".36",".89",".80",".06",".04",".87","1.19","10.18","15.85","11.75","15640"
"Mookie Betts","Red Sox","TEX @ BOS","RF","4.63","1.31",".67",".35",".03",".26",".83",".65",".16",".07",".52",".56","9.67","15.00","11.44","13611"
"Giancarlo Stanton","Yankees","NYY @ BAL","DH","4.62","1.13",".56",".20",".00",".38",".75",".95",".01",".01",".59","1.10","9.56","14.97","11.08","4949"
"Aaron Judge","Yankees","","RF","4.79","1.07",".55",".18",".01",".33",".81",".76",".05",".04",".77","1.41","9.41","14.66","10.87","15640"
"Giancarlo Stanton","Yankees","","DH","4.59","1.07",".52",".19",".00",".35",".71",".91",".02",".01",".53","1.26","9.00","14.10","10.44","4949"
"Cody Bellinger","Dodgers","LAD @ SD","1B","4.57","1.07",".53",".21",".03",".30",".71",".81",".04",".03",".57","1.06","8.83","13.79","10.27","15998"
"Aaron Hicks","Yankees","NYY @ BAL","CF","4.95","1.12",".66",".21",".02",".23",".81",".62",".11",".07",".71",".68","8.83","13.72","10.31","5297"
"Max Muncy","Dodgers","LAD @ SD","1B","4.79","1.08",".60",".19",".02",".27",".81",".63",".03",".03",".78","1.03","8.84","13.73","10.25","13301"
"Bryce Harper","Nationals","WSH @ PIT","RF","4.54","1.06",".56",".22",".01",".27",".74",".76",".04",".03",".66",".86","8.73","13.63","10.12","11579"
"Joc Pederson","Dodgers","LAD @ SD","LF","4.90","1.11",".55",".25",".02",".28",".78",".62",".06",".04",".55",".86","8.66","13.46","10.14","11899"
"Jose Ramirez","Indians","CIN @ CLE","3B","4.39","1.15",".63",".28",".02",".22",".69",".67",".09",".05",".50",".52","8.36","13.01","9.84","13510"
"Francisco Lindor","Indians","CIN @ CLE","SS","4.61","1.20",".68",".26",".02",".24",".71",".63",".08",".04",".39",".68","8.20","12.76","9.74","12916"
"Matt Adams","Nationals","WSH @ PIT","1B","4.43","1.21",".67",".24",".01",".28",".66",".83",".01",".01",".26",".86","8.17","12.80","9.67","9393"
"Brian Dozier","Twins","KC @ MIN","2B","4.43","1.08",".59",".23",".03",".24",".65",".71",".07",".04",".53",".77","8.21","12.80","9.63","9810"
"Rhys Hoskins","Phillies","PHI @ NYM","LF","4.64",".97",".49",".18",".01",".29",".71",".62",".05",".04",".66","1.18","8.21","12.77","9.52","16472"
"Corey Dickerson","Pirates","WSH @ PIT","LF","4.70","1.41",".86",".31",".04",".20",".70",".57",".04",".03",".29",".69","8.05","12.50","9.74","10762"
"Trea Turner","Nationals","WSH @ PIT","SS","4.86","1.31",".91",".22",".05",".14",".64",".48",".28",".11",".31",".78","8.03","12.41","9.81","16252"
"Alex Bregman","Astros","OAK @ HOU","3B","4.52","1.12",".62",".28",".03",".19",".75",".58",".09",".05",".53",".66","8.11","12.61","9.54","17678"
"Rhys Hoskins","Phillies","","LF","4.66",".96",".49",".19",".01",".28",".70",".60",".05",".03",".65","1.07","8.11","12.61","9.41","16472"
"Starling Marte","Pirates","WSH @ PIT","CF","4.58","1.23",".86",".20",".03",".13",".70",".49",".25",".11",".42",".76","8.00","12.38","9.64","9241"
"Justin Turner","Dodgers","LAD @ SD","3B","4.68","1.21",".77",".24",".01",".20",".70",".66",".03",".02",".54",".54","8.03","12.52","9.48","5235"
"Eddie Rosario","Twins","KC @ MIN","LF","4.54","1.27",".80",".23",".03",".21",".71",".65",".08",".06",".26",".77","7.94","12.38","9.53","12155"
"George Springer","Astros","OAK @ HOU","CF","4.64","1.13",".68",".21",".01",".22",".73",".57",".07",".03",".55",".88","8.01","12.45","9.44","12856"
"Aaron Hicks","Yankees","","CF","4.70","1.00",".59",".19",".02",".20",".67",".65",".09",".05",".64",".82","7.94","12.36","9.24","5297"
"Jose Altuve","Astros","OAK @ HOU","2B","4.42","1.30",".89",".25",".02",".13",".62",".64",".10",".05",".44",".57","7.83","12.19","9.40","5417"
"Edwin Encarnacion","Indians","CIN @ CLE","DH","4.30",".99",".52",".18",".00",".28",".65",".78",".01",".01",".46",".92","7.82","12.25","9.09","2151"
"Gregory Polanco","Pirates","WSH @ PIT","RF","4.47","1.03",".57",".25",".02",".18",".67",".60",".08",".04",".60",".77","7.83","12.18","9.14","12907"
"Didi Gregorius","Yankees","NYY @ BAL","SS","4.73","1.20",".77",".22",".01",".20",".68",".70",".04",".02",".38",".46","7.74","12.10","9.19","6012"
"Anthony Rendon","Nationals","WSH @ PIT","3B","4.64","1.23",".73",".33",".01",".17",".68",".65",".03",".02",".38",".61","7.71","12.03","9.15","12861"
"Michael Brantley","Indians","CIN @ CLE","LF","4.50","1.29",".84",".28",".01",".17",".70",".59",".07",".04",".30",".43","7.67","11.93","9.21","4106"
"Juan Soto","Nationals","WSH @ PIT","LF","4.75","1.16",".73",".23",".02",".18",".72",".53",".06",".04",".54",".81","7.73","12.00","9.14","20123"
"Mike Moustakas","Royals","KC @ MIN","3B","4.46","1.12",".62",".21",".01",".28",".62",".70",".01",".01",".31",".71","7.69","12.01","9.12","4892"
"Steve Pearce","Red Sox","TEX @ BOS","LF","4.31","1.15",".63",".31",".02",".20",".62",".71",".02",".01",".36",".71","7.62","11.90","9.00","9957"
"Eric Thames","Brewers","MIL @ MIA","1B","4.80",".99",".55",".19",".03",".22",".67",".46",".07",".04",".66","1.17","7.69","11.89","9.00","3711"
"Brett Gardner","Yankees","NYY @ BAL","LF","4.99","1.17",".84",".19",".02",".12",".73",".46",".11",".05",".60",".60","7.59","11.76","9.02","9927"
"Andrew Benintendi","Red Sox","TEX @ BOS","LF","4.52","1.14",".70",".26",".04",".14",".73",".56",".10",".06",".38",".82","7.53","11.73","8.95","17901"
"Manny Machado","Orioles","NYY @ BAL","SS","4.37","1.15",".70",".20",".01",".24",".60",".61",".04",".03",".37",".63","7.52","11.71","8.96","11493"
"Matt Kemp","Dodgers","LAD @ SD","LF","4.46","1.16",".70",".22",".01",".23",".59",".76",".01",".01",".27",".96","7.43","11.64","8.83","5631"
"Joey Votto","Reds","CIN @ CLE","1B","4.57","1.02",".65",".22",".01",".14",".64",".49",".02",".01",".92",".82","7.54","11.68","8.73","4314"
"Greg Bird","Yankees","NYY @ BAL","1B","4.34",".90",".47",".18",".01",".25",".60",".63",".01",".01",".64",".91","7.49","11.67","8.67","14131"
"Manny Machado","Orioles","","SS","4.36","1.12",".67",".20",".01",".24",".58",".64",".03",".03",".36",".61","7.38","11.50","8.78","11493"
"Clint Frazier","Yankees","NYY @ BAL","RF","4.51","1.00",".57",".22",".02",".19",".58",".64",".08",".06",".48","1.08","7.40","11.53","8.69","15983"
"Colin Moran","Pirates","WSH @ PIT","3B","4.36","1.14",".75",".21",".02",".16",".63",".69",".02",".02",".47",".66","7.37","11.52","8.70","16909"
"Evan Gattis","Astros","OAK @ HOU","DH","4.23",".99",".53",".20",".01",".25",".60",".75",".02",".01",".35",".85","7.37","11.56","8.64","11003"
"Josh Reddick","Astros","OAK @ HOU","RF","4.32","1.13",".72",".23",".03",".15",".57",".69",".04",".03",".45",".60","7.30","11.41","8.64","3892"
"Miguel Andujar","Yankees","NYY @ BAL","3B","4.45","1.19",".71",".27",".01",".20",".58",".67",".03",".02",".25",".64","7.26","11.34","8.68","15878"
"Eduardo Escobar","Twins","KC @ MIN","SS","4.33","1.09",".61",".27",".03",".18",".59",".67",".03",".02",".34",".84","7.21","11.26","8.53","6153"
"Lorenzo Cain","Brewers","MIL @ MIA","CF","4.69","1.22",".89",".21",".03",".08",".61",".41",".17",".07",".50",".69","7.19","11.11","8.68","9077"
"Xander Bogaerts","Red Sox","TEX @ BOS","SS","4.21","1.14",".68",".29",".02",".15",".59",".62",".05",".03",".36",".70","7.20","11.23","8.56","12161"
"Javier Baez","Cubs","CHC @ SF","2B","4.57","1.23",".77",".26",".06",".15",".55",".57",".09",".05",".21","1.09","7.14","11.11","8.68","12979"
"Brett Gardner","Yankees","","LF","4.90","1.10",".78",".19",".02",".11",".68",".44",".11",".05",".60",".71","7.23","11.20","8.58","9927"
"Yonder Alonso","Indians","CIN @ CLE","1B","4.19","1.07",".63",".23",".00",".21",".58",".64",".01",".01",".43",".77","7.22","11.27","8.51","2530"
