"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Jose Ramirez","Indians","CLE @ DET","3B","4.71","1.31",".73",".33",".04",".22",".75",".77",".10",".05",".50",".49","9.17","14.30","10.84","13510"
"Tommy Pham","Cardinals","STL @ MIN","CF","4.94","1.20",".75",".20",".03",".22",".77",".64",".16",".09",".69","1.20","9.10","14.12","10.71","2967"
"Kris Bryant","Cubs","CHC @ ATL","3B","4.84","1.23",".71",".30",".03",".20",".83",".60",".05",".04",".75",".87","8.91","13.83","10.41","15429"
"Freddie Freeman","Braves","CHC @ ATL","1B","4.62","1.13",".64",".30",".02",".17",".74",".65",".05",".03",".97",".72","8.88","13.79","10.25","5361"
"Francisco Lindor","Indians","CLE @ DET","SS","4.60","1.23",".72",".26",".03",".22",".67",".81",".08",".05",".47",".66","8.67","13.54","10.23","12916"
"Rhys Hoskins","Phillies","PHI @ BAL","LF","4.79","1.04",".55",".22",".01",".26",".77",".72",".05",".03",".70","1.12","8.70","13.56","10.06","16472"
"Anthony Rizzo","Cubs","CHC @ ATL","1B","4.74","1.14",".64",".26",".02",".21",".74",".73",".04",".03",".72",".64","8.66","13.50","10.06","3473"
"Eddie Rosario","Twins","STL @ MIN","LF","4.38","1.32",".74",".27",".04",".27",".65",".78",".07",".05",".15",".67","8.34","13.02","10.02","12155"
"Cody Bellinger","Dodgers","LAD @ MIA","1B","4.46","1.08",".58",".20",".03",".27",".67",".77",".05",".04",".53",".99","8.44","13.17","9.86","15998"
"Brian Dozier","Twins","STL @ MIN","2B","4.48","1.20",".67",".24",".02",".27",".75",".71",".07",".04",".28",".73","8.38","13.07","9.95","9810"
"Mookie Betts","Red Sox","OAK @ BOS","RF","4.65","1.19",".70",".30",".02",".17",".72",".55",".14",".06",".57",".64","8.34","12.94","9.86","13611"
"Michael Brantley","Indians","CLE @ DET","LF","4.82","1.39",".94",".28",".02",".15",".76",".62",".09",".04",".34",".48","8.14","12.67","9.80","4106"
"Jose Martinez","Cardinals","STL @ MIN","1B","4.83","1.27",".80",".26",".01",".20",".73",".69",".05",".03",".45",".75","8.18","12.76","9.70","7996"
"Ozzie Albies","Braves","CHC @ ATL","2B","4.86","1.16",".71",".25",".06",".14",".69",".57",".15",".10",".56",".86","8.14","12.63","9.64","16556"
"Ronald Acuna","Braves","CHC @ ATL","LF","4.74","1.07",".69",".22",".03",".13",".71",".52",".22",".15",".66","1.22","8.13","12.59","9.57","18401"
"Paul DeJong","Cardinals","STL @ MIN","SS","4.72","1.14",".63",".22",".01",".27",".66",".78",".02",".01",".34","1.42","8.07","12.63","9.52","18015"
"Mike Moustakas","Royals","TB @ KC","3B","4.40","1.17",".65",".23",".01",".28",".64",".79",".01",".01",".30",".58","8.02","12.55","9.48","4892"
"Willson Contreras","Cubs","CHC @ ATL","C","4.64","1.17",".68",".30",".02",".17",".64",".78",".03",".03",".52",".83","8.03","12.56","9.42","11609"
"Manny Machado","Orioles","PHI @ BAL","SS","4.43","1.19",".71",".23",".01",".25",".64",".68",".05",".03",".37",".66","7.93","12.37","9.43","11493"
"Justin Turner","Dodgers","LAD @ MIA","3B","4.68","1.21",".76",".26",".01",".18",".67",".65",".03",".02",".56",".60","7.95","12.39","9.39","5235"
