"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Bryce Harper","Nationals","PIT @ WAS","RF","4.58","1.19",".69",".24",".01",".25",".84",".64",".14",".07",".76",".74","9.41","14.61","10.99","11579"
"Giancarlo Stanton","Marlins","ATL @ MIA","RF","4.52","1.07",".51",".20",".00",".36",".83",".77",".03",".01",".67","1.06","9.36","14.59","10.82","4949"
"George Springer","Astros","HOU @ BOS","CF","4.84","1.14",".62",".21",".01",".29",".80",".72",".11",".05",".59","1.18","9.12","14.20","10.67","12856"
"Eric Thames","Brewers","CIN @ MIL","1B","4.69","1.13",".62",".21",".02",".28",".86",".61",".08",".03",".71","1.02","9.12","14.16","10.64","3711"
"Andrew McCutchen","Pirates","PIT @ WAS","CF","4.68","1.16",".69",".23",".01",".23",".76",".74",".09",".04",".71",".88","8.95","13.95","10.44","9847"
"Trea Turner","Nationals","PIT @ WAS","SS","4.70","1.42",".97",".26",".06",".14",".78",".50",".32",".12",".27",".77","8.79","13.59","10.72","16252"
"Ryan Braun","Brewers","CIN @ MIL","LF","4.48","1.19",".69",".24",".02",".24",".75",".75",".12",".05",".47",".74","8.80","13.72","10.37","3410"
"Starling Marte","Pirates","PIT @ WAS","LF","4.80","1.24",".82",".25",".02",".16",".73",".60",".30",".13",".42",".93","8.72","13.53","10.45","9241"
"Anthony Rizzo","Cubs","CHN @ SLN","1B","4.68","1.06",".60",".22",".02",".23",".71",".73",".06",".04",".82",".65","8.74","13.61","10.10","3473"
"Khris Davis","Athletics","OAK @ TEX","LF","4.52","1.05",".53",".19",".02",".32",".69",".83",".03",".02",".45","1.16","8.55","13.37","9.97","9112"
"Gary Sanchez","Yankees","TBA @ NYA","C","4.45","1.06",".58",".17",".00",".30",".68",".82",".06",".03",".44","1.06","8.41","13.16","9.83","11442"
"Joey Votto","Reds","CIN @ MIL","1B","4.59","1.12",".72",".22",".01",".18",".72",".57",".05",".03",".93",".65","8.42","13.06","9.79","4314"
"Kris Bryant","Cubs","CHN @ SLN","3B","4.79","1.14",".67",".25",".02",".20",".75",".60",".08",".04",".64","1.05","8.37","13.01","9.82","15429"
"Anthony Rendon","Nationals","PIT @ WAS","3B","4.48","1.20",".73",".29",".01",".17",".71",".71",".08",".03",".52",".65","8.20","12.80","9.66","12861"
"Carlos Correa","Astros","HOU @ BOS","SS","4.63","1.12",".66",".24",".01",".21",".66",".68",".09",".05",".54","1.02","8.15","12.71","9.58","14162"
"Matt Joyce","Athletics","OAK @ TEX","RF","4.73","1.04",".59",".21",".01",".24",".73",".61",".04",".02",".70",".83","8.20","12.75","9.52","3353"
"Aaron Judge","Yankees","TBA @ NYA","RF","4.56",".93",".51",".13",".01",".28",".73",".67",".05",".02",".69","1.49","8.20","12.78","9.47","15640"
"Mookie Betts","Red Sox","HOU @ BOS","RF","4.32","1.06",".61",".26",".01",".18",".64",".71",".14",".05",".52",".58","8.09","12.62","9.49","13611"
"Ryan Zimmerman","Nationals","PIT @ WAS","1B","4.38","1.16",".69",".24",".01",".22",".65",".84",".03",".02",".38",".84","8.04","12.61","9.46","4220"
"Neil Walker","Brewers","CIN @ MIL","2B","4.58","1.18",".73",".22",".03",".21",".74",".61",".03",".02",".51",".72","8.00","12.46","9.45","7539"
"Francisco Lindor","Indians","MIN @ CLE","SS","4.59","1.23",".79",".24",".02",".19",".67",".54",".15",".08",".41",".55","7.96","12.34","9.54","12916"
"Travis Shaw","Brewers","CIN @ MIL","3B","4.38","1.04",".61",".21",".01",".21",".70",".72",".04",".02",".60",".84","8.02","12.53","9.32","11982"
"Evan Gattis","Astros","HOU @ BOS","C","4.52","1.04",".53",".22",".01",".28",".65",".81",".02",".01",".37","1.08","7.98","12.50","9.33","11003"
"Adrian Beltre","Rangers","OAK @ TEX","DH","4.24","1.18",".75",".20",".01",".21",".66",".82",".02",".01",".41",".57","7.90","12.39","9.31","639"
"Brett Gardner","Yankees","TBA @ NYA","LF","4.66","1.04",".69",".17",".03",".16",".71",".51",".16",".06",".70",".86","7.96","12.34","9.35","9927"
"Josh Bell","Pirates","PIT @ WAS","1B","4.58","1.09",".71",".19",".03",".16",".67",".70",".06",".04",".66",".68","7.93","12.38","9.27","13145"
"Jose Ramirez","Indians","MIN @ CLE","2B","4.38","1.19",".75",".27",".02",".15",".64",".59",".17",".08",".42",".43","7.87","12.23","9.39","13510"
"Adam Frazier","Pirates","PIT @ WAS","2B","4.91","1.30",".98",".22",".04",".06",".68",".43",".26",".16",".50",".52","7.78","12.03","9.44","15223"
"Lucas Duda","Rays","TBA @ NYA","1B","4.62",".93",".48",".20",".00",".26",".70",".63",".02",".01",".68","1.24","7.90","12.31","9.12","2502"
"Alex Bregman","Astros","HOU @ BOS","3B","4.73","1.13",".67",".27",".02",".18",".67",".64",".06",".04",".44",".85","7.71","12.02","9.11","17678"
"Marcus Semien","Athletics","OAK @ TEX","SS","4.84","1.14",".70",".22",".02",".20",".69",".57",".09",".05",".40",".94","7.69","11.96","9.15","12533"
"Eugenio Suarez","Reds","CIN @ MIL","3B","4.50","1.03",".61",".19",".02",".21",".62",".73",".06",".04",".52",".95","7.72","12.07","9.03","12552"
"Marcell Ozuna","Marlins","ATL @ MIA","LF","4.32","1.09",".67",".20",".02",".20",".65",".74",".03",".01",".45",".83","7.63","11.95","8.97","10324"
"Domingo Santana","Brewers","CIN @ MIL","RF","4.27",".97",".58",".20",".01",".19",".65",".71",".06",".03",".59","1.10","7.65","11.97","8.89","10348"
"Gregory Polanco","Pirates","PIT @ WAS","RF","4.37","1.08",".70",".22",".01",".15",".56",".68",".15",".07",".49",".68","7.60","11.85","8.99","12907"
"Christian Yelich","Marlins","ATL @ MIA","CF","4.42","1.10",".73",".24",".02",".12",".66",".56",".10",".05",".66",".71","7.62","11.85","8.96","11477"
"Logan Morrison","Rays","TBA @ NYA","1B","4.53",".94",".53",".16",".01",".24",".61",".66",".06",".03",".60","1.07","7.64","11.91","8.88","9205"
"Edwin Encarnacion","Indians","MIN @ CLE","DH","4.28",".90",".49",".16",".01",".24",".66",".70",".02",".01",".62",".83","7.65","11.95","8.82","2151"
"Gregory Bird","Yankees","TBA @ NYA","1B","4.13",".90",".48",".17",".00",".24",".66",".65",".03",".01",".63",".93","7.62","11.89","8.79","14131"
"Jay Bruce","Indians","MIN @ CLE","RF","4.17",".97",".51",".22",".01",".23",".63",".75",".05",".03",".41",".87","7.57","11.85","8.82","9892"
"Kevin Kiermaier","Rays","TBA @ NYA","CF","4.74","1.08",".70",".20",".03",".16",".63",".51",".19",".09",".43","1.06","7.51","11.65","8.97","11038"
"Matt Carpenter","Cardinals","CHN @ SLN","3B","4.61","1.06",".62",".27",".02",".15",".71",".42",".05",".03",".73",".85","7.54","11.66","8.82","8090"
"Dee Gordon","Marlins","ATL @ MIA","2B","4.63","1.20",".96",".15",".07",".02",".63",".34",".41",".15",".35",".58","7.38","11.37","9.08","8203"
"Andrew Benintendi","Red Sox","HOU @ BOS","LF","4.42","1.04",".65",".26",".02",".10",".60",".49",".16",".07",".60",".78","7.36","11.41","8.69","17901"
"Didi Gregorius","Yankees","TBA @ NYA","SS","4.33","1.09",".69",".20",".00",".20",".62",".66",".05",".03",".39",".60","7.30","11.41","8.64","6012"
"Elvis Andrus","Rangers","OAK @ TEX","SS","4.45","1.17",".81",".24",".03",".10",".60",".57",".16",".07",".39",".65","7.26","11.30","8.72","8709"
"Willson Contreras","Cubs","CHN @ SLN","C","4.58","1.07",".68",".22",".01",".15",".60",".69",".05",".03",".50",".98","7.30","11.41","8.57","11609"
"Phillip Ervin","Reds","CIN @ MIL","CF","4.81","1.03",".64",".21",".02",".15",".63",".43",".20",".11",".45",".99","7.28","11.26","8.68","14738"
"Kyle Schwarber","Cubs","CHN @ SLN","LF","4.36",".84",".47",".14",".01",".22",".58",".67",".05",".03",".65","1.23","7.30","11.41","8.42","16478"
"Delino DeShields","Rangers","OAK @ TEX","LF","4.67","1.07",".76",".20",".03",".09",".62",".40",".25",".12",".50","1.17","7.21","11.14","8.65","11379"
"Ben Zobrist","Cubs","CHN @ SLN","2B","4.90","1.07",".70",".24",".02",".11",".70",".43",".06",".03",".68",".62","7.25","11.23","8.52","7435"
"Dexter Fowler","Cardinals","CHN @ SLN","CF","4.41",".99",".66",".18",".05",".11",".58",".53",".10",".05",".70",".86","7.23","11.22","8.48","4062"
"Zack Cozart","Reds","CIN @ MIL","SS","4.69","1.06",".63",".21",".05",".18",".66",".52",".04",".03",".43",".73","7.18","11.16","8.51","2616"
"Justin Bour","Marlins","ATL @ MIA","1B","4.21",".96",".60",".17",".01",".18",".60",".70",".01",".01",".58",".72","7.19","11.25","8.35","9744"
"Carlos Gomez","Rangers","OAK @ TEX","CF","4.14",".97",".59",".20",".01",".17",".57",".61",".14",".06",".42","1.15","7.15","11.15","8.44","4881"
"Freddie Freeman","Braves","ATL @ MIA","1B","4.53","1.06",".67",".25",".02",".11",".60",".49",".02",".01",".75",".81","7.19","11.15","8.40","5361"
"Corey Dickerson","Rays","TBA @ NYA","LF","4.43","1.04",".59",".23",".02",".20",".55",".67",".03",".02",".36","1.12","7.11","11.10","8.40","10762"
"Tommy Pham","Cardinals","CHN @ SLN","LF","4.52","1.11",".74",".22",".02",".13",".63",".49",".12",".05",".44","1.11","7.10","11.02","8.47","2967"
"Matt Holliday","Yankees","TBA @ NYA","DH","4.23",".92",".54",".16",".00",".21",".63",".62",".02",".01",".55","1.02","7.15","11.17","8.31","1873"
"Lorenzo Cain","Royals","DET @ KCA","CF","4.45","1.13",".79",".21",".03",".11",".60",".47",".14",".07",".46",".78","7.07","10.96","8.47","9077"
"David Freese","Pirates","PIT @ WAS","3B","4.48","1.03",".69",".20",".00",".14",".60",".70",".02",".01",".56","1.09","7.10","11.12","8.29","9549"
"Jed Lowrie","Athletics","OAK @ TEX","2B","4.62","1.16",".74",".27",".02",".13",".61",".61",".01",".01",".43",".66","7.06","11.02","8.39","4418"
"Carlos Santana","Indians","MIN @ CLE","1B","4.06",".89",".50",".19",".01",".18",".59",".58",".04",".02",".67",".60","7.15","11.13","8.27","2396"
"Ryon Healy","Athletics","OAK @ TEX","DH","4.41","1.16",".74",".22",".01",".19",".57",".71",".02",".01",".22",".85","7.02","10.99","8.40","15447"
"Jedd Gyorko","Cardinals","CHN @ SLN","3B","4.31","1.02",".64",".19",".01",".19",".57",".74",".01",".01",".38",".92","7.03","11.02","8.26","10816"
