"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Mike Trout","Angels","LAA @ KC","CF","4.77","1.20",".62",".25",".04",".29",".86",".70",".14",".07",".81",".84","10.09","15.66","11.77","10155"
"Kris Bryant","Cubs","PIT @ CHC","3B","4.56","1.25",".65",".26",".03",".31",".85",".69",".05",".03",".66",".86","9.59","14.91","11.23","15429"
"Ian Happ","Cubs","PIT @ CHC","CF","4.67","1.13",".53",".18",".03",".38",".84",".71",".07",".05",".52","1.46","9.46","14.72","11.08","17919"
"Kyle Schwarber","Cubs","PIT @ CHC","LF","4.35","1.02",".46",".16",".02",".38",".76",".93",".02",".02",".62","1.16","9.42","14.74","10.86","16478"
"Brian Dozier","Twins","CWS @ MIN","2B","4.76","1.13",".61",".22",".02",".27",".81",".70",".08",".05",".71",".83","9.18","14.29","10.68","9810"
"Bryce Harper","Nationals","COL @ WSH","RF","4.39","1.08",".58",".22",".01",".27",".74",".72",".05",".03",".75",".79","8.88","13.82","10.29","11579"
"Miguel Sano","Twins","CWS @ MIN","3B","4.54",".97",".49",".18",".01",".28",".72",".80",".01",".01",".76","1.48","8.62","13.47","9.89","12164"
"Marcell Ozuna","Cardinals","STL @ CIN","LF","4.62","1.26",".74",".25",".01",".25",".70",".85",".02",".01",".38",".98","8.48","13.29","10.01","10324"
"Tommy Pham","Cardinals","STL @ CIN","CF","4.82","1.10",".68",".20",".02",".20",".76",".59",".14",".08",".67","1.18","8.52","13.23","9.99","2967"
"Giancarlo Stanton","Yankees","NYY @ BOS","LF","4.63","1.08",".52",".24",".01",".32",".68",".78",".01",".01",".44","1.42","8.42","13.15","9.83","4949"
"Matt Carpenter","Cardinals","STL @ CIN","3B","4.72",".95",".49",".24",".02",".20",".74",".63",".02",".01",".94","1.00","8.34","12.97","9.52","8090"
"Justin Upton","Angels","LAA @ KC","LF","4.67","1.07",".55",".26",".01",".25",".65",".75",".06",".03",".49","1.28","8.22","12.83","9.61","5222"
"Aaron Judge","Yankees","NYY @ BOS","RF","4.73","1.03",".56",".21",".01",".25",".73",".64",".05",".03",".63","1.60","8.20","12.77","9.54","15640"
"Mike Moustakas","Royals","LAA @ KC","3B","4.39","1.17",".65",".22",".01",".29",".66",".78",".01",".01",".30",".65","8.09","12.65","9.57","4892"
"Eddie Rosario","Twins","CWS @ MIN","LF","4.43","1.17",".69",".24",".04",".20",".63",".83",".06",".04",".36",".79","8.08","12.66","9.55","12155"
"Dexter Fowler","Cardinals","STL @ CIN","RF","4.93","1.11",".65",".24",".06",".17",".72",".50",".08",".05",".69",".99","8.09","12.53","9.52","4062"
"Jose Martinez","Cardinals","STL @ CIN","1B","4.51","1.16",".72",".23",".01",".20",".63",".73",".04",".02",".48",".73","7.86","12.28","9.26","7996"
"Trea Turner","Nationals","COL @ WSH","SS","4.59","1.17",".77",".21",".06",".13",".64",".41",".30",".12",".39",".90","7.82","12.06","9.47","16252"
"Logan Morrison","Twins","CWS @ MIN","DH","4.32",".93",".50",".19",".01",".23",".66",".71",".02",".01",".75",".81","7.94","12.40","9.13","9205"
"Nolan Arenado","Rockies","COL @ WSH","3B","4.53","1.12",".62",".26",".02",".22",".61",".69",".02",".02",".50",".78","7.86","12.26","9.25","9777"
"Mookie Betts","Red Sox","NYY @ BOS","RF","4.67","1.16",".70",".31",".02",".13",".64",".52",".14",".06",".54",".66","7.75","12.02","9.20","13611"
"Anthony Rendon","Nationals","COL @ WSH","3B","4.48","1.14",".68",".30",".01",".15",".72",".53",".05",".03",".55",".66","7.64","11.86","8.99","12861"
"Brandon Belt","Giants","SF @ SD","1B","4.71","1.02",".56",".28",".02",".16",".68",".49",".04",".03",".74","1.05","7.63","11.83","8.88","10264"
"Ryan Zimmerman","Nationals","COL @ WSH","1B","4.29","1.05",".59",".23",".01",".23",".59",".77",".01",".01",".33",".94","7.41","11.63","8.72","4220"
"Gregory Polanco","Pirates","PIT @ CHC","RF","4.59","1.09",".61",".25",".02",".21",".64",".55",".09",".05",".33",".91","7.41","11.52","8.82","12907"
"Ian Kinsler","Angels","LAA @ KC","2B","4.89","1.08",".65",".23",".02",".18",".68",".51",".08",".04",".47",".73","7.43","11.53","8.79","6195"
"Francisco Lindor","Indians","DET @ CLE","SS","4.65","1.15",".71",".25",".03",".17",".63",".54",".08",".05",".40",".60","7.39","11.48","8.82","12916"
"Joe Mauer","Twins","CWS @ MIN","1B","4.64","1.14",".77",".28",".01",".08",".74",".50",".02",".01",".77",".57","7.46","11.58","8.71","1857"
"Lucas Duda","Royals","LAA @ KC","1B","4.29",".89",".42",".22",".00",".25",".59",".65",".01",".00",".61","1.06","7.46","11.63","8.61","2502"
"Jose Ramirez","Indians","DET @ CLE","3B","4.43","1.13",".67",".30",".03",".13",".60",".57",".10",".05",".45",".46","7.37","11.47","8.75","13510"
"Javier Baez","Cubs","PIT @ CHC","2B","4.03","1.06",".60",".20",".02",".24",".55",".70",".05",".03",".28","1.03","7.32","11.44","8.70","12979"
"Edwin Encarnacion","Indians","DET @ CLE","DH","4.22",".91",".51",".17",".00",".23",".63",".68",".01",".01",".60",".91","7.38","11.54","8.53","2151"
"Ben Zobrist","Cubs","PIT @ CHC","2B","4.46","1.06",".65",".22",".02",".16",".68",".56",".03",".02",".57",".55","7.35","11.44","8.62","7435"
"Paul DeJong","Cardinals","STL @ CIN","SS","4.29","1.06",".57",".22",".01",".26",".55",".73",".02",".01",".27","1.31","7.29","11.41","8.63","18015"
"J.D. Martinez","Red Sox","NYY @ BOS","DH","4.34","1.00",".53",".24",".02",".21",".57",".70",".02",".01",".43","1.31","7.31","11.43","8.56","6184"
"Jose Abreu","White Sox","CWS @ MIN","1B","4.50","1.16",".71",".25",".02",".19",".55",".63",".01",".01",".40",".79","7.22","11.26","8.60","15676"
"Addison Russell","Cubs","PIT @ CHC","SS","4.25","1.00",".56",".22",".02",".21",".60",".67",".03",".02",".42",".92","7.25","11.33","8.51","14106"
"Andrew Benintendi","Red Sox","NYY @ BOS","LF","4.55","1.06",".67",".26",".02",".11",".61",".53",".10",".07",".59",".84","7.26","11.27","8.55","17901"
"Starling Marte","Pirates","PIT @ CHC","CF","4.48","1.13",".76",".18",".03",".15",".55",".53",".17",".08",".32",".94","7.17","11.14","8.67","9241"
"Gary Sanchez","Yankees","NYY @ BOS","C","4.41","1.09",".61",".24",".00",".23",".58",".67",".02",".02",".29",".93","7.20","11.26","8.55","11442"
"Corey Dickerson","Pirates","PIT @ CHC","LF","4.28","1.13",".62",".26",".03",".22",".56",".65",".02",".02",".21","1.01","7.17","11.19","8.57","10762"
"Adam Duvall","Reds","STL @ CIN","LF","4.20",".93",".45",".20",".02",".26",".56",".70",".03",".02",".33","1.20","7.19","11.25","8.43","10950"
"Michael Brantley","Indians","DET @ CLE","LF","4.32","1.18",".79",".26",".01",".12",".58",".62",".07",".03",".40",".46","7.10","11.07","8.48","4106"
"Matt Adams","Nationals","COL @ WSH","1B","4.18","1.03",".55",".24",".01",".22",".55",".67",".02",".01",".35","1.01","7.11","11.10","8.38","9393"
"Didi Gregorius","Yankees","NYY @ BOS","SS","4.53","1.20",".75",".29",".02",".15",".56",".64",".03",".02",".26",".60","7.00","10.93","8.40","6012"
"Jason Kipnis","Indians","DET @ CLE","2B","4.54","1.04",".61",".27",".02",".14",".64",".52",".07",".04",".45",".80","7.04","10.94","8.31","9776"
"Miguel Cabrera","Tigers","DET @ CLE","1B","4.47","1.07",".64",".23",".00",".19",".56",".58",".01",".01",".48","1.02","7.03","10.95","8.30","1744"
"Josh Bell","Pirates","PIT @ CHC","1B","4.38","1.01",".59",".18",".02",".20",".57",".62",".03",".02",".41",".89","7.02","10.95","8.29","13145"
"Chris Iannetta","Rockies","COL @ WSH","C","4.64",".91",".52",".21",".00",".18",".64",".50",".01",".01",".70","1.23","7.10","11.03","8.21","8267"
