"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Rhys Hoskins","Phillies","NYM @ PHI","LF","4.33","1.05",".49",".19",".01",".36",".78",".88",".03",".02",".61",".92","9.39","14.68","10.85","16472"
"Rhys Hoskins","Phillies","","LF","4.51","1.08",".51",".22",".02",".33",".80",".74",".05",".03",".66",".94","9.24","14.38","10.71","16472"
"Giancarlo Stanton","Yankees","TB @ NYY","DH","4.49","1.11",".53",".19",".00",".38",".79",".79",".02",".01",".52","1.36","9.20","14.35","10.71","4949"
"Justin Upton","Angels","LAA @ TEX","LF","4.67","1.26",".72",".25",".01",".28",".75",".81",".06",".03",".49",".91","9.09","14.19","10.69","5222"
"Justin Bour","Phillies","NYM @ PHI","1B","4.54","1.05",".55",".15",".01",".35",".84",".72",".01",".01",".65","1.00","8.96","13.98","10.38","9744"
"Shin-Soo Choo","Rangers","LAA @ TEX","DH","4.82","1.14",".71",".23",".02",".19",".78",".64",".06",".04",".91",".97","8.83","13.72","10.23","3174"
"Bryce Harper","Nationals","WSH @ STL","RF","4.71","1.03",".57",".20",".01",".26",".75",".70",".05",".03",".81","1.14","8.77","13.66","10.12","11579"
"Joey Gallo","Rangers","LAA @ TEX","LF","4.27",".84",".35",".14",".03",".32",".72",".79",".04",".03",".75","1.35","8.68","13.56","9.91","14128"
"Kole Calhoun","Angels","LAA @ TEX","RF","4.90","1.31",".80",".24",".05",".22",".72",".69",".04",".03",".44",".63","8.46","13.17","10.08","11200"
"Rougned Odor","Rangers","LAA @ TEX","","4.72","1.08",".61",".21",".04",".21",".73",".74",".11",".09",".51","1.08","8.43","13.16","9.87","12282"
"Trea Turner","Nationals","WSH @ STL","SS","4.83","1.32",".95",".21",".04",".12",".72",".51",".30",".12",".35",".90","8.28","12.82","10.05","16252"
"Matt Carpenter","Cardinals","WSH @ STL","3B","4.66","1.12",".59",".27",".01",".25",".72",".57",".02",".01",".67",".96","8.34","12.94","9.74","8090"
"Miguel Sano","Twins","DET @ MIN","3B","4.40",".97",".50",".20",".02",".25",".68",".80",".01",".01",".72","1.34","8.32","13.01","9.56","12164"
"Juan Soto","Nationals","WSH @ STL","LF","4.51","1.12",".70",".22",".02",".18",".69",".69",".06",".04",".66",".88","8.12","12.66","9.50","20123"
"Javier Baez","Cubs","CHC @ PIT","2B","4.83","1.42",".87",".31",".03",".20",".66",".57",".10",".06",".17",".91","7.99","12.40","9.74","12979"
"Nolan Arenado","Rockies","COL @ ATL","3B","4.46","1.10",".60",".23",".02",".24",".66",".70",".02",".01",".55",".78","8.10","12.63","9.48","9777"
"Aaron Hicks","Yankees","TB @ NYY","CF","4.58","1.02",".59",".19",".01",".22",".74",".51",".11",".07",".70","1.00","8.13","12.61","9.49","5297"
"Asdrubal Cabrera","Phillies","NYM @ PHI","2B","4.43","1.18",".69",".23",".01",".25",".72",".71",".02",".01",".37",".79","8.03","12.54","9.49","4962"
"Tyler O'Neill","Cardinals","WSH @ STL","RF","4.44","1.09",".63",".16",".02",".28",".66",".73",".05",".03",".38","1.27","8.00","12.50","9.44","15711"
"Freddie Freeman","Braves","COL @ ATL","1B","4.37","1.24",".73",".30",".02",".18",".67",".60",".04",".02",".53",".87","8.01","12.45","9.49","5361"
"Wilmer Flores","Mets","NYM @ PHI","1B","4.54","1.26",".74",".26",".00",".25",".66",".73",".02",".01",".27",".46","7.94","12.41","9.47","5827"
"Shohei Ohtani","Angels","LAA @ TEX","DH","4.57","1.13",".66",".21",".03",".23",".65",".74",".03",".02",".46",".89","7.98","12.46","9.39","19755"
"Todd Frazier","Mets","NYM @ PHI","3B","4.32","1.01",".52",".18",".00",".30",".63",".76",".05",".03",".42",".84","7.98","12.48","9.34","785"
"Anthony Rizzo","Cubs","CHC @ PIT","1B","4.50","1.16",".68",".26",".02",".19",".67",".68",".04",".02",".50",".48","7.94","12.39","9.35","3473"
"Nick Williams","Phillies","NYM @ PHI","RF","4.23","1.10",".62",".17",".04",".26",".63",".74",".04",".03",".35","1.03","7.89","12.33","9.34","14330"
"Ronald Acuna","Braves","COL @ ATL","LF","4.60","1.19",".73",".23",".02",".21",".66",".52",".16",".10",".34","1.33","7.84","12.15","9.41","18401"
"Tyler Austin","Twins","DET @ MIN","1B","4.29",".97",".49",".22",".01",".25",".63",".78",".03",".02",".49","1.27","7.84","12.27","9.10","11850"
"Anthony Rendon","Nationals","WSH @ STL","3B","4.62","1.23",".77",".30",".01",".15",".66",".72",".03",".02",".43",".70","7.72","12.07","9.14","12861"
"Trevor Story","Rockies","COL @ ATL","SS","4.36","1.07",".57",".25",".03",".22",".57",".71",".06",".04",".38","1.20","7.65","11.94","9.02","12564"
"A.J. Pollock","Diamondbacks","ARI @ SD","CF","4.67","1.15",".70",".26",".04",".16",".64",".52",".18",".09",".31",".85","7.58","11.75","9.10","9256"
"Elvis Andrus","Rangers","LAA @ TEX","SS","4.59","1.27",".86",".26",".05",".10",".61",".64",".11",".06",".35",".61","7.55","11.76","9.08","8709"
"Ian Happ","Cubs","CHC @ PIT","CF","4.41","1.07",".63",".20",".04",".20",".58",".67",".06",".04",".45","1.26","7.60","11.85","8.98","17919"
"Nomar Mazara","Rangers","LAA @ TEX","RF","4.47","1.13",".72",".21",".02",".17",".63",".72",".01",".01",".51",".88","7.60","11.88","8.94","14553"
"Carlos Santana","Phillies","NYM @ PHI","1B","4.24",".94",".51",".19",".02",".21",".66",".66",".02",".02",".65",".58","7.63","11.91","8.81","2396"
"Miguel Andujar","Yankees","TB @ NYY","3B","4.38","1.21",".70",".28",".01",".22",".58",".67",".03",".02",".25",".87","7.49","11.69","8.97","15878"
"Michael Conforto","Mets","","CF","4.48","1.04",".58",".19",".02",".25",".61",".62",".02",".02",".48","1.16","7.55","11.75","8.88","16376"
"Ryan Zimmerman","Nationals","WSH @ STL","1B","4.40","1.13",".69",".22",".01",".21",".62",".76",".01",".01",".34",".93","7.48","11.73","8.84","4220"
"Randal Grichuk","Blue Jays","TOR @ KC","RF","4.78","1.23",".68",".31",".04",".19",".63",".56",".04",".03",".24",".91","7.44","11.57","8.94","10243"
"Ozzie Albies","Braves","COL @ ATL","2B","4.48","1.25",".81",".25",".05",".14",".69",".48",".13",".07",".25",".81","7.37","11.43","8.94","16556"
"Paul Goldschmidt","Diamondbacks","ARI @ SD","1B","4.45","1.07",".67",".20",".01",".18",".57",".63",".06",".03",".56","1.10","7.39","11.52","8.71","9218"
"Starling Marte","Pirates","CHC @ PIT","CF","4.46","1.21",".84",".21",".03",".13",".59",".45",".22",".10",".29",".77","7.29","11.27","8.87","9241"
"Maikel Franco","Phillies","NYM @ PHI","3B","4.12","1.08",".61",".18",".01",".28",".59",".72",".01",".01",".23",".54","7.31","11.44","8.68","12179"
"Jurickson Profar","Rangers","LAA @ TEX","SS","4.37","1.03",".61",".24",".05",".13",".64",".63",".04",".03",".56",".56","7.36","11.48","8.62","10815"
"Daniel Murphy","Nationals","WSH @ STL","2B","4.29","1.30",".84",".30",".02",".14",".54",".66",".02",".01",".33",".45","7.27","11.34","8.74","4316"
"Carlos Gonzalez","Rockies","COL @ ATL","RF","4.56","1.12",".66",".27",".01",".18",".63",".58",".03",".02",".44",".98","7.31","11.38","8.64","7287"
"Justin Smoak","Blue Jays","TOR @ KC","1B","4.56","1.13",".68",".28",".01",".17",".62",".57",".01",".01",".53",".74","7.30","11.35","8.61","9054"
"David Dahl","Rockies","COL @ ATL","LF","4.78","1.15",".70",".21",".05",".19",".60",".50",".09",".06",".32","1.19","7.24","11.23","8.72","13744"
"Jeff McNeil","Mets","","2b","4.59","1.17",".72",".22",".03",".20",".65",".51",".05",".03",".31",".67","7.23","11.22","8.68","15362"
"Paul DeJong","Cardinals","WSH @ STL","SS","4.24","1.10",".64",".24",".01",".21",".59",".65",".02",".01",".32","1.01","7.20","11.24","8.54","18015"
"Carlos Santana","Phillies","","1B","4.29",".91",".52",".19",".01",".18",".62",".61",".02",".01",".68",".63","7.26","11.32","8.39","2396"
"Adam Eaton","Nationals","WSH @ STL","LF","4.94","1.31",".98",".22",".03",".09",".63",".41",".10",".06",".47",".84","7.13","11.03","8.67","11205"
"Wilson Ramos","Phillies","","C","4.09","1.12",".70",".18",".00",".23",".59",".67",".01",".00",".31",".67","7.13","11.15","8.48","1433"
"David Peralta","Diamondbacks","ARI @ SD","LF","4.56","1.19",".79",".21",".04",".15",".58",".58",".05",".02",".36",".83","7.11","11.07","8.55","2136"
"Yadier Molina","Cardinals","WSH @ STL","C","4.55","1.26",".87",".23",".01",".15",".67",".53",".05",".04",".28",".58","7.08","11.02","8.55","7007"
"Michael Conforto","Mets","NYM @ PHI","CF","4.42","1.03",".63",".18",".02",".21",".58",".63",".02",".01",".46","1.11","7.13","11.13","8.41","16376"
"Marcell Ozuna","Cardinals","WSH @ STL","LF","4.33","1.22",".84",".18",".02",".18",".58",".65",".02",".01",".28",".71","7.06","11.03","8.50","10324"
"Albert Pujols","Angels","LAA @ TEX","1B","4.46","1.18",".78",".19",".00",".21",".58",".69",".01",".01",".23",".38","7.02","11.00","8.42","1177"
"David Fletcher","Angels","LAA @ TEX","SS","4.79","1.29",".90",".28",".04",".06",".65",".52",".12",".07",".24",".42","7.00","10.89","8.52","17992"
"Tommy Pham","Rays","TB @ NYY","CF","4.39",".93",".56",".15",".01",".22",".52",".59",".12",".06",".44","1.47","7.08","11.02","8.35","2967"
"Nicholas Castellanos","Tigers","DET @ MIN","RF","4.47","1.17",".69",".27",".03",".18",".56",".61",".02",".02",".26",".98","7.02","10.94","8.42","11737"
"Gleyber Torres","Yankees","TB @ NYY","2B","4.17",".98",".59",".18",".01",".21",".54",".59",".09",".05",".41","1.14","7.05","10.97","8.34","16997"
"Jorge Polanco","Twins","DET @ MIN","SS","4.51","1.09",".74",".21",".04",".09",".58",".60",".08",".05",".50",".76","7.02","10.95","8.33","13152"
"Jake Bauers","Rays","TB @ NYY","LF","4.49",".92",".51",".20",".01",".20",".53",".57",".09",".06",".50","1.33","7.06","10.99","8.29","15194"
"Cesar Hernandez","Phillies","NYM @ PHI","2B","4.64","1.13",".84",".15",".04",".11",".66",".37",".12",".07",".59",".88","7.02","10.85","8.41","10556"
"Teoscar Hernandez","Blue Jays","TOR @ KC","RF","4.36","1.07",".62",".26",".05",".15",".54",".61",".10",".06",".29",".98","6.99","10.90","8.36","13066"
"Asdrubal Cabrera","Phillies","","2B","4.20","1.09",".68",".22",".01",".18",".60",".64",".02",".01",".35",".76","6.95","10.87","8.24","4962"
"Niko Goodrum","Tigers","DET @ MIN","1B","4.37","1.01",".55",".24",".03",".18",".52",".61",".08",".05",".32","1.12","6.95","10.83","8.25","12092"
"Logan Forsythe","Twins","DET @ MIN","2B","4.63","1.07",".75",".21",".02",".09",".63",".49",".04",".02",".69",".83","6.95","10.80","8.17","7185"
"Jose Bautista","Mets","NYM @ PHI","DH","4.25",".84",".45",".18",".00",".21",".57",".57",".04",".03",".63",".98","6.98","10.86","8.07","1887"
"Whit Merrifield","Royals","TOR @ KC","2B","4.54","1.24",".86",".27",".04",".08",".52",".42",".17",".09",".30",".68","6.80","10.52","8.33","11281"
"David Bote","Cubs","CHC @ PIT","3B","4.61","1.15",".77",".22",".03",".14",".58",".56",".06",".03",".33",".93","6.82","10.62","8.18","14593"
"Jim Adduci","Tigers","DET @ MIN","OF","4.58","1.20",".78",".26",".03",".13",".59",".48",".09",".06",".24","1.00","6.80","10.55","8.25","6448"
"Odubel Herrera","Phillies","NYM @ PHI","CF","4.00","1.08",".68",".18",".03",".20",".51",".57",".06",".04",".29",".76","6.82","10.61","8.19","11476"
"Maikel Franco","Phillies","","3B","3.98","1.04",".62",".18",".01",".24",".53",".68",".01",".00",".24",".53","6.80","10.65","8.09","12179"
"Cesar Hernandez","Phillies","","2B","4.61","1.12",".84",".17",".03",".08",".63",".34",".13",".07",".58",".90","6.82","10.53","8.19","10556"
"Wilmer Flores","Mets","","1B","4.38","1.12",".68",".25",".00",".19",".53",".63",".02",".01",".25",".52","6.79","10.60","8.12","5827"
"Jeimer Candelario","Tigers","DET @ MIN","3B","4.69","1.04",".59",".25",".02",".17",".59",".48",".01",".01",".45","1.11","6.80","10.56","8.04","13621"
