"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Mike Trout","Angels","TEX @ LAA","CF","4.49","1.11",".65",".20",".03",".23",".81",".67",".12",".06",".99",".74","9.55","14.82","11.04","10155"
"Mookie Betts","Red Sox","TOR @ BOS","RF","4.74","1.25",".73",".34",".03",".15",".81",".60",".17",".08",".68",".61","9.08","14.08","10.68","13611"
"Khris Davis","Athletics","OAK @ BAL","DH","4.67","1.05",".52",".20",".01",".32",".75",".89",".01",".01",".54","1.12","8.86","13.88","10.25","9112"
"Max Muncy","Dodgers","LAD @ CIN","1B","4.55",".99",".47",".19",".01",".32",".75",".78",".03",".02",".70","1.25","8.89","13.87","10.24","13301"
"Ramon Laureano","Athletics","OAK @ BAL","LF","5.00","1.23",".77",".23",".02",".21",".74",".65",".18",".09",".54","1.18","8.79","13.65","10.42","17128"
"Matt Chapman","Athletics","OAK @ BAL","3B","4.88","1.20",".65",".29",".02",".24",".78",".74",".04",".03",".56","1.03","8.82","13.75","10.32","16505"
"J.D. Martinez","Red Sox","TOR @ BOS","DH","4.52","1.24",".69",".29",".02",".23",".71",".86",".01",".01",".54","1.04","8.78","13.74","10.28","6184"
"Joc Pederson","Dodgers","LAD @ CIN","LF","4.88","1.13",".53",".27",".02",".32",".75",".62",".05",".03",".47",".98","8.63","13.41","10.14","11899"
"Alex Bregman","Astros","HOU @ DET","3B","4.78","1.22",".71",".31",".03",".17",".71",".58",".10",".07",".63",".54","8.47","13.15","10.00","17678"
"Paul Goldschmidt","Diamondbacks","ARI @ COL","1B","4.50","1.21",".72",".24",".02",".23",".68",".72",".07",".03",".49","1.23","8.40","13.09","9.92","9218"
"Trevor Story","Rockies","ARI @ COL","SS","4.29","1.19",".61",".28",".05",".25",".64",".80",".06",".03",".30","1.24","8.37","13.09","9.92","12564"
"Manny Machado","Dodgers","LAD @ CIN","SS","4.65","1.23",".72",".23",".01",".27",".74",".70",".04",".02",".37",".78","8.35","13.03","9.90","11493"
"Justin Turner","Dodgers","LAD @ CIN","3B","4.75","1.24",".73",".27",".01",".23",".76",".59",".03",".02",".55",".73","8.38","13.01","9.89","5235"
"Nolan Arenado","Rockies","ARI @ COL","3B","4.39","1.18",".64",".27",".03",".25",".73",".71",".02",".02",".44",".84","8.37","13.05","9.85","9777"
"Matt Olson","Athletics","OAK @ BAL","1B","4.56","1.06",".55",".24",".01",".27",".69",".78",".02",".02",".55",".96","8.36","13.07","9.72","14344"
"Shohei Ohtani","Angels","TEX @ LAA","DH","4.40","1.04",".58",".19",".01",".26",".69",".83",".02",".02",".59","1.05","8.36","13.10","9.69","19755"
"Andrew Benintendi","Red Sox","TOR @ BOS","LF","4.63","1.17",".71",".30",".04",".12",".77",".62",".11",".07",".65",".69","8.34","12.97","9.79","17901"
"Giancarlo Stanton","Yankees","NYY @ MIN","DH","4.59","1.05",".53",".22",".01",".29",".67",".78",".01",".01",".53","1.34","8.33","13.02","9.70","4949"
"Cody Bellinger","Dodgers","LAD @ CIN","1B","4.33","1.05",".52",".22",".02",".29",".63",".75",".04",".03",".44","1.09","8.15","12.73","9.55","15998"
"A.J. Pollock","Diamondbacks","ARI @ COL","CF","4.83","1.25",".75",".27",".05",".18",".67",".52",".17",".09",".32","1.01","8.03","12.44","9.68","9256"
"David Peralta","Diamondbacks","ARI @ COL","LF","4.60","1.35",".87",".24",".05",".19",".66",".65",".05",".03",".31",".95","7.95","12.39","9.59","2136"
"Yasmani Grandal","Dodgers","LAD @ CIN","C","4.45",".98",".50",".19",".01",".28",".67",".76",".02",".01",".51","1.14","8.01","12.53","9.30","11368"
"Aaron Hicks","Yankees","NYY @ MIN","CF","4.82",".98",".59",".18",".03",".17",".70",".55",".11",".07",".80",".94","8.05","12.49","9.34","5297"
"George Springer","Astros","HOU @ DET","CF","4.90","1.18",".75",".23",".02",".18",".72",".51",".07",".04",".60",".86","7.94","12.31","9.40","12856"
"Ronald Acuna","Braves","ATL @ SF","LF","4.73","1.14",".68",".24",".03",".20",".62",".49",".17",".11",".47","1.13","7.92","12.24","9.46","18401"
"Nelson Cruz","Mariners","SD @ SEA","DH","4.37","1.00",".55",".16",".01",".29",".62",".72",".01",".01",".55",".96","7.90","12.33","9.20","2434"
"Miguel Andujar","Yankees","NYY @ MIN","3B","4.70","1.28",".77",".31",".02",".19",".64",".73",".04",".02",".25",".80","7.73","12.09","9.25","15878"
"Justin Upton","Angels","TEX @ LAA","LF","4.28","1.04",".62",".21",".01",".21",".60",".75",".05",".03",".54","1.09","7.71","12.06","9.01","5222"
"Tyler White","Astros","HOU @ DET","DH","4.56","1.07",".65",".21",".02",".19",".62",".72",".02",".01",".54",".85","7.65","11.96","8.97","15564"
"Andrew McCutchen","Yankees","NYY @ MIN","RF","4.92","1.09",".67",".23",".01",".18",".67",".53",".07",".03",".62","1.13","7.67","11.91","9.02","9847"
"Scott Schebler","Reds","LAD @ CIN","RF","4.59","1.08",".57",".23",".03",".25",".63",".54",".04",".02",".42","1.21","7.57","11.75","8.97","12225"
"Eduardo Escobar","Diamondbacks","ARI @ COL","SS","4.70","1.21",".69",".29",".05",".18",".69",".57",".04",".03",".30","1.07","7.53","11.72","9.00","6153"
"Jed Lowrie","Athletics","OAK @ BAL","2B","4.77","1.18",".74",".30",".01",".12",".67",".60",".01",".01",".61",".71","7.53","11.72","8.85","4418"
"Rougned Odor","Rangers","TEX @ LAA","","4.73","1.03",".60",".19",".01",".22",".60",".61",".11",".08",".41","1.24","7.47","11.63","8.84","12282"
"Joey Votto","Reds","LAD @ CIN","1B","4.36","1.04",".64",".21",".01",".17",".64",".51",".02",".01",".80",".87","7.52","11.66","8.76","4314"
"Shin-Soo Choo","Rangers","TEX @ LAA","DH","4.84","1.02",".65",".20",".01",".18",".64",".49",".05",".04",".74","1.23","7.48","11.59","8.74","3174"
