"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Mike Trout","Angels","LAA @ TEX","CF","4.84","1.29",".72",".27",".04",".26",".92",".73",".14",".07",".87",".63","10.48","16.28","12.22","10155"
"Nolan Arenado","Rockies","SD @ COL","3B","4.58","1.35",".70",".32",".04",".30",".88",".93",".02",".01",".57",".60","10.09","15.77","11.79","9777"
"Bryce Harper","Nationals","ATL @ WSH","RF","4.42","1.04",".55",".19",".01",".30",".77",".77",".04",".03",".93",".81","9.40","14.64","10.80","11579"
"Charlie Blackmon","Rockies","SD @ COL","CF","4.80","1.37",".85",".24",".06",".22",".83",".60",".12",".06",".51",".85","9.14","14.18","10.91","7859"
"Trevor Story","Rockies","SD @ COL","SS","4.47","1.11",".54",".29",".04",".25",".73",".86",".06",".03",".56","1.31","8.98","14.04","10.43","12564"
"Hunter Renfroe","Padres","SD @ COL","LF","4.53","1.24",".63",".29",".03",".29",".72",".88",".02",".02",".31","1.09","8.80","13.78","10.38","15464"
"Rhys Hoskins","Phillies","CIN @ PHI","LF","4.33","1.02",".51",".21",".02",".28",".70",".86",".03",".02",".72",".80","8.90","13.92","10.24","16472"
"Kris Bryant","Cubs","PIT @ CHC","3B","4.52","1.16",".61",".26",".03",".26",".78",".63",".05",".03",".67",".80","8.86","13.76","10.36","15429"
"Ian Happ","Cubs","PIT @ CHC","CF","4.63","1.08",".53",".20",".03",".32",".77",".63",".07",".05",".50","1.35","8.72","13.54","10.22","17919"
"Justin Upton","Angels","LAA @ TEX","LF","4.75","1.15",".62",".28",".01",".24",".69",".81",".06",".04",".58","1.03","8.69","13.57","10.13","5222"
"Yoenis Cespedes","Mets","NYM @ MIA","LF","4.75","1.16",".63",".21",".02",".29",".76",".67",".02",".02",".56","1.04","8.64","13.44","10.12","13110"
"Kyle Schwarber","Cubs","PIT @ CHC","LF","4.21",".94",".43",".16",".03",".32",".68",".81",".02",".02",".60","1.05","8.53","13.34","9.85","16478"
"Jose Pirela","Padres","SD @ COL","2B","4.73","1.31",".80",".29",".06",".17",".74",".58",".08",".05",".39",".87","8.16","12.67","9.77","5485"
