"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Mike Trout","Angels","LAA @ HOU","CF","4.55",".98",".54",".17",".04",".24",".71",".58",".13",".06","1.00","1.11","8.97","13.89","10.36","10155"
"Mookie Betts","Red Sox","BOS @ CWS","RF","4.90","1.15",".68",".27",".02",".17",".75",".54",".18",".07",".75",".86","8.77","13.58","10.30","13611"
"Matt Carpenter","Cardinals","CIN @ STL","3B","4.63","1.18",".61",".30",".02",".25",".76",".59",".02",".01",".68",".67","8.71","13.51","10.18","8090"
"J.D. Martinez","Red Sox","BOS @ CWS","DH","4.69","1.16",".64",".26",".01",".25",".66",".80",".01",".01",".56","1.36","8.48","13.26","9.92","6184"
"Alex Bregman","Astros","LAA @ HOU","3B","4.59","1.19",".67",".30",".03",".19",".77",".60",".09",".06",".54",".64","8.46","13.14","9.96","17678"
"Christian Yelich","Brewers","MIL @ WSH","LF","4.69","1.28",".81",".26",".02",".20",".75",".61",".08",".04",".45",".95","8.32","12.93","9.90","11477"
"Jose Ramirez","Indians","TB @ CLE","3B","4.44","1.07",".59",".28",".02",".18",".66",".64",".10",".06",".70",".64","8.28","12.86","9.65","13510"
"Rhys Hoskins","Phillies","CHC @ PHI","LF","4.49",".96",".47",".22",".01",".26",".72",".62",".05",".03",".73","1.03","8.29","12.88","9.57","16472"
"Bryce Harper","Nationals","MIL @ WSH","RF","4.47",".93",".50",".21",".01",".22",".69",".62",".04",".03",".90","1.01","8.21","12.77","9.41","11579"
"Giancarlo Stanton","Yankees","DET @ NYY","DH","4.45","1.14",".64",".22",".01",".27",".69",".70",".02",".01",".39","1.21","8.02","12.52","9.46","4949"
"Paul Goldschmidt","Diamondbacks","ARI @ LAD","1B","4.52","1.08",".62",".22",".01",".23",".64",".60",".07",".03",".64","1.18","8.05","12.50","9.43","9218"
"Miguel Sano","Twins","MIN @ TEX","3B","4.62",".99",".53",".20",".01",".25",".65",".77",".01",".00",".62","1.45","8.06","12.61","9.32","12164"
"Daniel Murphy","Cubs","CHC @ PHI","2B","4.75","1.36",".83",".30",".03",".21",".73",".50",".03",".01",".35",".66","7.94","12.31","9.56","4316"
"Tyler O'Neill","Cardinals","CIN @ STL","RF","4.22","1.10",".63",".17",".02",".27",".64",".76",".06",".03",".32","1.04","7.93","12.41","9.38","15711"
"Francisco Lindor","Indians","TB @ CLE","SS","4.66","1.14",".67",".27",".02",".19",".69",".57",".09",".05",".53",".82","7.94","12.34","9.38","12916"
"George Springer","Astros","LAA @ HOU","CF","4.70","1.15",".72",".22",".02",".20",".71",".55",".07",".04",".54",".91","7.87","12.23","9.31","12856"
"Whit Merrifield","Royals","BAL @ KC","2B","4.67","1.37",".93",".31",".05",".08",".61",".49",".18",".10",".40",".54","7.78","12.04","9.46","11281"
"Jose Altuve","Astros","LAA @ HOU","2B","4.48","1.30",".90",".24",".03",".13",".64",".63",".11",".05",".42",".62","7.79","12.14","9.37","5417"
"Jonathan Villar","Orioles","BAL @ KC","2B","4.72","1.26",".90",".24",".03",".09",".63",".49",".25",".11",".42",".97","7.72","11.95","9.35","10071"
"Matt Adams","Cardinals","CIN @ STL","1B","4.32","1.16",".69",".23",".01",".23",".66",".74",".01",".01",".34",".67","7.75","12.13","9.17","9393"
"Jesus Aguilar","Brewers","MIL @ WSH","1B","4.59","1.08",".62",".20",".01",".25",".64",".73",".01",".01",".46","1.12","7.77","12.14","9.11","11342"
"Anthony Rizzo","Cubs","CHC @ PHI","1B","4.54","1.08",".62",".22",".02",".22",".60",".62",".04",".02",".59",".81","7.77","12.09","9.13","3473"
"Charlie Blackmon","Rockies","COL @ SD","CF","4.76","1.16",".70",".21",".05",".20",".63",".49",".09",".05",".48",".97","7.73","11.96","9.23","7859"
